Product ID (on Jumbo.com),Item nr,EAN,Item description,Netto inh.,Kode CE,BasisEH-X-,Verp.CE,Price range,Presentation Group,Fresh / Dry grocery,Price J1 16-1,Price J2 16-1,Price J3 16-1,,,,,Different price?,,,,Differnet price?
105028POT,105028,8718449063785,JUMBO PINDAKAAS XXL      ,850,GR     ,POT,POT,JZ,Broodbel,DG,"2,55","2,55","2,55",,,600g,http://www.ah.nl/producten/product/wi123432/ah-pindakaas,,,,no match ,
124625STK,124625,8718449058972,JUMBO XXL HAGEL PUUR     ,380,GR     ,STK,STK,JZ,Broodbel,DG,"1,73","1,73","1,73",,,,http://www.ah.nl/producten/product/wi163382/ah-xtra-grote-hagel-puur,,,,http://www.hoogvliet.com/product/perfekt-chocolade-xxl-hagel-puur?tracking=|searchterm:|Hagelslag%20Puur,
519258ZK,519258,3083680956758,BONDUE FRANSE SPERZIEBOON,400,GR     ,ZK,ZK,A,Dv Groente,DG,"1,43","1,43","1,43",,,,http://www.ah.nl/producten/product/wi115032/bonduelle-franse-sperziebonen,,,,http://www.hoogvliet.com/product/bonduelle-franse-sperzieboontjes-zeer-fijn,
86899ZK,86899,8710816101748,GEBR. SPERZIEBONEN       ,450,GR     ,ZK,ZK,C,Dv Groente,DG,"0,59","0,59","0,59",,,,http://www.ah.nl/producten/product/wi39695/ah-basic-sperziebonen-gebroken,,,1000g,http://www.hoogvliet.com/product/perfekt-gebroken-sperziebonen1?tracking=|searchterm:Gebroken|Sperziebonen%20Vriesvers,
86974ZK,86974,8710816101762,FANCY DOPERWTEN          ,450,GR     ,ZK,ZK,C,Dv Groente,DG,"0,59","0,59","0,59",,,,http://www.ah.nl/producten/product/wi39692/ah-basic-tuinerwten,,,1000g,http://www.hoogvliet.com/product/perfekt-tuinerwten-zeer-fijn,
31596PAK,31596,8711715848277,JUMBO RODE KOOL/APPEL POR,450,GR     ,PAK,PAK,JZ,Dv Groente,DG,"0,99","0,99","0,99",,,,http://www.ah.nl/producten/product/wi63685/ah-rodekool-met-appel-deelblokjes,,,,http://www.hoogvliet.com/product/perfekt-rode-kool-met-appel-deelblokjes?tracking=|searchterm:RODE|KOOL%20&%20APPEL%20DEELBLOKJES,
31602PAK,31602,8711715848291,JUMBO SPERZIEBONEN GEBROK,450,GR     ,PAK,PAK,JZ,Dv Groente,DG,"0,87","0,87","0,87",,,, http://www.ah.nl/producten/product/wi47349/ah-sperziebonen-gebroken,,,,http://www.hoogvliet.com/product/perfekt-gebroken-sperziebonen?tracking=|searchterm:Gebroken|Sperziebonen,
31620ZK,31620,8711715849441,JUMBO DOPERWTEN EXTRA FIJ,750,GR     ,ZK,ZK,JZ,Dv Groente,DG,"1,65","1,65","1,65",,,450g,http://www.ah.nl/producten/product/wi788/ah-doperwtjes-extra-fijn,,,,no match ,
68005DS,68005,8718449000438,JUMBO TUINERWTEN EX. FIJN,450,GR     ,DS,DS,JZ,Dv Groente,DG,"0,99","0,99","0,99",,,400g,http://www.ah.nl/producten/product/wi162733/bonduelle-tuinerwtjes-extra-fijn,,,,http://www.hoogvliet.com/product/perfekt-tuinerwten-extra-fijn?tracking=|searchterm:tuinerwtjes|Extra%20Fijn,
54709STK,54709,87263329,KAKELG 4 GRANEN EI L6 VRI,6,ST     ,STK,STK,A,Eieren J,DG,"1,39","1,39","1,39",,,,http://www.ah.nl/producten/product/wi174001/kwetters-kakelgoud-4-granen-vrije-uitloopeieren,,,,no match ,
101863DS,101863,8711715837080,JUMBO SCHARREL EI M 6ST  ,6,ST     ,DS,DS,JZ,Eieren J,DG,"1,05","1,05","1,05",,,,http://www.ah.nl/producten/product/wi1521/ah-scharreleieren-klasse-m,,,,http://www.hoogvliet.com/product/hoogvliet-vrije-uitloop-klasse-m?tracking=|searchterm:eieren,
101864DS,101864,8711715837103,JUMBO SCHARREL EI L 10ST ,10,ST     ,DS,DS,JZ,Eieren J,DG,"1,69","1,69","1,69",,,,http://www.ah.nl/producten/product/wi1530/ah-scharreleieren-klasse-l,,,,http://www.hoogvliet.com/product/hoogvliet-vrije-uitloop-klasse-l?tracking=|searchterm:eieren,
101865DS,101865,8711715837127,JUMBO SCHARREL EI M 10ST ,10,ST     ,DS,DS,JZ,Eieren J,DG,"1,64","1,59","1,59",,,,http://www.ah.nl/producten/product/wi33658/ah-scharreleieren-klasse-m,,,,http://www.hoogvliet.com/product/hoogvliet-scharreleieren-m?tracking=|searchterm:eieren,
101866DS,101866,8711715837165,JUMBO SCHARREL EI XL 10ST,10,ST     ,DS,DS,JZ,Eieren J,DG,"2,39","2,39","2,39",,,,http://www.ah.nl/producten/product/wi130274/ah-scharreleieren-xl,,,,http://www.hoogvliet.com/product/hoogvliet-scharrelei-klasse-xl?tracking=|searchterm:scharrel|ei,
80623POT,80623,8720600608919,HAK SPERZIEBONEN 1/4     ,105,GR     ,POT,POT,A,Groentcsv,DG,"0,84","0,83","0,83",,,185g,http://www.ah.nl/producten/product/wi203282/hak-sperziebonen-fijn-gebroken,Yes,,,no match ,
81168POT,81168,8720600608926,HAK SPERZIEB.1/3  F GEBR ,185,GR     ,POT,POT,A,Groentcsv,DG,"0,89","0,87","0,87",,,340g,http://www.ah.nl/producten/product/wi201909/hak-sperziebonen-fijn-gebroken,Yes,,340g,http://www.hoogvliet.com/product/hak-sperziebonen-fijn-gebroken1?tracking=|searchterm:Sperziebon,Yes
84276POT,84276,8720600609930,HAK SPERZIEBONEN 3/4     ,360,GR     ,POT,POT,A,Groentcsv,DG,"1,18","1,16","1,16",,,675g,http://www.ah.nl/producten/product/wi207507/hak-sperziebonen-fijn-gebroken,Yes,,675g,http://www.hoogvliet.com/product/hak-sperziebonen-fijn-gebroken2?tracking=|searchterm:Sperziebonen,Yes
340707BLK,340707,3083680002134,BONDUE SPERZIEB GEBR 1/4F,110,GR     ,BLK,BLK,A,Groentcsv,DG,"0,66","0,65","0,65",,,200g,http://www.ah.nl/producten/product/wi216289/bonduelle-gebroken-sperzieboontjes-fijn,Yes,,200g,http://www.hoogvliet.com/product/bonduelle-gebroken-sperzieboontjes-fijn?tracking=|searchterm:Bonduelle|Gebroken%20Sperzieboontjes,Yes
509687POT,509687,8710646400035,BIO+ DOPERWTEN EF        ,230,GR     ,POT,POT,A,Groentcsv,DG,"0,99","0,95","0,95",,,350g,http://www.ah.nl/producten/product/wi66113/ah-puur-en-eerlijk-biologische-doperwten,Yes,,350g,http://www.hoogvliet.com/product/bio-doperwten-extra-fijn?tracking=|searchterm:Bio+|Doperwten,Yes
895466BLK,895466,3083680074810,BONDUE FR SPERZIEB ZF 4/4,440,GR     ,BLK,BLK,A,Groentcsv,DG,"2,05","2,05","2,05",,,800g,http://www.ah.nl/producten/product/wi115030/bonduelle-franse-sperziebonen,Yes,,400g,http://www.hoogvliet.com/product/bonduelle-franse-sperzieboontjes-zeer-fijn?tracking=|searchterm:Bonduelle|Franse%20Sperzieboontjes,
18439POT,18439,8711715839572,JUMBO GEBR.SPERZIEBONEN  ,212,ML     ,POT,POT,JZ,Groentcsv,DG,"0,59","0,59","0,59",,,180g,http://www.ah.nl/producten/product/wi162030/ah-sperziebonen-gebroken-fijn,Yes,,180g,http://www.hoogvliet.com/product/perfekt-sperziebonen-gebroken1?tracking=|searchterm:perziebo,Yes
18556BLK,18556,8711715839657,JUMBO SPERZIEBONEN FIJN H,800,GR     ,BLK,BLK,JZ,Groentcsv,DG,"0,99","0,99","0,99",,,,http://www.ah.nl/producten/product/wi39116/ah-sperziebonen-fijn-heel,,,,http://www.hoogvliet.com/product/perfekt-sperziebonen-gebroken3?tracking=|searchterm:|Sperziebonen,
18557BLK,18557,8711715839633,JUMBO SPERZIEB. FIJN HEEL,400,GR     ,BLK,BLK,JZ,Groentcsv,DG,"0,72","0,72","0,72",,,,http://www.ah.nl/producten/product/wi820/ah-sperziebonen-fijn-heel,,,,http://www.hoogvliet.com/product/perfekt-sperziebonen-heel?tracking=|searchterm:Sperziebonen|Heel,
18560BLK,18560,8711715839299,JUMBO DOP/WORT EF BLK 800,800,GR     ,BLK,BLK,JZ,Groentcsv,DG,"1,25","1,25","1,25",,,,http://www.ah.nl/producten/product/wi832/ah-doperwtjes-worteltjes-extra-fijn,,,,http://www.hoogvliet.com/product/perfekt-doperwten-wortelen-extra-fijn3?tracking=|searchterm:Doperwt-Wortel,
54014POT,54014,8711715822529,JUMBO RODE KOOL + APPEL  ,360,GR     ,POT,POT,JZ,Groentcsv,DG,"0,79","0,79","0,79",,,330g,http://www.ah.nl/producten/product/wi57859/ah-rode-kool-met-appel,,,340g,http://www.hoogvliet.com/product/perfekt-rode-kool-met-appel2?tracking=|searchterm:Rode|Kool%20met%20Appel,
55652POT,55652,8718449032682,JUMBO WORTEL XTR FN 680  ,720,ML     ,POT,POT,JZ,Groentcsv,DG,"1,09","1,09","1,09",,,660g,http://www.ah.nl/producten/product/wi39144/ah-worteltjes-extra-fijn,,,680g,http://www.hoogvliet.com/product/perfekt-wortelen-extra-fijn2?tracking=|searchterm:Wortelen|Extra%20Fijn,Yes
55662POT,55662,8718449032361,JUMBO DOPERWTEN/WORTEL EF,212,ML     ,POT,POT,JZ,Groentcsv,DG,"0,64","0,64","0,64",,,180g,http://www.ah.nl/producten/product/wi160586/ah-doperwten-wortelen-extra-fijn,Yes,,180g,http://www.hoogvliet.com/product/perfekt-doperwten-wortelen-extra-fijn?tracking=|searchterm:Doperwt-Wortel,Yes
67006BLK,67006,8718375478042,JUMBO DOP/WORT BLIK 400G ,400,GR     ,BLK,BLK,JZ,Groentcsv,DG,"0,89","0,89","0,89",,,,http://www.ah.nl/producten/product/wi831/ah-doperwtjes-worteltjes-extra-fijn,,,,http://www.hoogvliet.com/product/perfekt-doperwten-wortelen-extra-fijn4?tracking=|searchterm:Doperwt-Wortel|Extra%20Fijn,
127285POT,127285,8718449069275,JUMBO DOP/WORT EF 340GR  ,370,ML     ,POT,POT,JZ,Groentcsv,DG,"0,79","0,79","0,79",,,330g,http://www.ah.nl/producten/product/wi833/ah-doperwtjes-worteltjes-extra-fijn,,,340g,http://www.hoogvliet.com/product/perfekt-doperwten-en-wortelen-extra-fijn?tracking=|searchterm:Doperwten-Wortelen|Extra%20Fijn,
127291POT,127291,8718449069299,JUMBO SPERZIEBONEN GEB/FI,370,ML     ,POT,POT,JZ,Groentcsv,DG,"0,67","0,67","0,67",,,330g,http://www.ah.nl/producten/product/wi823/ah-sperziebonen-fijn-gebroken,,,340g,http://www.hoogvliet.com/product/perfekt-sperziebonen-gebroken4?tracking=|searchterm:perziebonen|Gebroken,Yes
127292POT,127292,8718449069312,JUMBO SPERZIEB. GEBR. 680,680,GR     ,POT,POT,JZ,Groentcsv,DG,"0,95","0,95","0,95",,,720g,http://www.ah.nl/producten/product/wi822/ah-sperziebonen-fijn-gebroken,,,,http://www.hoogvliet.com/product/perfekt-sperziebonen-gesneden-fijn?tracking=|searchterm:gebroken|sperziebonen,
128930POT,128930,8718449032323,JUMBO DOPERWTEN EF 1/3   ,370,ML     ,POT,POT,JZ,Groentcsv,DG,"0,93","0,93","0,93",,,330g,http://www.ah.nl/producten/product/wi838/ah-doperwtjes-extra-fijn,Yes,,350g,http://www.hoogvliet.com/product/perfekt-doperwten-extra-fijn1?tracking=|searchterm:Doperwten|Extra%20Fijn,
128932POT,128932,8711715839459,JUMBO DOPERWTEN 680GR    ,720,ML     ,POT,POT,JZ,Groentcsv,DG,"1,25","1,25","1,25",,,660g,http://www.ah.nl/producten/product/wi830/ah-dop,,,680g,http://www.hoogvliet.com/product/perfekt-doperwten-extra-fijn2?tracking=|searchterm:Doperwten,Yes
129323POT,129323,8711715839350,JUMBO DOP/WORT EF 680GR  ,720,ML     ,POT,POT,JZ,Groentcsv,DG,"1,27","1,27","1,27",,,660g,http://www.ah.nl/producten/product/wi39103/ah-doperwtjes-worteltjes-extra-fijn,,,680g,http://www.hoogvliet.com/product/perfekt-doperwten-wortelen-extra-fijn2?tracking=|searchterm:Doperwt-Wortel|Extra%20Fijn,Yes
130973POT,130973,8718449032583,JUMBO SPERZIEB.GEBR.BLIK ,850,ML     ,POT,POT,JZ,Groentcsv,DG,"0,99","0,99","0,99",,,800g,http://www.ah.nl/producten/product/wi39110/ah-sperziebonen-gebroken,Yes,,800g,http://www.hoogvliet.com/product/perfekt-sperziebonen-gebroken3?tracking=|searchterm:Sperziebonen|Gebroken,Yes
18059PAK,18059,8713300043319,FRISTI ROOD FRUIT 6P     ,1.200,ML     ,PAK,PAK,A,Houdbaar,DG,"1,99","1,96","1,96",,,,can't find,,,,http://www.hoogvliet.com/product/fristi-drinkyoghurt-rood-fruit2?tracking=|searchterm:Fristi|Rood%20Fruit,
18071PAK,18071,8713300043289,FRISTI ROOD FRUIT GST 6P ,1.200,ML     ,PAK,PAK,A,Houdbaar,DG,"1,99","1,96","1,96",,,,http://www.ah.nl/producten/product/wi130262/fristi-rood-fruit-geen-suiker,,,,http://www.hoogvliet.com/product/fristi-drinkyoghurt-rood-fruit-suikervrij?tracking=|searchterm:Fristi|Rood%20Fruit,
35024PAK,35024,8715300460806,KLOP K SLAGROOM 2ST.     ,80,GR     ,PAK,PAK,A,Houdbaar,DG,"0,88","0,88","0,88",,,,http://www.ah.nl/producten/product/wi108643/klop-klop-instant-slagroom,,,,can't find,
390739PAK,390739,8716200206372,FRVLAG LL SLAGROOM       ,200,ML     ,PAK,PAK,A,Houdbaar,DG,"0,71","0,71","0,71",,,,http://www.ah.nl/producten/product/wi58201/friesche-vlag-langlekker-slagroom,,,,can't find,
81624PAK,81624,8718449036147,JUMBO CHOCOLADEMELK LIGHT,1.000,ML     ,PAK,PAK,JZ,Houdbaar,DG,"0,85","0,85","0,85",,,,http://www.ah.nl/producten/product/wi103003/ah-chocolademelk-light,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-halfvol-light?tracking=|searchterm:chocolademelk,
81625PAK,81625,8718449036154,JUMBO CHOCOLADEMELK HALFV,1.000,ML     ,PAK,PAK,JZ,Houdbaar,DG,"0,85","0,85","0,85",,,,http://www.ah.nl/producten/product/wi1096/ah-chocolademelk-halfvol,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-halfvol?tracking=|searchterm:chocolademelk,
81627PAK,81627,8718449036185,JUMBO CHOCOLADEM HALFV 6P,6,ST     ,PAK,PAK,JZ,Houdbaar,DG,"1,89","1,89","1,89",,,,http://www.ah.nl/producten/product/wi130268/ah-chocolademelk-halfvol,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-halfvol2?tracking=|searchterm:chocolademelk,
81628PAK,81628,8718449036192,JUMBO CHOCOLADEM VOL 6PK ,6,ST     ,PAK,PAK,JZ,Houdbaar,DG,"1,89","1,89","1,89",,,,http://www.ah.nl/producten/product/wi130261/ah-chocolademelk-vol,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-vol1?tracking=|searchterm:chocolademelk,
81808PAK,81808,8718449036307,JUMBO DRINKYOGH.AARDB 6PK,6,ST     ,PAK,PAK,JZ,Houdbaar,DG,"1,53","1,53","1,53",,,,http://www.ah.nl/producten/product/wi130267/ah-yoghurtdrink-aardbei,,,,http://www.hoogvliet.com/product/perfekt-aardbei-yoghurtdrink-6-pak?tracking=|searchterm:Aardbei|Yoghurtdrink,
84152PAK,84152,8718449036161,JUMBO CHOCOLADEMELK VOL  ,1.000,ML     ,PAK,PAK,JZ,Houdbaar,DG,"0,85","0,85","0,85",,,,can't find,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-vol?tracking=|searchterm:chocolademelk,
84153PAK,84153,8718449036178,JUMBO CHOCOLADEMELK LIGHT,1.200,ML     ,PAK,PAK,JZ,Houdbaar,DG,"1,84","1,84","1,84",,,,http://www.ah.nl/producten/product/wi130264/ah-chocolademelk-light,,,,http://www.hoogvliet.com/product/perfekt-chocolademelk-light?tracking=|searchterm:chocolademelk,
48137ZK,48137,4008429046551,WHISKA CATSTICK ZALM     ,18,GR     ,ZK,ZK,A,Kattenvoer,DG,"0,85","0,84","0,84",,,,http://www.ah.nl/producten/product/wi200519/whiskas-sticks-zalm,,,,http://www.hoogvliet.com/product/whiskas-sticks-zalm?tracking=|searchterm:WHISKA|CATSTICK%20ZAL,
67369BLK,67369,7613033523274,FELIX EEND / GEVOGELTE   ,400,GR     ,BLK,BLK,A,Kattenvoer,DG,"0,61","0,57","0,57",,,,http://www.ah.nl/producten/product/wi200526/felix-eend-en-gevogelte-in-gelei,,,,http://www.hoogvliet.com/product/felix-eend-vogel-in-gelei?tracking=|searchterm:felix,
67464PAK,67464,7613033523281,FELIX KAB./SARDINE       ,400,GR     ,PAK,PAK,A,Kattenvoer,DG,"0,61","0,57","0,57",,,,http://www.ah.nl/producten/product/wi187880/felix-kabeljauw-en-sardines-in-gelei,,,,http://www.hoogvliet.com/product/felix-kabeljauw-sardines-in-gelei?tracking=|searchterm:felix,
87925KP,87925,4008429108211,SHEBA ALU WILD KONIJN    ,100,GR     ,KP,KP,A,Kattenvoer,DG,"0,58","0,55","0,55",,,,http://www.ah.nl/producten/product/wi132075/sheba-wild-konijn-in-saus,,,,http://www.hoogvliet.com/product/sheba-pat-wild-konijn?tracking=|searchterm:sheba,
87929KP,87929,4008429082009,SHEBA ALU KIP KALKOEN    ,100,GR     ,KP,KP,A,Kattenvoer,DG,"0,58","0,55","0,55",,,,http://www.ah.nl/producten/product/wi57935/sheba-reepjes-kip-kalkoen,,,,http://www.hoogvliet.com/product/sheba-stukjes-kip-kalkoen-in-saus?tracking=|searchterm:sheba,
100803BLK,100803,3010470170520,GOURM GOLD M TONIJN      ,85,GR     ,BLK,BLK,A,Kattenvoer,DG,"0,47","0,45","0,46",,,,can't find,,,,http://www.hoogvliet.com/product/gourmet-gold-fijne-mousse-met-tonijn?tracking=|searchterm:Gourmet|Gold,
255947KP,255947,8410136207129,SHEBA LUXE MENU TONIJN   ,80,GR     ,KP,KP,A,Kattenvoer,DG,"0,73","0,71","0,71",,,,http://www.ah.nl/producten/product/wi129478/sheba-luxe-menu-tonijnfilet,,,,http://www.hoogvliet.com/product/sheba-luxe-menu-tonijn?tracking=|searchterm:sheba,
150944BLK,150944,5999546174250,NEUTR BROKJES VIS IN SAUS,415,GR,BLK,BLK,C,Kattenvoer,DG,"0,39","0,00","0,00",,,,product not found on Jumbo,,,,product not found on Jumbo,
150947BLK,150947,5999546174243,NEUTR BROK RUND IN SAUS,415,GR,BLK,BLK,C,Kattenvoer,DG,"0,39","0,00","0,00",,,,product not found on Jumbo,,,,product not found on Jumbo,
49054ZK,49054,8711715887962,JUMBO VARIATIEMIX        ,2.000,GR     ,ZK,ZK,JZ,Kattenvoer,DG,"2,49","2,49","2,49",,,2500g,http://www.ah.nl/producten/product/wi190657/ah-vleesmenu-rund-groente,,,,http://www.hoogvliet.com/product/perfekt-krokantjes,
52042BLK,52042,8711715887993,JUMBO KAT PATE KIP       ,400,GR     ,BLK,BLK,JZ,Kattenvoer,DG,"0,47","0,47","0,47",,,,http://www.ah.nl/producten/product/wi54266/ah-pate-kip-voor-de-kat,,,,http://www.hoogvliet.com/product/perfekt-adult-pat-met-kip?tracking=|searchterm:Pat%C3%A9|met%20Kip,
52046BLK,52046,8711715887986,JUMBO KAT PATE RUND      ,400,GR     ,BLK,BLK,JZ,Kattenvoer,DG,"0,47","0,47","0,47",,,,http://www.ah.nl/producten/product/wi341/ah-pate-rund-voor-de-kat,,,,http://www.hoogvliet.com/product/perfekt-adult-pat-met-rund?tracking=|searchterm:Pat%C3%A9|met%20Rund%20400g,
