Brand Name,Subclass,Item,Manufacturing Style,TCIN,Description
Bella,072-04-38 SLOW COOKER,072-04-1847 Bella Dots Stainless Electric Slow,13722,14438491,Bella 6 Qt Programmable Slow Cooker - 6 quart
Bella,072-04-62 SPECIAL TREATS,072-04-1301 CAKE POP AND DONUT HOLE MAKER,13547,14023485,"Bella Cake Pop & Donut Hole Maker, Turquoise"
Bella,072-04-91 ONLINE CONVERSION,072-04-2278 ECOM Bella Spiral Cake Maker - Red,13580,14234614,Bella Spiral Cake Maker - Red
Bella,072-08-03 COFFEE MAKER,072-08-0259 Bella 2.0 CM,14347,16475096,Bella Dots Collection 2.0 Programmable Coffee Maker
Bella,072-08-03 COFFEE MAKER,072-08-1057 Automatic Drip Coffee Maker Bella,14346,16365181,Bella Dots Collection 2.0 Programmable Coffee Maker
Bella,072-08-03 COFFEE MAKER,072-08-1058 Automatic Drip Coffee Maker Bella,14287,16364766,Bella Dots Collection 2.0 Programmable Coffee Maker
Bella,072-08-03 COFFEE MAKER,072-08-1212 Single Serve Coffee Maker Bella,14392,17426313,BELLA Single Serve Dual Brew Coffee Maker
Bella,072-08-03 COFFEE MAKER,072-08-0237 Brim SW20 Black Auto Drip Coffee Ma,50001,16365182,Brim Size-Wise Programmable Coffee Maker SW20 -- Black
Bella,072-08-03 COFFEE MAKER,072-08-1233 Automatic Drip Coffee Maker Bella,14440,49095096,"BELLA Classics 10 Cup Programmable Coffee Maker with Thermal Carafe, Stainless Steel"
Bella,072-08-12 KETTLES,072-08-1100 Electric Kettle Bella,13724,16600470,"Bella 1.2L Electric Ceramic Kettle, Blue Aztec"
Bella,072-08-12 KETTLES,072-08-0511 Electric Kettle Bella,13822,14438797,Bella 1.7L Glass Kettle
Bella,072-09-09 2 SLICE TOASTER,072-09-0366 Bella Dots 2.0 2-Slice Toaster Blac,14325,16364765,BELLA Dots 2.0 TOASTER BLACK/Copper
Bella,072-09-09 2 SLICE TOASTER,072-09-0401 Toaster Bella,14466,49095098,"BELLA Classics 2 Slice Toaster, Stainless Steel"
Bella,072-10-38 SLOW COOKER,072-10-0157 Bella 3x1 4.5QT Red Triple Slow Coo,13698,14666168,"Bella 3 x 1.5QT Triple Slow Cooker, Red"
BETHANY HOUSE,072-04-58 ONLINE ONLY,072-04-0459 ONLINE ONLY  LEFSE ACCESSORY KIT W/,750,550825,Lefse Accessory Kit with Flour Mix
Bethany Housewares,072-04-91 ONLINE CONVERSION,072-04-2133 ECOM Bethany Housewares Silverstone,725,14516268,Bethany Housewares Silverstone&#174; Lefse Grill & Cover - Brown
BIALETTI,072-08-12 KETTLES,072-08-0703 MOKA EXPRESS 6 CUP BIALETTI,44120,14655160,MOKA EXPRESS 6 CUP BIALETTI
BLACK+DECKER,072-04-02 BLENDER,072-04-2121 Black & Decker Glass Jar 12 Speed 5,BL1130SG,15125721,BLACK + DECKER Glass Jar 12 Speed 550 Watt Blender
BLACK+DECKER,072-04-02 BLENDER,072-04-0058 B&D DIGI BLENDER W/JAR,BL1820SG-P,15124783,BLACK + DECKER Digital Blender
BLACK+DECKER,072-04-02 BLENDER,072-04-2286 2 Pack Personal Smoothie Bottles Bl,PBJ2000,15712296,BLACK + DECKER Personal Blender Jars - 2 Pack
BLACK+DECKER,072-04-02 BLENDER,072-04-2285 Personal Blender Black and Decker,PB1002R,15712295,BLACK + DECKER FusionBlade Blender
BLACK+DECKER,072-04-02 BLENDER,072-04-2629 Ecom Blender Black & Decker,PB1002G,16790875,Black & Decker FusionBlade Blender- PB1002G
BLACK+DECKER,072-04-02 BLENDER,072-04-2627 Ecom Blender Black & Decker,PB1002N,16790877,BLACK + DECKER FusionBlade Blender
BLACK+DECKER,072-04-02 BLENDER,072-04-2476 Ecom Blender Black & Decker,BL1821RG-P,16537488,Black+Decker Blender with Personal Jar
BLACK+DECKER,072-04-02 BLENDER,072-04-1681 BLENDER      BLACK AND DECKER,BL3000S,13406211,BLACK + DECKER Diecast Blender - 475 Watts
BLACK+DECKER,072-04-02 BLENDER,072-04-2459 Ecom Blender Black & Decker,BL2010BP,16157758,BLACK + DECKER Table Top Blender
BLACK+DECKER,072-04-02 BLENDER,072-04-2628 Ecom Blender Black & Decker,PB1002W,16790876,Blender Black & Decker FusionBlade Personal Blender- PB1002W
BLACK+DECKER,072-04-02 BLENDER,072-04-2672 Performance Blending System Black &,BL6010,17445162,BLACK + DECKER Performance FusionBlade Digital Blending System
BLACK+DECKER,072-04-02 BLENDER,072-04-2426 Ecom Blender Black & Decker,BL2010WP,16198973,BLACK + DECKER Table Top Blender
BLACK+DECKER,072-04-14 FOOD CHOPPER,072-04-2136 Black & Decker 1.5 Cup Mini Food Ch,HC306,12705256,BLACK + DECKER 1.5-Cup Mini Food Chopper
BLACK+DECKER,072-04-14 FOOD CHOPPER,072-04-1989 B&D FOOD CHOPPER 3 CUP,EHC750BD,14755724,BLACK + DECKER 3-Cup Food Chopper
BLACK+DECKER,072-04-14 FOOD CHOPPER,072-04-2670 Ecom Food Chopper Black & Decker,PS2000BD,17445164,BLACK + DECKER Prep & Blend Multi-Chopper
BLACK+DECKER,072-04-14 FOOD CHOPPER,072-04-2747 Ecom Food Chopper Black & Decker,EHC3002R,18824752,BLACK + DECKER 4 Cup Food Chopper
BLACK+DECKER,072-04-15 FOOD PROCESSOR,072-04-1945 Full Size Food Processor Black & De,FP1140BD,14604945,BLACK + DECKER Full Size Food Processor
BLACK+DECKER,072-04-15 FOOD PROCESSOR,072-04-2456 Ecom Black & Decker 10-Cup Food Pro,FP2500,16157761,BLACK + DECKER 10-Cup Food Processor
BLACK+DECKER,072-04-15 FOOD PROCESSOR,072-04-0005 Full Size Food Processor BLACK & DE,FP2500B,15007417,BLACK + DECKER 10-Cup Food Processor
BLACK+DECKER,072-04-15 FOOD PROCESSOR,072-04-2673 Ecom Mini Food Processor Black & De,HB5500W,17445160,BLACK + DECKER HandiPrep Express&#153; 6-in-1 Kitchen System
BLACK+DECKER,072-04-15 FOOD PROCESSOR,072-04-2668 Full Size Food Processor Black & De,FP6010,17445167,BLACK + DECKER Performance Dicing Food Processor
BLACK+DECKER,072-04-17 FRYER,072-04-2611 Ecom Electric Deep Fryer Black & De,HF100WD,16718047,BLACK + DECKER Purify Air Fryer
BLACK+DECKER,072-04-18 GRIDDLE,072-04-1775 Black & Decker Jumbo Family Griddle,GD2011B,14504220,BLACK + DECKER Black Griddle
BLACK+DECKER,072-04-25 JUICER,072-04-1609 BLACK N DECK 34OZ JUICER,CJ525,14077987,BLACK + DECKER Citrus Juicer
BLACK+DECKER,072-04-25 JUICER,072-04-0011 Ecom Electric Juicer Black & Decker,JE2200B,15001928,BLACK + DECKER 400 Watt Juice Extractor
BLACK+DECKER,072-04-44 WAFFLE MAKER,072-04-2205 Black & Decker Waffle Maker,WMB505,14076861,BLACK + DECKER Waffle Maker
BLACK+DECKER,072-04-44 WAFFLE MAKER,072-04-2204 Black & Decker Rotary Belgian Waffl,WM1404S,14078078,BLACK + DECKER Rotary Belgian Waffle Maker
BLACK+DECKER,072-04-91 ONLINE CONVERSION,072-04-2249 ECOM Black & Decker 9-Inch Stainles,EK700,13193087,BLACK + DECKER 9-Inch Stainless Steel Electric Knife
BLACK+DECKER,072-04-91 ONLINE CONVERSION,072-04-1011 ECOM Black & Decker 2-in-1 Food Pro,FP2620S,13193023,BLACK + DECKER 2-in-1 Food Processor and Blender
BLACK+DECKER,072-04-91 ONLINE CONVERSION,072-04-2264 ECOM Black & Decker ERGO 3-Cup 2-Sp,EHC650B,13193022,BLACK + DECKER ERGO 3-Cup 2-Speed Food Chopper
BLACK+DECKER,072-05-01 IRON,072-05-0145 BLACK N DECK STEAM IRON,F210,14077989,BLACK + DECKER White Steam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0125 Ecom Black & Decker Stainless Steek,IR14V,16127058,BLACK + DECKER Quick Press Iron
BLACK+DECKER,072-05-01 IRON,072-05-0119 Black & Decker Cord Reel Iron,ICR05X,14343479,BLACK + DECKER Express Steam Cordreel Iron
BLACK+DECKER,072-05-01 IRON,072-05-0139 Ecom Black & Decker EasySteam Iron,IR34V,16157756,BLACK + DECKER EasySteam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0127 Ecom Garment Irons BLACK+DECKER,IR03V,16198647,BLACK + DECKER Easy Steam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0067 Black & Decker Stainless Steel Sole,ICR30X,15068096,BLACK + DECKER Stainless Steel Sole Plate Steam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0163 Black + Decker Digital Advantage Ir,D2630,16989099,BLACK + DECKER Digital Advantage Iron
BLACK+DECKER,072-05-01 IRON,072-05-0047 BLACK N DECK CLASSIC IRON,F67E,11301178,BLACK + DECKER Classic Nonstick Iron
BLACK+DECKER,072-05-01 IRON,072-05-0128 Ecom Black & Decker Xpress Steam Co,ICR06X,16157757,BLACK + DECKER Express Steam Cordreel Iron
BLACK+DECKER,072-05-01 IRON,072-05-0161 Garment Irons Black & Decker,D3030,16878270,BLACK + DECKER Allure Professional Steam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0072 BLACK AND DE CKER PERFECT POINT IRO,IR1160S,14077990,BLACK + DECKER Stainless Steel Perfect Point Steam Iron
BLACK+DECKER,072-05-01 IRON,072-05-0109 Ecom Garment Irons Black & Decker,IR05X,21416182,"Sunbeam&#174; Steam Master&#174; Iron with Retractable Cord, White & Orange"
BLACK+DECKER,072-05-90 ONLINE CONVERSION,072-05-0041 ECOM Black & Decker Auto Off Nonsti,IR0175W,13193089,BLACK + DECKER Nonstick Variable Steam and Spray Iron
BLACK+DECKER,072-08-02 COFFEE GRINDER,072-08-0873 Black & Decker Coffee Bean Grinder,CBG100S,10139906,BLACK + DECKER Coffee Bean Grinder - Stainless Steel
BLACK+DECKER,072-08-02 COFFEE GRINDER,072-08-1269 Ecom Electric Coffee Grinder Black,CBM310BD,18838293,BLACK + DECKER Burr Mill Coffee Grinder
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0212 BLACK & DECKER 5CUP DRIP COFFEE MAK,DCM600B,14078108,BLACK + DECKER 5-Cup Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0257 Automatic Drip Coffee Maker BLACK &,DLX1050B,15007410,BLACK + DECKER Auto Drip Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0701 BD           SINGL SRV THRML MUG,CM618,14076859,BLACK + DECKER Single Serve Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0771 B&D Thermal Coffee Maker,CM2035,15732153,BLACK + DECKER 12-Cup Thermal Drip Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0250 BD 12C  PROG COFFE MKR,CM4000S,13806559,BLACK + DECKER 12-Cup Programmable Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0772 Mill & Brew Coffee Maker Black & De,CM5000B,15732154,BLACK + DECKER 12-Cup Mill & Brew Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1054 Ecom Automatic Drip Coffee Maker Bl,DCM18,16198844,BLACK + DECKER Single Serve Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0406 BLACKNDECKER 5 CUP WHT COFFEEMAKER,DCM600W,12705255,Black & Decker White 5-Cup Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0005 Ecom Automatic Drip Coffee Maker BL,DCM2160B,15016579,BLACK + DECKER 12-Cup Programmable Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0258 Automatic Drip Coffee Maker BLACK &,DLX1050W,15007407,Black & Decker 12-Cup Programmable Coffee Maker - White
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1264 Ecom Automatic Drip Coffee Maker Bl,SCM2000BD,18838298,BLACK + DECKER SpaceMakerTM Under-the-Cabinet 8-Cup Programmable Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1265 Ecom Automatic Drip Coffee Maker Bl,SCM1000BD,18838297,BLACK + DECKER SpaceMakerTM Under-the-Cabinet 12-Cup Programmable Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1266 Ecom Automatic Drip Coffee Maker Bl,CM4500BD,18838296,Black + DECKER Easy 8-Cup Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1268 Ecom Automatic Drip Coffee Maker Bl,CM3005S,18838294,Black + DECKER 12-Cup Coffee and Tea Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1055 Ecom Automatic Drip Coffee Maker Bl,CM1200B,16198843,BLACK + DECKER Drip Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1158 Ecom Automatic Drip Coffee Maker Bl,CM5000RD,16753950,Black and Decker CM5000R 12-Cup Mill and Brew Coffee Maker- Red
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1157 Ecom Automatic Drip Coffee Maker Bl,CM5000WD,16753951,Black and Decker CM5000W 12-Cup Mill and Brew Coffee Maker- White
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-1164 Ecom Automatic Drip Coffee Maker Bl,CM5000GD,16860448,BLACK + DECKER 12- Cup Mill & Brew Coffee Maker
BLACK+DECKER,072-08-03 COFFEE MAKER,072-08-0012 Ecom Automatic Drip Coffee Maker Bl,CM1200W,15901161,Black & Decker Drip Coffee Maker
BLACK+DECKER,072-08-08 TEA,072-08-1267 Ecom Electric Kettle Black & Decker,JKC650,18838295,BLACK + DECKER 1.6 Liter Cordless Kettle
BLACK+DECKER,072-09-02 4 SLICE TOASTER,072-09-0234 Black & Decker 4sl Stainless Steel,TR6341S,14345908,BLACK + DECKER Stainless Steel 4-Slice Toaster
BLACK+DECKER,072-09-02 4 SLICE TOASTER,072-09-0054 BDECKER STAI NLESS 4 SLICE BLACK,TR1400SB,12259038,BLACK + DECKER 4-Slice Retractable Cord Toaster
BLACK+DECKER,072-09-02 4 SLICE TOASTER,072-09-0372 Ecom Black & Decker 4 Slice Toaster,T4569B,16198972,BLACK + DECKER 4-Slice Toaster
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0238 4 Slice B&D Toaster Oven - Black,TO1313SBD,14504217,BLACK + DECKER 4 Slice Toaster Oven
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0246 B&D Stainless Steel Toaster Oven,TO1373SSD,14504219,BLACK + DECKER Stainless 4-Slice Toaster Oven
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0151 BLACK N DECK DIGITAL OVEN,CTO6335S,13024921,BLACK + DECKER 6-Slice Stainless Steel Convection Oven
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0342 Ecom Toaster Oven Black & Decker,TO4314SSD,15842599,BLACK + DECKER 9-Slice Toaster Oven
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0284 BLACK N DECK 6 SLICE CONVECTION OVN,TO1660B,13037303,BLACK + DECKER 6-Slice Convection Toaster Oven
BLACK+DECKER,072-09-03 TOASTER OVEN,072-09-0325 Black & Decker Stainless Steel Conv,TO3210SSD,15207190,BLACK + DECKER Stainless Steel 6-Slice Convection Toaster Oven
BLACK+DECKER,072-09-09 2 SLICE TOASTER,072-09-0105 Black & Decker 2-Slice Bread and Ba,T2569B,13193088,BLACK + DECKER 2-Slice Bread and Bagel Toaster
BLACK+DECKER,072-09-09 2 SLICE TOASTER,072-09-0210 Black & Decker 2sl Stainless Steel,TR3340S,14345907,BLACK + DECKER Stainless Steel 2-Slice Toaster
BLACK+DECKER,072-09-09 2 SLICE TOASTER,072-09-0339 B+D 2-SLICE RAPID TOASTER,TR3500SD,15642686,BLACK + DECKER 2-Slice Rapid Toaster
BLACK+DECKER,072-09-09 2 SLICE TOASTER,072-09-0105 Black & Decker 2-Slice Bread and Ba,T2569B,--,--
BLACK+DECKER,072-10-32 RICE COOKER,072-10-0431 Ecom Electric Rice Cooker Black & D,RC3406-2,17035061,BLACK + DECKER 6 Cup Rice Cooker
BLACK+DECKER,072-10-32 RICE COOKER,072-10-0427 Ecom Electric Rice Cooker Black & D,RC3303,14078080,BLACK + DECKER White Rice Cooker
BLACK+DECKER,072-10-32 RICE COOKER,072-10-0425 Ecom Electric Rice Cooker Black & D,RC1412S,14078081,BLACK + DECKER Stainless Steel Rice Cooker
BlendTec,072-04-91 ONLINE CONVERSION,072-04-0681 ECOM Blendtec Total Blender,TB-621-20,10350196,Blendtec Total Blender
BlendTec,072-04-91 ONLINE CONVERSION,072-04-0684 ECOM Blendtec Total Blender - White,TB-611-20,10350195,Blendtec Total Blender - White
BODUM,072-04-02 BLENDER,072-04-2646 Ecom Blender Bodum,11303-565U,17077587,Bodum Bistro 5 Speed Electric Blender
BODUM,072-04-39 STAND MIXER,072-04-0453 Ecom Stand Mixer Bodum,11381-565U,17021920,Bodum Bistro Stand Mixer
BODUM,072-04-39 STAND MIXER,072-04-0454 Ecom Stand Mixer Bodum,11381-294U,17021921,Bodum Bistro Stand Mixer
BODUM,072-08-01 COFFEE ACCESSORIES,072-08-0640 Ecom Electric Kettle Bodum,11445-01US,17021916,Bodum Electric Kettle
BODUM,072-08-02 COFFEE GRINDER,"072-08-0125 BISTRO BLADE COFFEE GRINDER, GREEN",11160-565U,14131174,BODUM Green BISTRO Blade Grinder
BODUM,072-08-02 COFFEE GRINDER,072-08-1251 Electric Coffee Grinder Bodum,11160-01TG,21464667,Electric Coffee Grinder Bodum
BODUM,072-08-02 COFFEE GRINDER,072-08-1357 Electric Coffee Grinder Bodum,11160-913U,21561855,Bodum Bistro Electric Coffee Grinder - White
BODUM,072-08-02 COFFEE GRINDER,072-08-0647 Ecom Electric Coffee Grinder Bodum,10903-913U,17021915,Bodum Bistro White Electric Coffee Grinder
BODUM,072-08-02 COFFEE GRINDER,072-08-1358 Electric Coffee Grinder Bodum,11160-294U,21561856,Bodum Bistro Electric Coffee Grinder - Red
BODUM,072-08-02 COFFEE GRINDER,072-08-0608 Ecom Electric Coffee Grinder Bodum,10903-01US,17021927,Bodum Electric Coffee Grinder -Black
BODUM,072-08-02 COFFEE GRINDER,072-08-1250 Electric Coffee Grinder Bodum,10903-01TG,21464665,Electric Coffee Grinder Bodum
BODUM,072-08-02 COFFEE GRINDER,072-08-0567 Ecom Electric Coffee Grinder Bodum,10903-565U,17021924,Bodum Electric Coffee Grinder
BODUM,072-08-02 COFFEE GRINDER,072-08-0606 Ecom Electric Coffee Grinder Bodum,10903-294U,17021926,Bodum Electric Coffee Grinder - Red
BODUM,072-08-02 COFFEE GRINDER,072-08-1359 French Press Pot Bodum,1918-913US,21561857,"Bodum Caffettiera French Press Coffee Maker, 8 cup, 34 oz - White"
BODUM,072-08-03 COFFEE MAKER,072-08-1352 Frother Wand Bodum,D3040-01,21561851,Bodum Schiuma Milk Frother - Black
BODUM,072-08-03 COFFEE MAKER,072-08-1351 Frother Wand Bodum,D3040-565,21561849,Bodum Schiuma Milk Frother - Green
BODUM,072-08-03 COFFEE MAKER,072-08-1349 Frother Wand Bodum,D3040-913,21561846,Bodum Schiuma Milk Frother - White
BODUM,072-08-03 COFFEE MAKER,072-08-0765 Automatic Drip Coffee Maker Bodum,11571-01US,15847595,BODUM Pour Over Coffee Maker
BODUM,072-08-03 COFFEE MAKER,072-08-1246 Automatic Drip Coffee Maker Bodum,11001-01TG,21464659,Bodum Bistro Automatic Pour Over Coffee Machine with Thermal Carafe
BODUM,072-08-03 COFFEE MAKER,072-08-1370 French Press Pot Bodum,10938-01B,21561833,"Bodum Brazil French Press Coffee Maker, 8 cup, 34 oz - Black"
BODUM,072-08-03 COFFEE MAKER,072-08-1363 French Press Pot Bodum,1918-01US,21561843,"Bodum Caffettiera French Press Coffee Maker, 8 cup, 34 oz - Black"
BODUM,072-08-03 COFFEE MAKER,072-08-1369 French Press Pot Bodum,10938-565B,21561834,"Bodum Brazil French Press Coffee Maker, 8 cup, 34 oz - Green"
BODUM,072-08-03 COFFEE MAKER,072-08-1355 Pour Over Coffee Maker Bodum,11571-294,21561853,"Bodum Pour-Over Coffee Maker, 34 oz - Red"
BODUM,072-08-03 COFFEE MAKER,072-08-1368 French Press Pot Bodum,10938-294B,21561835,"Bodum Brazil French Press Coffee Maker, 8 cup, 34 oz - Red"
BODUM,072-08-03 COFFEE MAKER,072-08-1356 Pour Over Coffee Maker Bodum,11571-565,21561854,"Bodum Pour-Over Coffee Maker, 34 oz - Green"
