"_id","product_name","Linked_Account_Required","Max_Interest_Rate","Max_Monthly_Interest","Base_Interest_Rate","Base_Monthly_Interest","All_Benefits","No_Account_Keeping_Fee","Internet_Banking","Counter_Service","Phone_Banking","Atm","Required_Linked_Account","Account_Type","Min_Opening_Amount","Min_Balance","Monthly_Account_Fee","Interest_Calculation_Frequency","Interest_Payment_Frequency","Interest_Paid_In_Steps","ATM_Withdrawal_Fee","ATM_Balance_Fee","Daily_ATM_Withdrawal_Limit","EFTPOS_Fee","Debit_Card_Replacement_Fee","Service_Fee_Frequency","Fee_Rebate_Available","Balance_Required_for_Fee_Free","Phone_Transaction_Fee","Internet_Transaction_Fee","Free_Electronic_Trans_per_Month","Counter_Deposit_Fee","Counter_Withdrawal_Fee","Free_Counter_Trans_Per_Month","Cheque_Fee","Cheque_Dishonour_Fee","Debit_Item_Dishonour_Fee","Overseas_ATM_Facilities","Overseas_ATM_Balance_Fee","Overseas_ATM_Withdrawal_Fee","Overseas_EFTPOS_Fee","OS_Emergency_Card_Replacement","Foreign_Transaction_Fee","Bankwest_Smart_eSaver_Smart_Rate_if_no_withdrawals","USaver","Savings_Term_Deposits","Home_Loans"
"http://www.infochoice.com.au/banking/savings-account/westpac/choice/6367","Choice","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$5.00","","","No","$0","$0","$1,000.00","$0","$0","Monthly","No","$0","$0","$0","Unlimited","$0","$0","Unlimited","$0","$9.00","$9.00","Cirrus, Maestro","$0","$5.00","$0","$0","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/ubank/usaver-ultra/32250","USaver Ultra (Base rate 2.06%p.a. +1.06% p.a. Standard Ultra Bonus Rate = 2.87%p.a on balances up to $200K)","Same Institution","2.87%","$23.92","1.81%","$15.08","The USaver Ultra comes with: Bonus Interest. *Conditions Apply.
Visa Debit Card
No monthly fees
Unlimited access to your money through UBank Internet Banking, NAB and rediATM’s, and wherever Visa is accepted
A USaver Ultra Savings Bonus on your USaver (for balances up to $200,000) if you deposit $200 or more a month
A UBank Visa Debit Card with payWave
Protection from fraud by UBank Defence 24/7
Online access, 24/7","Yes","Yes","No","No","Yes","Yes","Trans","$1.00","$0","$0","Daily","Monthly","No","$0","$0","$1,000.00","$0","$0","","No","$0","$0","$0","n/a","$0","$0","n/a","$0","$0","$0","VisaPlus","$4.00","$4.00","$0","$0","2.00%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/intech-credit-union-limited/retirement-maximiser/6109","Retirement Maximiser","","2.75%","$22.92","2.75%","$22.92","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Quarterly","Yes","$1.20","$1.20","$1,000.00","$1.20","$10.00","Monthly","Yes","$0","$0","$0","0","$0","$0","0","$1.20","$45.00","$15.00","-","$0","$3.50","$0","$200.00","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bankvic/ezepac/18839","EzePac","","2.00%","$16.67","1.80%","$15.00","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Monthly","No","$0","$0","$0","$0","","Monthly","No","$0","$0","$0","","$2.00","$2.00","","$2.00","","","-","","","","","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/beyond-bank/bu-savings-account/6321","BU Savings Account","","1.80%","$15.00","1.80%","$15.00","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Quarterly","No","$0","$0","$1,000.00","$0","$10.00","Monthly","No","$0","$0","$0","N/A","$0","$0","N/A","$0","$11.00","$6.00","-","$0","$4.50","$0","$350.00","2.50%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/ecu-australia/star/19056","Star","","1.75%","$14.58","1.75%","$14.58","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Monthly","No","$0.60","$0.40","$1,000.00","$0.40","","Monthly","No","$500.00","$0","$0","15","$0","$2.00","10","$1.00","$10.00","$10.00","-","","","","","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/heritage-bank/loan-offset/6942","Loan Offset","","1.75%","$14.58","1.75%","$14.58","","Yes","Yes","Yes","Yes","Yes","No","Trans","$1.00","$1.00","$0","Daily","Monthly","No","$0","$0","","$1.00","$10.00","Monthly","No","$0","","","","$0","$1.00","","$1.00","$25.00","$20.00","-","","$5.00","","$200.00","2.50%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/illawarra-credit-union/everyday-plus/6182","Everyday Plus","","1.70%","$14.17","1.70%","$14.17","The member or joint account member must be 55 or over.","Yes","Yes","Yes","Yes","Yes","No","Trans","$1.00","$1.00","$0","Daily","Quarterly","No","$0.75","$1.00","$1,000.00","$1.00","$5.00","Monthly","Yes","$0","$0","$0","0","$0","$0.75","0","$0","$40.00","$40.00","-","$0","$0","$1.00","$50.00","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/amp/amp-cash-manager/39213","AMP Cash Manager","","1.50%","$12.50","1.50%","$12.50","","No","Yes","No","Yes","Yes","No","Trans","$0","$0","$5.00","Daily","Monthly","No","$0","$0","$1,000.00","$0","$12.00","Monthly","No","$0","","","unlimited","$0","$0","n/a","$10.00","$40.00","$40.00","Cirrus, Maestro, VisaPlus","","$5.50","$1.50","$15.00","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/delphi-bank/odyssey--account/8809","Odyssey 55 Account","","1.50%","$12.50","1.50%","$12.50","","Yes","Yes","Yes","Yes","Yes","No","Trans","$100.00","$0","$0","Daily","","No","$0","$0","$1,000.00","$0","$10.00","Monthly","No","$0","$0","$0","10","$0","$0","10","$0","$30.00","$0","VisaPlus","$5.00","$5.00","$5.00","$50.00","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/gateway-credit-union/edge-account/34362","Edge Account","","1.50%","$12.50","1.50%","$12.50","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Monthly","No","$0","$0","$1,000.00","$0","$0","Monthly","No","$0","$0","$0","","$0","$5.00","","$5.00","$10.00","$23.50","VisaPlus","$3.50","$3.50","$3.50","$175.00","2.00%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/queenslanders-credit-union/pensioner-account/18467","Pensioner Account","","1.50%","$12.50","1.50%","$12.50","","Yes","Yes","Yes","No","Yes","No","Trans","$1.00","$1.00","$0","Monthly","Monthly","Yes","","","$1,000.00","","","Monthly","Yes","$0","","","","$0","$0","","","","","-","","","","","","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/victoria-teachers-mutual-bank/pension-account/6147","Pension Account","","1.50%","$12.50","1.50%","$12.50","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Quarterly","No","$1.80","$0","$1,000.00","$0.50","$12.00","Monthly","No","$0","$0","$0","Unlimited","$0","$1.00","-","$2.00","$17.50","$17.50","VisaPlus","$0","$2.50","$0","$150.00","2.00%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bank-of-sydney/everydaysaver/29675","EverydaySaver","","1.35%","$11.25","1.35%","$11.25","","Yes","Yes","No","No","Yes","No","Trans","$0","$0","$0","Daily","Monthly","No","$0","$0","","$0","$20.00","Monthly","No","$0","","","","","","","","","","VisaPlus","","","","$50.00","3.00%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/macquarie-bank/macquarie-transaction-account/46930","Macquarie Transaction Account","","1.30%","$10.83","1.30%","$10.83","","Yes","Yes","No","Yes","Yes","No","Trans","$0","$0","$0","Daily","Monthly","Yes","","$0","$2,000.00","$0","$0","","Yes","$0","$0","$0","unlimitted","$0","$0","unlimitted","$10.00","$0","$0","-","$5.00","$5.00","$0","$0","0.00%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bankwest/retirement-advantage-account/6082","Retirement Advantage Account","","1.25%","$10.42","1.25%","$10.42","","Yes","Yes","Yes","Yes","Yes","No","Trans","$1.00","$1.00","$0","Daily","Monthly","Yes","$0","$0","$1,000.00","$0","$15.00","","No","$0","$0","$0","n/a","$0","$0","n/a","$0","$10.00","$10.00","-","$5.00","$5.00","$0","$100.00","2.95%","Earn the Smart Rate each month you make no withdrawals.
Earn the Smart Rate in months where you make no withdrawals.
No fees and no minimum deposit.","Awarded Most Popular Savings Account May 2010 – InfoChoice.com.au
Best Online Savings Account 2010 in Money magazine's 'Best of the Best' awards.
No bank fees, making it even easier to save.
Transfer money from any Australia bank account.
Use Goal Tracker to monitor your savings progress over time. Just enter your savings targets and you'll stay on track with updated savings charts and reminders of how well you are doing.
Funds can be deposited via; funds transfer from another bank, BPAY®, salary credit, periodical payment, Automatic Savings Plan or cheque.
Funds can be withdrawn via; funds transfer to any Australian bank account (no mandatory requirement for a linked account) and one off, future dated or periodic transfer to any Australian bank account.","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
