category,product,description,group,brand,price,price_uom,price_per
A,1525210,Ansell Polar Grip 23-700 Fully Coated Glove,GL01,Ansell,16.49,PRS,1
A,1504709,Ansell PowerFlex T 80-400 Hi-Vis Thermal Glove,GL01,Ansell,5.84,PRS,1
A,1513509,Ansell Premium Sol-vex 37-900 Gauntlet Red,GL01,Ansell,4.29,PRS,1
A,1513609,Ansell Regular Sol-vex 37-500+ Gauntlet Blue,GL01,Ansell,2.4,PRS,1
A,1550118,Ansell Touch N Tuff 92-500 Green Powdered Glove,GL01,Ansell,11.81,BOX,1
A,1550218,Ansell Touch N Tuff 92-600 Green Powder Free Gloves,GL01,Ansell,11.99,BOX,1
A,1550318,Ansell Touch N Tuff 92-670 Blue Powder Free Glove,GL01,Ansell,12.99,BOX,1
A,1511605,Ansell Virtex 79-700 Nitrile Gloves,GL01,Ansell,1.38,PRS,1
A,1535617           ,Ansell 87-665 Universal Plus Low Protein Latex Gauntlet,GL01  ,Ansell,1.13,PRS,1
A,1514209,Ansell Crusader Flexible 42-474 13in Gauntlets,GL02,Ansell,12.79,PRS,1
A,1515109,Ansell Hyd Tuf 52-502 Knitwrist Glove,GL02,Ansell,4.89,PRS,1
A,1515610,Ansell Hyd Tuf 52-547 Riggers Glove,GL02,Ansell,5.42,PRS,1
A,1564209,Ansell HyFlex 11-401 Black Coated Glove,GL03,Ansell,3.97,PRS,1
A,1538909,Ansell HyFlex 11-402 Hi-Vis Glove,GL03,Ansell,2.8,PRS,1
A,1538409,Ansell HyFlex 11-435 WBPU Glove,GL03,Ansell,11.16,PRS,1
A,1529109,Ansell HyFlex 11-616 18G PU Glove,GL03,Ansell,3.65,PRS,1
A,1528109,Ansell HyFlex 11-618 Ultralight Coated Gloves,GL03,Ansell,3.23,PRS,1
A,1527709,Ansell HyFlex 11-627 PU/Dyneema Glove,GL03,Ansell,11.97,PRS,1
A,1528009,Ansell HyFlex 11-630 PU Knitwrist Gloves,GL03,Ansell,12.59,PRS,1
A,1523209,Ansell HyFlex 11-800 Palm Coated Knit Wrist Glove,GL03,Ansell,3.78,PRS,1
A,1527909,Ansell HyFlex 11-801 Foam Palm Coated Knitwrist Glove,GL03,Ansell,3.75,PRS,1
A,1401200,Ansell Mercury 400 43-113 Kevlar Glove,GL03,Ansell,26.99,PRS,1
A,14A3600,Ansell Neptune 70-110 Kevlar Sleeves  Single,GL03,Ansell,4.15,EA,1
A,14A3700,Ansell Neptune 70-114 Kevlar Sleeves Single,GL03,Ansell,5.97,EA,1
A,14A3800,Ansell Neptune 70-118 Kevlar Sleeves Single,GL03,Ansell,7.82,EA,1
A,1403209,Ansell Neptune 70-205 Kevlar Glove,GL03,Ansell,6.29,PRS,1
A,1403309,Ansell Neptune 70-215 Kevlar Mediumweight Glove,GL03,Ansell,9.39,PRS,1
A,1538509,Ansell PowerFlex 80-658 Latex Glove,GL03,Ansell,10.89,PRS,1
A,1552800,Ansell SafeKnit Guard 59-416 Welder's Sleeve,GL03,Ansell,19.91,EA,1
A,1539009,Ansell Vantage Profood 70-866 Dyneema Glove,GL03,Ansell,10.45,EA,1
A,1539309           ,Ansell HyFlex 11-518 L/W Cut-Resistant Gloves,GL03  ,Ansell,11.69,PRS,1
A,1403409           ,Ansell Neptune 70-225 Kevlar Heavyweight Glove,GL03  ,Ansell,11.97,PRS,1
A,1539209           ,Ansell Powerflex 80-813 Arc Glove,GL03  ,Ansell,13.99,PRS,1
A,6M9109,Anvil Traction Jackson Black Safety Trainer,FW02,Anvil,47.99,PRS,1
A,6M9209,Anvil Traction Rockford Black Safety Hiker,FW02,Anvil,59.99,PRS,1
A,4432050           ,Arrow Heavy Duty Staple Gun T50P,FE01  ,Arrow,37.35,EA,1
A,4433110           ,Arrow T50 Staples 10mm Box-of-5000,FE09  ,Arrow,11.6,PAK,1
A,6M7009,Bates 8in Tactical Sport Side Zip Boot,FW02,BATES,58.33,PRS,1
A,6M7110,Bates Tactical Delta 8 Inch Side Zip Boot,FW02,BATES,83.33,PRS,1
A,10BC605,Berghaus Ardennes Soft Shell Jacket Black,CL04,Berghaus,66.66,EA,1
A,10B6405,Berghaus Deluge RG1 Overtrousers Black 32907,CL04,Berghaus,41.67,EA,1
A,10BC405,Berghaus Maitland Jacket Black,CL04,Berghaus,114.95,EA,1
A,10B1105,Berghaus Spectrum Gilet Black 434036,CL04,Berghaus,31.25,EA,1
A,10B9005,Berghaus Spectrum Half-Zip Fleece Black 33719,CL04,Berghaus,28.89,EA,1
A,10BD105,Berghaus Vinson Insulated Jacket Black,CL04,Berghaus,116.67,EA,1
A,10B6305           ,Berghaus RG1 Jacket Eclipse,CL04  ,Berghaus,69.99,EA,1
A,1496309,Zorbit Black Lite 4540 Glove,GL03,Best,2.9,PRS,1
A,31B0100           ,Biodrier Executive Hand Drier White BE1000W,WP02  ,Biodrier,649.95,EA,1
A,1455405,Polyco 100 Finite P Nitrile Disposable Gloves Indigo,GL01,BM Polyco,8.62,BOX,1
A,1455305,Polyco 100 Finity Powder Free Latex Free Disposable Gloves,GL01,BM Polyco,6.49,BOX,1
A,1490209,Polyco Blue Grip Fully Coated Latex Gloves,GL01,BM Polyco,3.55,PRS,1
A,1457609,Polyco Electricians Glove Class 0 1000V Cream 350mm,GL01,BM Polyco,28.65,PRS,1
A,1439710,Polyco Matrix Grip Fully Coated Knit Wrist Nitrile Glove,GL01,BM Polyco,1.26,PRS,1
A,1488009,Polyco Tremor-Low Anti-Vibration Glove,GL01,BM Polyco,14.49,PRS,1
A,13P1110,PolyGen Plus Light Duty PVC Gauntlets,GL01,BM Polyco,2.37,PRS,1
A,13P1310,PolyGen Plus Light Duty PVC Gauntlets,GL01,BM Polyco,3.12,PRS,1
A,1457509           ,BM Polyco Electricians Glove Class 00 500V Cream 350mm,GL01  ,BM Polyco,29.5,PRS,1
A,1206710,Polyco Anti Syringe Glove & Gauntlet,GL02,BM Polyco,173.71,PRS,1
A,1459100,Polyco Foundry Heat Beater Glove FH840,GL02,BM Polyco,83.02,PRS,1
A,1488900           ,BM Polyco Thermatex CTH310 34oz Terrycloth 40cm Gauntlet,GL02  ,BM Polyco,3.41,PRS,1
A,1494305           ,BM Polyco HexArmor 8TW Arm Guard 8in,GL02  ,BM Polyco,41.95,EA,1
A,1400610           ,BM Polyco Kilnmaster Foundry Gauntlet,GL02  ,BM Polyco,59.55,PRS,1
A,1494605           ,BM Polyco HexArmor 4041 NSR Leather Glove,GL02  ,BM Polyco,96.77,PRS,1
A,3B3000,Bolle Contour Clear Lens Spectacle CONTPSI,PP04,Bolle,6.67,PRS,1
A,3B3100,Bolle Contour ESP Lens Spectacle CONTESP,PP04,Bolle,7.54,PRS,1
A,3B3200,Bolle Contour Mid Smoke Lens Spectacle CONTPSF,PP04,Bolle,7.19,PRS,1
A,3B6500,Bolle Mamba Spectacles,PP04,Bolle,5.91,PRS,1
A,3B4000,Bolle Silium Clear Lens Safety Spectacle SILPSI,PP04,Bolle,6.99,PRS,1
A,3B4100,Bolle Silium Mid Smoke Safety Spectacle SILPSF,PP04,Bolle,7.59,PRS,1
A,3B4500,Bolle Solis Polarised Lens Safety Spectacle,PP04,Bolle,29.46,PRS,1
A,3B6000,Bolle Tracker II Spectacles Clear Lens,PP04,Bolle,8.78,PRS,1
A,3B5700,Bolle Viper Eyeshield Electric Blue Frame Clear Lens,PP04,Bolle,5.54,PRS,1
A,3B1300            ,Bolle X90 Goggle,PP04  ,Bolle,8.13,PRS,1
A,4450200           ,Bostik 2402/Bostikure D10 2-Part Neoprene Adhesive 250 ml,FE05  ,Bostik,9.93,EA,1
A,4450201           ,Bostik 2402/Bostikure D40 2-Part Neoprene Adhesive 1L,FE05  ,Bostik,30.22,EA,1
A,4469260           ,Bostik Evo-Stik 528 Contact Adhesive 5L 805910,FE05  ,Bostik,42.82,EA,1
A,3179924,Bott Individual Plastic Storage Bins Type 3 13020416,FE11,Bott,2.45,EA,1
A,3179929,Bott Individual Plastic Storage Bins Type 4 13020417,FE11,Bott,5.26,EA,1
A,3179952           ,Bott Blue Individual Storage Bin - Type 5 02510061,FE11  ,Bott,9.75,EA,1
A,3180175           ,Bott EuroBin Storage Container 400 x 600 x 320mm 2510055,FE11  ,Bott,34.34,EA,1
A,3179943           ,"Bott Louvre Panels - No. 3, Grey (457mm x 1500mm) 14025152",FE11  ,Bott,70.32,PRS,1
A,3180327           ,Bott Freestanding Storage Cupboard with 66 Bins,FE11  ,Bott,859.48,EA,1
A,554D001           ,Brillo Washing Up Liquid 1L 417550,WP02  ,Brillo,2.58,EA,1
A,3111429,Bulldog Open Socket Square Mouth No. 2 Shovel with Plastic D-Handle,FE01,Bulldog Standard,13.74,EA,1
A,3111402           ,Bulldog Square Mouthed Shovel Solid Socket Hardwood Shaft T-Handle,FE01  ,Bulldog Standard,16.67,EA,1
A,3178202           ,C.Scope Cable Avoidance Tool ZCSCAT-33,FE01  ,C.Scope,651,EA,1
A,6L8409,CAT Dimen Black Safety Boot,FW02,CAT,48.89,PRS,1
A,6L8609,CAT Dimen Low Black Safety Shoe,FW02,CAT,45.83,PRS,1
A,6L8309,CAT Flexion Generator Safety Boot Honey,FW02,CAT,83.33,PRS,1
A,6M6809,CAT Formation Pepper/Brown Safety Trainer,FW02,CAT,66.66,PRS,1
A,6L7209,CAT Holton SB Black Safety Boot,FW02,CAT,65.15,PRS,1
A,6M6909,CAT Kaufman Black Safety Hiker,FW02,CAT,70.83,PRS,1
A,6M4909,CAT Oversee Black Safety Shoe,FW02,CAT,65.15,PRS,1
A,6M5009,CAT Pneumatic Waterproof Black Safety Boot,FW02,CAT,91.66,PRS,1
A,6L8705,CAT Women's Kitson SRX Honey Safety Boot,FW02,CAT,65.15,PRS,1
A,225500            ,Centurion Connect S41V Baltic Ear Muffs Vision Helmet Mounted,PP03  ,Centurion,17.06,EA,1
A,356900            ,Centurion Connect Chinguard S91C,PP04  ,Centurion,5.36,EA,1
A,357200            ,Centurion Connect Acetate Chinguard Visor S911,PP04  ,Centurion,8.03,EA,1
A,356200            ,Centurion Connect Polycarbonate Visor Clear 6 inch S580,PP04  ,Centurion,8.11,EA,1
A,356700            ,Centurion Connect Browguard S89,PP04  ,Centurion,12.81,EA,1
A,355000            ,Centurion Connect Forestry Mesh Visor S59,PP04  ,Centurion,23.23,EA,1
A,355900            ,Centurion Connect Visor 9 inch Shade 5 S595,PP04  ,Centurion,25.7,EA,1
A,422500,Centurion Adjustable Elasticated Chinstrap with Chin Cup,PP05,Centurion,3.08,EA,1
A,409900,Centurion AirPro Baseball Bump Cap Navy,PP05,Centurion,12.82,EA,1
A,4V7500,Centurion AirPro Baseball Bump Cap Reduced Peak Navy,PP05,Centurion,12.15,EA,1
A,424100,Centurion Cold Weather Hood System S50FL,PP05,Centurion,6.88,EA,1
A,4H9500,Centurion Concept HeightMaster Safety Helmet White,PP05,Centurion,37.98,EA,1
A,4H3900,Centurion Reflex Safety Helmet Black c/w HiVis Yellow Flash,PP05,Centurion,7.9,EA,1
A,4H4000,Centurion Reflex Safety Helmet White c/w Silver Flash,PP05,Centurion,8.14,EA,1
A,423100,Centurion Safety Helmet Head Harness,PP05,Centurion,6.89,EA,1
A,408300,Centurion Vulcan Fibreglass Safety Helmet,PP05,Centurion,22.67,EA,1
A,4H4600            ,Centurion Reflex Helmet White c/w Hi Vis Orange Neck Guard,PP05  ,Centurion,8.38,EA,1
A,424200            ,Centurion Frost Cape Hi-Vis Yel S50HVYFC,PP05  ,Centurion,11.8,EA,1
A,405900            ,Centurion CoolCap Baseball Bump Cap High Visibility Orange S28HVO,PP05  ,Centurion,13.39,EA,1
A,409910            ,Centurion AirPro Baseball Bump Cap Hi-Vis Yellow HVY S38,PP05  ,Centurion,13.91,EA,1
A,424211            ,Centurion Frost Cape Hi-Vis Orange S50HVOEDFC,PP05  ,Centurion,20.18,EA,1
A,1843605,Chemmaster Chemical Resistant Protective Boilersuit with Collar Green,CL05,Chemmaster,59.72,EA,1
A,1844105,Chemmaster Chemical Resistant Protective Boilersuit with Hood Green,CL05,Chemmaster,64.72,EA,1
A,1847600           ,Chemmaster Protective Headgear Model 2 Green,CL05  ,Chemmaster,34.84,EA,1
A,1840105           ,Chemmaster Protective Jacket Green,CL05  ,Chemmaster,47.01,EA,1
A,1847100           ,Chemmaster Protective Headgear Model 4 Green,CL05  ,Chemmaster,50.31,EA,1
A,1847800           ,Chemmaster Protective Headgear Model 8 Green,CL05  ,Chemmaster,63.34,EA,1
A,1847900           ,Chemmaster Apollo Protective Hood,CL05  ,Chemmaster,96.71,EA,1
A,1848805,Chemsol Boilersuit with Hood Green,CL05,Chemsol,90.33,EA,1
A,1833605,Chemsol Plus Boilersuit with Hood Green,CL05,Chemsol Plus,109.3,EA,1
A,1833305           ,Chemsol Plus Hi-Vis Coverall with Hood,CL05  ,Chemsol Plus,190.05,EA,1
A,652200            ,Cherry Blossom 120cm Laces Black,FW03  ,Cherry Blossom,1.66,EA,1
A,652300            ,Cherry Blossom 140cm Laces Black,FW03  ,Cherry Blossom,1.66,EA,1
A,656600            ,Cherry Blossom Foam Insoles,FW03  ,Cherry Blossom,2.27,EA,1
A,655900            ,Cherry Blossom Thermal Insoles,FW03  ,Cherry Blossom,2.83,EA,1
A,554D014           ,Cif Power Degreaser 750ml 7517961,WP02  ,Cif,3.45,EA,1
A,554D017           ,Cif Washroom 2 in 1 Trigger Spray 750 ml 7517907,WP02  ,Cif,3.45,EA,1
A,554D018           ,Cif Window&Multisurface 750ml 7517904,WP02  ,Cif,3.45,EA,1
A,554D011           ,Cif All Purpose Cleaner Lemon 5L 7517879,WP02  ,Cif,11.58,EA,1
A,280920            ,Cirrus CK162C Optimus Sound Level Meter Kit,PP03  ,Cirrus,2081.04,EA,1
A,280940            ,Cirrus CK110A/2 Personal Noise 2 doseBadge Kit,PP03  ,Cirrus,2524.63,EA,1
A,3179600           ,Clarke Jump Start 4000 12V Battery Charger/Starter,FE02  ,Clarke,175.94,EA,1
A,3179566           ,Clarke 2 Door Tool Cabinet 4501590,FE11  ,Clarke,315.6,EA,1
A,3179570           ,Clarke Workbench CWB1700P 4501510,FE11  ,Clarke,370,EA,1
A,31EM154           ,Clarke 2 inch Submersible Water Pump 110V HSE301A,FE12  ,Clarke,200.32,EA,1
A,5515900           ,Coba Moving Edge GR8 Pro Safety Knife,FE01  ,Coba,10.25,EA,1
A,5515930           ,Coba GR8 Primo Safety Knife with Blue Handle,FE09  ,Coba,5.72,EA,1
A,5515910           ,Coba Moving Edge Disposable Safety Knife with Red Handle Pack-of-10,FE09  ,Coba,38.79,PAK,1
A,56C5301           ,Coba Comfort-Lok Heavy Duty Anti Fatigue Mat Bevelled 2 Long & 1 Short Side,WP05  ,Coba,46.03,EA,1
A,56C5808           ,Coba Laundermat Black/Blue 0.85M x 1.5M,WP05  ,Coba,78.14,EA,1
A,56C0206           ,Coba Solid Fatigue Step Tile 0.9M x 0.9M Black ST010001,WP05  ,Coba,80.98,EA,1
A,56C1700           ,Coba Clean-Step Frame 60 Layer Refill Pad,WP05  ,Coba,105.77,EA,1
A,56C6100           ,Coba Kitchen Mat Black 1.4M x 0.85M KM010001,WP05  ,Coba,117.07,EA,1
A,56C5911           ,Coba Laundermat Black/Steel 1.15M x 1.75M,WP05  ,Coba,127.26,EA,1
A,56C7848           ,Coba Superdry Mat Blu 0.85x1.5m,WP05  ,Coba,132.32,EA,1
A,56C5601           ,Coba Work Safe Anti Fatigue Mat Blue 0.9M x 1.5M,WP05  ,Coba,162.72,EA,1
A,56C1500           ,Coba Clean-Step Frame 1 x 60 Layer Pad 80 x 60 cm,WP05  ,Coba,168,EA,1
A,56C7853           ,Coba Superdry Mat Blu 1.15x1.75m,WP05  ,Coba,191.62,EA,1
A,56C7701           ,Coba 120(4x30)First Step TaksMats Wht45x117cm,WP05  ,Coba,223.73,PAK,1
