identifier,cost_price
AB2B,50.436
AB2C,50.436
SE-1037-00-3,11.94
NSN-0601-11,6.576
NSN-0601,
NSN-0601-37,6.42
NSN-0601-31,6.42
SE-1118-20-3,2.412
1066,
RBS1118,1.74
N2-9401,4.572
3002173820,2.976
3002173810,2.952
5164140000,2.64
PD4222-11,6.132
PD4305-11,4.872
PD4231-21,6.732
PD4231-23,8.34
PD4300-11,6.132
PD4201-21,2.484
PD4208-11,2.592
PD4220-11,3.612
PD4220-21,
PD4223-11,3.072
PD4308-23,5.052
PD4205-21,3.54
PD4308-21,5.22
PD4310-21,5.592
PD4310-23,6.288
PD4210-21,6.576
PD4210-23,6.372
PD4261-11,1.812
PD4306-11,2.364
PD4260-11,1.512
PD4241-21,5.604
BMCRBA,2.316
BMCRGL,2.292
BM50CC,45.996
BM30,27.012
BM30AB,76.932
BM30CC,27.468
BM30BR,27.012
BMHDS,39
HM20,34.716
HM20AB,34.716
HM20CC,34.716
HM20BR,34.716
HM30,38.148
HM30AB,38.148
HM30CC,32.46
HM30BR,38.436
HM30LI,5.46
HM40,65.844
HM40AB,65.844
HM40CC,49.656
HM40BR,50.304
HM40LI,5.46
HM40SI,
BMCK,11.7
BMSS,6.12
BMCRSP,2.292
HM30XCC,76.968
HM40XCC,83.172
2K483PR-BCD,5.58
2K552CRD-BCD,
5084-01-BX,5.232
BP38934,11.304
BP39398,8.952
BP38937,17.904
BP38938,23.28
BP38940,14.28
BP38941,14.28
BP38935,13.188
BP38939,14.28
BP38942,8.952
BP38944,10.74
BP38936,16.104
B0169,13.08
BO14X,4.788
B0144,4.788
B0145,4.788
B014,4.788
B0134,4.788
B0143,4.788
B0037,2.472
B0122,4.68
B012,4.68
B0123,4.68
B0031,3.348
PD4115-23,8.952
O2504650000,4.968
DJ1010-02-BX,7.68
FK3179A000-ABC,6.528
5M03,4.848
BZ2,2.076
BZL,1.656
BL99503,3.996
BL86633,9.816
BL86653,18.552
BL08885,1.164
BL09995,1.764
BL064,2.388
BL06422,2.388
BL06420,2.388
BL09775,2.208
DX-SB,3.6
BS001001,33.06
BS001002,15.768
BS002002,4.5
SE-0044-70-3,3.84
2N3289,1.824
BW-MW-WP,5.508
BW115,5.508
BW114,5.508
BW121,17.028
BW-MW,4.584
BW101A,4.584
BW101L,4.584
BW101P,4.584
BW123UK,18.576
BW201,7.356
BW103BUK,18.036
BW-ORG,11.988
BW110UK,11.988
BW200,7.356
BW202,6.864
BW203,6.864
BW-RC-UK,18.624
BW109UK,18.624
BW108UK,18.42
BW122,13.32
BW112,12.408
BONDT-BLK,1.26
BONDT-PNK,1.296
BONDT-RED,1.296
3711-16,6.456
2D3506,6.276
5121-8,2.184
23618,3.78
23416,4.092
PD4114-29,8.208
PD4117-29,5.592
134-KIO-0044,9.852
134-KIO-0051,14.532
BSBCU0040,25.68
3000008604,3.84
SC06-182-C8-BCD,8.712
EA3080-3,7.44
EA3082-3,7.44
EA3083-3,7.44
EA3081-3,7.44
EA3090-2,41.004
CBATTERIESWEB,0.576
5156390000,2.856
SFD24,2.088
SFD22,
FDDB002RHA-001,36.864
LPC001,
CF001,
CR002,
CW003,
FDDF018RHA-001,37.908
PD4901-00,6.324
PD4904-00,9.276
PD4905-00,9.276
PD4906-00,9.276
PD4908-00,12.516
PD4910-00,13.416
PD4911-00,13.404
PD4912-00,13.416
PD4902-00,6.708
PD4903-00,7.668
PD4907-00,11.496
PD4909-00,13.416
XC145,5.676
FDDG045TFA-001,10.848
CWTC,1.38
CWS,4.2
8341GC,6.54
FP703M,2.088
F06F091A00-010,2.304
PD1950-23,2.28
112-TMS-2200-M-CZx,
5008600000,3.912
SE-0550-14-2,3.996
CWKIT,17.016
CAPCHOC,4.116
CAP,5.076
CWPOW,3.144
CWCAN,4.296
CWCHOC,5.928
CWPKIT,4.5
CWSOAP,5.964
ELB-CW,8.868
CWB,8.868
CWDT,8.124
CWGD,10.86
EL08531,8.412
CWNP,8.064
CWP,8.736
18-41BLK-BCD,2.136
2R763,0.552
112-TMS-2480,4.68
112-TBJ-2051-8-40,2.82
112-TBJ-2051-8-45,2.964
112-TBJ-2051-8-50,3.288
112-TBJ-2056-40,3.744
112-TBJ-2056-45,3.792
112-TBJ-2056-50,3.888
112-TBJ-2056-50x,3.888
112-TMS-2355,5.808
SE-6875-00-3,4.476
SE-6871-03-3,
RXM469,3.54
2271,2.064
FDDG046TFA-001,10.848
OD9907WMV,
SP-MB-C-150,18
8510016C1,0.012
F06B026A00-051,3.684
F06B026A00-060,3.408
1003016,4.488
1008327,5.964
1003071,6.912
1002013,
5165460000,2.856
SE-0079-14-3,16.62
16-32BLK-BX,6.168
16-33BLK-BX,9.936
2K887SMK-BCD,4.38
F06E019A00-024,0.924
F06E020A00-024,1.068
F06E021A00-024,1.332
SC05-189ARPU-WH,3.108
903-01401APU1-AX,2.724
2D-1627,4.188
XH102,2.868
XA114,6.636
XB132,2.232
XB104,2.868
XC143,4.728
XA104,11.364
XA127,13.248
XC136,3.792
XA117,6.624
XB157,4.728
XB141,3.792
1020152000,20.844
7020051000,26.496
8040051000,24.852
2020000007,25.056
4020050003,13.56
2020000005,25.056
112-TMS-2479-10,4.404
112-TMS-2479-6,4.044
112-TMS-2479-8,4.128
112-TMS-2479-8x,4.128
Discretion,1.644
915-00600ABK2-AX,1.644
915-00600APU4-AX,1.596
1315-02-BU,3.576
1315-01-BU,3.804
DJ0269-06-CD,2.808
8170-01-BX,18.732
DJ5079-01-CD,6.912
DJ7002-03-CD,2.256
DJ0951-15-BX,
DJ0951-10-BX,11.28
DJ0200-00-CD,3.108
DJ0201-00-CD,3.192
DJ0244-03-CD,2.856
DJ0244-06-CD,3.084
DJ0244-02-CD,2.532
DJ0244-05-CD,2.556
DJ0244-09-CD,2.292
DJ0244-01-CD,2.184
DJ0244-04-CD,2.364
DJ0286,3.744
DJ0286-01-CD,3.744
DJ0286-03-CD,3.744
DJ0283-03-CD,2.352
DJ0288-6,4.992
DJ0288-06-BX,4.992
DJ0288-05-BX,4.992
DJ0288-01-CD,3.864
DJ0288-8,5.64
DJ0288-08-BX,5.64
DJ0288-07-BX,5.64
DJ0285-8,2.58
DJ0285-02-CD,2.58
DJ0285-01-CD,3.084
DJ0285-03-CD,2.58
DJ0284,2.568
DJ0284-02-CD,2.568
DJ0284-03-CD,2.352
DJ0283-12-CD,4.476
DJ0287-51-CD,5.64
DJ0287-JR,4.056
DJ0287-02-CD,4.056
DJ0287-01-CD,4.056
DJ0289-06-CD,2.904
DJ0268-00-CD,11.76
DJ0268-01-CD,11.736
DJ7051-05-BX,6.12
DJ0358-01-BX,1.128
1360-30-CD,1.884
DJ1360-15-BX,2.112
DJ1360-88-CD,1.824
DJ1360-11-BX,2.904
DJ0242-07-BX,4.512
DJ0995-07-BX,7.464
DJ1301-50-BX,2.736
1458-01CD,6.528
DJ0272-00-BX,12.468
5543-14-BX,74.04
DJ0275-00-BX,17.652
DJ0212-01-CD,4.248
DJ0212-03-CD,3.828
DJ0995-09-BX,7.452
DJ0273-00-BX,13.092
DJ0244-59-CD,3.648
DJ0926-01-BX,7.38
DJ0925-02-BX,6.072
DJ0930-00-BX,12.6
DJ0928-01-BX,6.36
DJ1051-01-BX,22.968
DJ0244-56-CD,2.988
DJ0906-00BX,10.872
1469-55-BX,4.236
1469-57-BX,4.236
DJ1469-L,4.14
1469-50-BX,4.14
1469-51-BX,4.14
DJ1469-S,2.652
1362-15-BU,2.652
1469-66-BX,8.448
DJ1470-06-BX,3.576
DJ1470-04-BX,3.288
DJ1470-02-BX,3.156
1470-05-BX,3.588
1470-03-BX,4.296
1470-01-BX,3.192
DJ0995-03-BX,7.716
DJ0693-03-BX,3.492
DJ0693-01-BX,3.492
DJ0693-02-BX,3.492
DJ0661-02-CD,7.62
DJ0683-01-BX,2.58
DJ0108-01-CD,2.568
DJ0108-02-CD,2.568
DJ0108,2.568
DJ0995-05-BX,7.452
DJ0376-01-BX,6.444
DJ0376,7.896
DJ0376-09-BX,7.896
DJ0376-07-BX,7.896
DJ0243-04-CD,2.628
DJ0615-03-BX,6.36
DJ0279-21-CD,2.712
DJ0271-01-BX,10.488
DJ0271-04-BX,10.848
DJ0271-02-BX,10.524
DJ0271-05-BX,10.824
1156-02-BX,12.576
1156-04-BX,12.648
1156-01-BX,12.18
1156-03-BX,12.768
DJ0901-03-CD,2.628
DJ0901-07-CD,3.228
DJ0292-50-BX,5.484
DJ0655-01-BX,14.58
5410-14-BX,13.404
5410-12-BX,9.708
5410-11-BX,8.652
5410-10-BX,6.996
5410-13-BX,8.004
5410-02-bx,4.212
DJ5410-05-BX,4.632
5410-01-bx,21.288
DJ0244-53-CD,2.376
DJ1312-22-BU,1.416
DJ0274-00-BX,12.216
DJ0684-10-BX,3.48
DJ0261-01-CD,12.768
DJ0987-02-BX,5.316
DJ0684,2.256
DJ0684-03-CD,2.256
DJ0684-02-CD,2.256
DJ3500-01-BX,9.024
DJ3202-01-CD,9.192
DJ3600-02-CD,4.68
DJ3200-08-BX,5.376
DJ3600-04-CD,5.484
8171-01-BX,17.484
DJ0276-00-CD,35.244
5075-01-BX,28.524
5543-01-BX,48.768
5400-05-BX,63.852
5805-01-BX,18.252
5543-17-BX,7.44
DJ1050-02-BX,17.424
DJ1050-17-BX,19.908
DJ1050-11-BX,5.808
DJ1051-02-BX,22.932
1050-05-BX,10.32
DJ1015-01-BX,2.676
1015-00-BX,2.904
1010-04-BX,3
1010-12-BX,3.06
DJ1010-08-BX,2.256
DJ1015-05-BX,4.836
DJ1015-27-BX,13.788
DJ1015-28-BX,11.568
DJ1015-17-BX,11.256
DJ1010-06-BX,12.996
1050-21-BX,10.968
1050-13-BX,0.012
1015-23-BX,3.48
DJ1015-25-BX,2.892
1015-09-BX,8.376
1015-11-BX,8.376
DJ1015-10-BX,10.08
1015-12-BX,
DJ1015-13-BX,10.224
1015-14-BX,8.376
1015-19-BX,7.74
DJ1020-02-BX,1.584
DJ0211-00-CD,7.332
DJ0211-01-CD,5.82
DJ0340,2.928
DJ0340-04-BX,2.928
DJ0340-02-BX,4.212
DJ0340-03-BX,2.928
DJ0340-01-BX,4.056
dj5350,4.68
DJ5350-06-CD,4.68
DJ5350-07-CD,5.088
DJ0949-00-BX,11.28
DJ0995-01-BX,7.452
DJ0730-01-BX,6.66
DJ1757-00-BX,7.092
112-TBJ-2054-40,4.848
112-TBJ-2054-45,4.968
112-TBJ-2054-50,5.196
112-TBJ-2054-50x,
DJ1010-04-BX,0.012
SE-1414-50-3,2.256
JKD-203-24,7.656
112-TMS-2603-STEEL,8.436
GPD-B,43.92
GPD-P,43.872
DX-GPD,43.872
SKITTLEUK-B,28.44
139-BCD,0.804
2K79LV-BCD,0.924
F06F101A00-010,2.268
C003R2T007R2,8.04
21-29BLK-BCD,0.912
EAGLEKING,1.596
FPBA312A00-010,4.98
2K420CL-7-S,8.868
2K450CBLU-7-S-BCD,9.156
2K466CLV-7-BCD,9.192
FDDG001RHA-001,28.248
EM60M,66.696
CEM3100,17.04
CEM3101,22.476
CEM3102,26.064
CEM3104,24.24
112-TMS-2321-75,14.52
SE-1000-25-3,9.444
N2-9404,4.56
NSN-0210-44,16.764
E22301,14.316
E22309,14.316
VL314,3.48
VL344,4.032
VL334,5.712
VL324,3.444
VL354,5.04
9226RP-C-PTBX,5.592
2P1131-2,10.152
3875-11,6.396
EN-AW-1685-2,2.388
EN-AW-1708-2,2.388
EN-AW-1746-2,2.388
EN-AW-1784-2,2.388
EN-AW-1678-2,2.388
EN-AW-1739-2,2.388
EN-AW-1722-2,2.388
EN-AW-1692-2,2.388
EN-AW-1715-2,2.388
EN-AW-1777-2,2.388
EN-AW-1760-2,2.388
EN-AW-1753-2,2.388
EN-AW-BS,2.388
EN-BB-F,5.184
EN-BB-1517-2,5.184
EN-BB-1524-2,5.184
2K343CPR-BCD,1.596
1002021,24.444
FPBF243A00-042,3.636
FPBF254A00-042,4.956
FPBF258A00-042,4.956
FPBF247A00-042,4.008
PG2K789CLV-BCD,7.656
7199PM-BX,3.048
2M1158-4,5.676
134-KIO-0035,4.692
134-KIO-0036,4.656
9893PK-BX,2.496
FSC05,
FSC17,12.372
FSC10,
FL5050-3,13.404
20K36-BX,16.836
1101047,32.208
1101049,5.064
1101012,96.228
1101050,5.976
1101010,14.028
1101048,18.408
EA3004-2,15.588
EA3003-2,14.892
EA3000-2,12.288
EA3002-2,13.32
EA3011-2,11.58
EA3010-2,10.488
EA3006-2,14.412
EA3005-2,13.644
EA3009-2,11.448
EA3008-2,10.44
PD8603-00,4.932
PD4028-23,14.928
PD3948-00,5.928
PD3947-00,8.7
PD3869-15,2.856
PD3869-12,2.52
PD3869-23,2.916
PD3366-12,6.228
PD3366-21,6.024
PD3366-23,5.64
PD3367-21,7.404
PD3367-23,7.392
PD3372-23,6.768
PD2163-11,7.776
PD2177-00,2.268
PD3816-23,2.88
PD3816-12,2.712
PD3841-00,3.084
PD2192-00,3.96
PD2153-23,6.396
PD2162-23,7.092
PD2161-23,2.316
PD2161-15,2.472
PD3919-23,2.928
PD2139-00,2.892
PD3800-23,1.74
PD3800-00,1.128
PD2189-00,8.124
PD3941-23,9.096
PD3610-00,4.332
PD3932-00,4.572
PD3836-00,13.92
PD3820-23,0.048
PD2172-00,2.172
PD3701-00,1.104
PD1853-12,9.132
PD2151-23,8.184
PD3727-01,2.712
PD3719-23,12.816
PD2185-00,8.46
PD3386-00,7.404
PD4550-23,6.288
PD4507-11,8.532
PD4509-11,9.336
PD4538-12,14.604
PD4530-11,14.004
PD4516-23,9.948
PD4571-15,2.256
PD4571-23,2.208
PD4551-00,3.72
PD4560-23,4.356
PD4561-23,9.096
PD4504-12,11.376
PD4510-12,14.016
PD4517-15,15.144
PD3657-00,7.644
PD3658-00,3.828
PD3647-23,28.656
PD3635-23,17.208
PD3634-23,5.952
PD3650-23,5.448
PD3641-23,7.188
PD3931-00,5.88
PD3638-23,17.496
PD3666-23,7.524
PD3633-12,38.304
PD3689-23,9.468
PD3631-23,5.988
PD3639-23,42.132
PD3639-26,7.572
PD3694-00,21.852
PD3636-19,28.728
PD3630-00,3.72
PD3632-23,38.304
PD2197-12,6.564
PD2197-14,6.312
PD2197-15,6.492
PD3804-15,2.844
PD3804-23,2.988
PD3804-11,2.928
PD3761-00,28.932
PD2198-00,20.136
PD3914-23,7.788
PD2104-00,10.536
PD2181-00,10.92
PD2173-00,5.604
PD3605-02,3.432
PD3819-00,3.876
PD4427-23,2.052
PD4412-23,2.436
PD4426-23,1.332
PD4425-00,2.88
PD4414-23,2.652
PD4409-23,1.572
PD4413-23,2.232
PD4408-00,1.764
PD4417-00,6.492
PD4411-23,3.444
PD4419-23,3.66
PD4422-23,11.388
PD4401-00,
PD4405-23,1.116
PD4431-00,7.668
PD4430-00,1.548
PD2107-00,2.964
PD3855-01,4.068
PD3940-23,8.148
PD3236-12,3.48
PD3845-23,3.708
PD3843-00,2.532
PD2135-02,2.244
PD3842-00,7.812
PD2111-23,1.308
PD2111-11,1.584
PD2111-15,1.584
PD2188-00,10.044
PD2154-23,8.724
PD3802-00,7.944
PD2110-12,6.42
PD4027-23,8.712
PD4421-23,10.704
PD3723-01,3.828
PD3702-00,1.116
PD3847-00,7.092
PD3903-23,1.188
PD2109-00,1.44
PD2165-23,11.496
PD2128-12,26.004
PD3723-07,7.464
PD3723-03,11.784
PD3723-00,9.036
PD3723-02,11.076
PD3723-04,11.58
PD2124-00,2.52
PD2138-00,2.028
PD3867-15,3.24
PD3867-23,3.576
PD3855-03,4.308
PD3855-02,4.14
PD3716-00,16.5
PD3882-24,8.532
PD3880-23,91.512
PD2155-00,26.388
PD2101-00,2.316
PD3942-23,12.732
PD2170-15,9.24
PD3222-00,11.016
PD2118-23,7.896
PD2187-00,5.508
PD3883-24,9.564
PD2164-12,8.856
PD3727-00,1.5
PD3946-12,12.816
PD3878-00,9.684
PD3717-23,5.568
PD4416-23,2.196
50SILICONE,1.044
FS57760,20.268
FS40178,4.692
FS40189,2.448
FS57756,12.528
FS52427,5.388
FS40169,6.864
FS48293,6.348
FS44880,3.6
FS40193,5.244
FS57755,12.36
FS52424,15.66
FS48291,7.824
FS40166,6.864
FS40175,8.736
FS48292,4.692
FS54811,18.792
FS40185,15.6
FS48818,23.484
FS40174,5.544
FS40168,3.84
FS57757,13.332
FS52420,4.692
FS47091,5.688
FS40177,3.732
FS57758,15.276
FS40181,6.24
FS52419,3.132
FS40173,4.68
FS57759,7.62
FS48294,10.956
FS40188,2.448
FS52423,17.22
FS52421,4.692
FS40195,4.2
FS41764,2.448
FS40190,1.824
FS40179,4.968
FS40172,4.68
FS40191,3.492
FS52418,2.268
FS52422,3.72
FS40184,17.16
FS40196,4.2
FS40182,7.8
FS52411,7.824
FS40183,3.744
FS40197,3.36
FS40186,4.056
FS52413,4.692
FS40180,7.8
FS52417,7.824
FS40167,3.744
FS52425,10.956
FS40176,4.68
FS40170,4.056
PD2554-14,3.18
FLEXIDOUCHE,8.4
FP1,4.74
FP5,2.4
XD108,25.044
PD4127-21,14.172
PD4147-21,11.196
PD4122-21,10.44
PD4113-21,7.836
PD4114-21,8.208
PD4115-21,8.952
PD4116-21,5.22
PD4117-21,5.592
PD4120-21,5.22
FL810476018344,25.332
FL810476018368,18.6
FL810476017965,21.636
FL810476017958,18.216
FL810476017972,24.36
FL810476017286,22.716
FL810476017248,18.312
FL810476017271,24.492
FL810476018375,24.336
FL810476018399,17.964
FL810476018382,24.48
FL810476018252,23.94
FL810476018276,16.704
FL810476018269,24.636
FL810476017873,18.612
FL810476018320,24.996
FL810476018337,18.516
FL810476018313,24.492
FL810476017880,24.552
FL810476017866,24.024
FL810476018283,24.288
FL810476018306,18.528
FL810476018290,24.576
FL810476018221,25.08
FL810476018245,18.444
FL810476018238,24.504
FL810476018443,24.36
FL810476018450,18.528
FL810476018436,24.348
FL810476018474,24.336
FL810476018481,18.432
FL810476018467,24.924
FL810476017363,24.336
FL810476017262,18.54
FL810476017318,24.684
FL810476018405,24.144
FL810476018429,18.468
FL810476018412,24.84
FL810476018351,24.492
FL810476019044,18.312
FL810476019037,21.072
FL810476019051,21.432
FL810476019549,29.04
FL810476017132,20.46
FL810476017125,20.34
FL810476017620,21.852
FL810476017217,19.356
FL810476018184,21.756
FL810476017163,21.696
FL810476018115,21.948
FL810476018214,21.324
FL810476017897,15.216
FL810476017903,15.06
FL810476017859,15.18
FL810476017910,14.448
FL810476016784,18.876
FL810476017828,28.416
FL810476016685,21.504
FL810476016791,17.916
FL810476016371,7.38
FL810476016258,13.788
FL88854851153,0.072
FL810476016005,2.268
FL810476016579,8.82
FL8428508034754,2.616
FL810476019501,15.252
FL810476016692,21.696
FL810476016777,21.696
FL810476016715,21.696
FL810476016739,27.528
FL810476015824,23.88
FL810476019204,20.616
FL810476015596,23.004
FL810476015572,22.464
FL810476015589,25.62
FL810476015862,22.176
FL810476015855,24.42
FL810476015053,23.868
FL810476015022,21.792
FL810476015169,24.48
FL810476015848,21.972
FL810476015671,24.204
FL810476015077,21.852
FL810476015688,24.54
FL810476015749,24.288
FL810476015732,22.428
FL810476015756,24.54
FL810476015138,21.936
FL810476015794,24.144
FL810476015565,22.368
FL810476015541,21.96
FL810476015558,22.44
FL810476015381,24.192
FL810476015367,22.032
FL810476015374,23.928
FL810476015817,22.164
FL810476015695,24.564
FL810476015107,21.648
FL810476015701,24.276
FL810476015350,21.66
FL810476015336,21.804
FL810476015343,24.276
FL810476015220,21.84
FL810476015459,23.952
FLGTPP,
FL810476015015,21.78
FL810476015442,24.54
FL810476015473,21.672
FL810476015244,24.396
FL810476015466,23.928
FL810476015428,22.572
FL810476015411,24.636
FL810476015435,23.94
FL810476019815,22.716
FL810476019716,18.12
FL810476019822,22.716
FL810476019723,18.612
FL810476019020,18.636
FL810476019006,21.204
FL810476019013,22.356
FL-LMP-XS,2.436
FLXSFTL,2.436
FL610,2.388
FL-LMP-L,3.108
FLLFTL,3.108
FL616,3.048
FL-LMP-M,2.748
FLMFTL,2.748
FL614,2.772
FL-LMP-S,2.58
FLSFTL,2.58
FL612,2.58
FL810476017019,22.164
FL810476018160,21.576
FL810476017002,20.016
FL810476017729,19.644
FL810476019532,29.004
FL810476017644,20.7
FL810476017026,21.252
FL810476018092,21.708
FL810476018207,19.428
FL810476017934,14.868
FL810476017927,14.856
FL810476017842,15.528
FL810476017941,14.832
FL810476016531,12.396
FL810476017347,25.404
FL-FLUB-F,
FL8428508034969,18.372
FL8428508034952,5.292
FL-FLUB,
FL8428508034716,
FL8428508034709,6.72
FL8428508034730,1.512
FL-FLUB-I,
FL8428508034976,19.716
FL8428508034983,6.012
FL810476019518,15.204
17-6902K,4.26
11-6902K,5.28
PD9754WEB,
SP-MB-F-150,18
SP-MB-F-75,9
SP-MB-F-50,12
SP-MB-F-25,6
SP-MB-F-300,36
SP-MB-M-150,18
SP-MB-M-75,9
SP-MB-M-50,12
SP-MB-M-25,6
SP-MB-M-300,36
2328,1.548
form5jj,38.508
JJ12315,38.508
JJ12317,38.508
JJ12316,38.508
FMD010A000-001,53.556
FMD023A000-001,
FMD013A000-001,33.936
1101011,40.62
FF8,4.848
FF51508,4.848
FF51506,4.872
FFSTAM,10.092
FF22508,10.092
FF22523,10.08
FF22531,9.684
FFAm,20.34
FF1641874,20.34
FF1641836,21.168
FFBBALLS,9.756
FF39308,9.756
FF39166,9.36
FFBBEAD,5.808
FF38108,5.808
FF38103,6.048
FFBOOSTY,6.384
FF38308,6.384
FF38374,6.384
FFBOOTIE,5.436
FF24908,5.436
FF24906,5.424
FFCobra2,27.108
FF5010808,27.108
FF5010803,28.092
5000808,33.804
5000051,35.064
5000803,34.776
5000008,
24006,11.52
24036,11.46
FFCurve,11.46
24008,11.976
4703938,31.632
4700606,
FFDelight,28.164
FF4700008,28.164
FF4700864,28.164
FFDoll,19.464
FF1631831,19.464
FF1631851,19.776
FFDuke,18.084
FF5200808,18.084
FF5200851,18.108
FFELL,16.428
FF03138,16.428
FF03106,16.428
FFFlame,3.36
FF51303,3.36
FF51319,3.348
FFFlash,12.072
FF04808,12.072
FF04803,12.072
FFFLEX,6.048
FF38008,6.048
FF38036,5.808
FF1611835,19.152
FF1611866,19.164
FFbboss,25.284
FF1120008,25.284
FF1120023,24.972
FFCalla,25.812
FF1110038,25.812
FF1110065,24.624
FFG4PatchyP,25.548
FF1100071,25.548
FF1100036,25.284
FFPP,27.264
FF1200031,27.264
FF1200006,25.86
FFTiger,24.072
FF1130051,24.072
FF1130035,24.564
FFGigo,11.652
FF04658,11.652
FF04623,12.072
FFJAM,6
FF18651,6
FF18623,6
FFJAZZIE,7.104
FF18508,7.104
FF18536,7.32
FFJOUPIE,7.392
FF18403,7.392
FF18473,7.392
FFLaya,13.452
FF46008,13.452
FF46339,13.404
FF46003,12.912
FF46138,13.404
FFLP,10.728
FF04271,10.728
FF04236,10.38
FFSTMAG,13.812
FF22608,13.812
FF22664,13.62
FFMean,10.728
FF04566,10.728
FF04514,10.428
FFflora,19.164
FF25308,21.504
FF25336,21.516
FFNWave,21.516
FFOcean,11.628
FF04338,11.628
FF04373,11.7
FFSVPP,15.852
FF03471,15.852
FF03436,15.816
FFPearly,19.056
FF1601872,19.056
FF1601865,19.056
FFStraonic-D,46.824
FF4000364,46.824
FF4000374,46.824
FF4000136,46.824
