sku,vendor_partn,vendor,status,title,notes,our_price,kent_url,homedepot_price,homedepot_url
5240829,5442,Mono Serra Ceramic,Approved,Dakar Ceramic Floor Tile,,"$15,84 ",http://www.kent.ca/kbs/en/search.jsp?removeAllFacets=true&addFacet=12015%3Aen%3ASRCH%3A5240829&_requestid=2038191,,
392507,None,Canwel,Approved,"16"" White Painted Shelf",,,,,
2396SDSK,None,Lumber Vendor,Approved,"2"" x 3"" Stud",,,,,
5055032,,,,,,,,,
7515001,FBB0001326,Recochem Inc.,Approved,3.78L Windshield Washer Fluid,,,,,
5064678,,,,,,,,,
21012SDCK,None,Lumber Vendor,Approved,"2"" x 10"" Dimensional Lumber",,,,,
5257095,None,Canwel,Approved,Silencer SR Underlay,,,,,
168SDCK,None,Lumber Vendor,Approved,"1"" x 6"" Board",,,,,
6940103,400171,Blanco Contact,Approved,Vienna 2-Bowl Anthracite Granite Kitchen Sink,,"$399,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6940103&navAction=jump&prdId=6940103&catalogId=891,,
721118,JM7S36,Selkirk Canada Corporation (Supervent Chimney),Approved,"7"" x 36"" Chimney Length",,"$93,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=721118&navAction=jump&prdId=721118&catalogId=1776,"$93,99 ",http://www.homedepot.ca/product/max-chimney-7-inch-x-36-inch-length/920800
1032502,1032502,Marwood Ltd,Approved,Pressure Treated Privacy Plus Lattice,,"$19,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1032502&navAction=jump&prdId=1032502&catalogId=2023,,
2098335,CES-324FR-BM,Standard Patio Doors,Approved,"32"" 4-5/8 Esquire Steel Door",,"$299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=2098335&navAction=jump&prdId=2098335&catalogId=1357,,
1640080,05V61507,Balcan Plastics Ltd.,Approved,Vapour Barrier,,"$79,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1640080&navAction=jump&prdId=1640080&catalogId=1350,,
168RPD2K,168RPD2K,JD Irving Ltd,Approved,"1"" x 6"" Knotty Pine",,"$8,29 ",http://www.kent.ca/kbs/en/product.jsp?skuId=168RPD2K&navAction=jump&prdId=168RPD2K&catalogId=54,,
7639150,LDT-1002KD,Delaware Pump & Parts LTD,Approved,10 Cu. Ft. Steel Dump Cart,,"$159,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7639150&navAction=jump&prdId=7639150&catalogId=599,,
1826011,None,Alexandria Mouldings,Approved,"4-1/4"" Primed MDF Crown Moulding",,,,,
6459205,,,,,,,,,
SALT20,SALT20,Canadian Salt Co. Ltd. (Windsor),Approved,20 Kg Safe-T-Salt,,,,,
6848033,DFP4743E,Dimplex North America Ltd.,Approved,Caprice Espresso Fireplace,,"$499,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6848033&navAction=jump&prdId=6848033&catalogId=1509,,
5240723,3928,Mono Serra Ceramic,Approved,Petra Gold Ceramic Floor Tile,No to view online,,,,
7160022,CB00004,Stove Builder International,Approved,FW3000 Pedestal-Base Wood Stove,,"$899,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7160022&navAction=jump&prdId=7160022&catalogId=1206,,
7318005,None,Avon Valley,Needs Translation,"12"" Deluxe Hanging Basket",No to view online,,,,
5250970,C8200,Goodfellow,Approved,Waltham Red Oak Hardwood Flooring,,"$89,80 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5250970&navAction=jump&prdId=5250970&catalogId=736,,
12PT,12PT,Lumber Vendor,Approved,"1/2"" Pressure Treated Plywood",,,,,
7688021,None,Envirem Technologies,Approved,Sheep Manure,,,,,
6460278,,,,,,,,,
2614PT,None,Lumber Vendor,Approved,"2"" x 6"" x 14' Pressure Treated Lumber",,,,,
5064729,HEBEI#47,Hebei Machinery Import,Approved,"36"" White Vanity with Mirror",,"$499,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064729&navAction=jump&prdId=5064729&catalogId=1313,,
6832436,,,,,,,,,
5255258,27541,Mono Serra Ceramic,Approved,12mm Oak Laminate Flooring,,,,"58,14",
6908000,,,,,,,,,
1PROE2,None,Owen's Corning Canada LP,Approved,"1"" Celfort 200 Rigid Foam Insulation",,,,114,
3415310,None,Accu Link,Approved,Dog Kennel,,,,,
18257109,None,Alexandria Mouldings,Approved,"2-1/2"" Primed Pine Colonial Casing",,,,"129,99",
7180000,PRO250,Venmar,Approved,Venmar PRO250 Air Exchanger,,"$799,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7180000&navAction=jump&prdId=7180000&catalogId=1770,,
5255248,FLADTAO,FLADTAO,Approved,Tobacco Oak Laminate,,,,,
7129002,None,Electrolux,Approved,50 Pint Dehumidifier,,,,,
21010PT,None,Lumber Vendor,Approved,"2"" x 10"" x 10' Pressure Treated Lumber",,,,,
8650022,6511301,Onward Manufacturing Company Ltd.,Approved,Weber Genesis EP310 Propane Barbecue,,,,,
27601,381419,CGC Inc.,Approved,Sheetrock 90 Joint Compound,,,,,
5755200,,,,,,,,,
7520024,961980049,Husqvarna Canada,Approved,"Poulan Pro 414cc 30"" Snow Thrower",,"$1.499,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7520024&navAction=jump&prdId=7520024&catalogId=1199,,
2416SDCK,None,Lumber Vendor,Approved,"2"" x 4"" Dimensional Lumber",,,,,
6444003,58804C/01,PPG Canada Inc.,Approved,Olympic Semi-Transparent Stain,,,,,
702441,24513,IPEX HomeRite Products,Approved,PVC Sewer Pipe,,"$14,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=702441&navAction=jump&prdId=702441&catalogId=1493,,
6914016,TW78440A,Mirolin Industries Corp.,Approved,Vista Tubwall,,"$74,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6914016&navAction=jump&prdId=6914016&catalogId=636,,
1270075,None,Import Vendor,Approved,Beige Primed Plywood Siding,,,,,
6464005,6-2C,PPG Canada Inc.,Approved,Speedhide Interior Flat Latex Primer/Sealer,,"$23,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6464005&navAction=jump&prdId=6464005&catalogId=2057,,
6612PT,None,Lumber Vendor,Approved,"6"" x 6"" x 12' Pressure Treated Lumber",,,,,
5250854,None,Import Vendor,Approved,Chocolate Maple Hardwood,,,,,
CO2668B,None,Moulding and Millwork,Approved,6-Panel Interior Bifold Door,,,,,
3480000,None,Canwel,Approved,White Plastic Lattice,,,,,
5250080,708-94-0014,Goodfellow,Approved,Carbonized Horizontal Bamboo,,"$71,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5250080&navAction=jump&prdId=5250080&catalogId=732,,
54414PT,None,Lumber Vendor,Approved,"1-1/4"" x 4"" x 14' Pressure Treated Decking",,,,,
1610320,250001,Roxul,Approved,Roxul Safe'n'Sound Insulation,,"$58,14 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1610320&navAction=jump&prdId=1610320&catalogId=44,"$58,14 ",http://www.homedepot.ca/product/roxul-safensound-for-wood-studs-16-in-on-centre/972187
5755057,12101,Prime Fasteners,Approved,"1-1/4"" Roofing Nails",,"$32,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5755057&navAction=jump&prdId=5755057&catalogId=1197,,
7037615,L82839,Moen Canada Inc.,Approved,Tub & Shower Faucet,,"$114,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7037615&navAction=jump&prdId=7037615&catalogId=644,"$114,00 ",http://www.homedepot.ca/product/1-handle-lever-positemp-pressure-balanced-shower-faucet-chrome-finish/942003
38SDEG,None,Canwel,Approved,D-Grade Plywood,,,,,
7127325,RDH1507TCW,Dimplex North America Ltd.,Approved,"750/1,500w Wall-Insert Heater",,"$129,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7127325&navAction=jump&prdId=7127325&catalogId=1781,"$129,99 ",http://www.homedepot.ca/product/1500w-240v-fan-forced-wall-insert-electric-heater-white/901509
5055036,,,,,,,,,
5055033,,,,,,,,,
2660019,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
21016SDCK,None,Lumber Vendor,Approved,"2"" x 10"" Dimensional Lumber",,,,,
8750033,HFS-021.7,Import Vendor,Approved,Kingston 6 Piece Folding Dining Set,,,,,
2835406,2835405,Mitten,Approved,Sentry Series ACT Premium Vinyl Siding,,"$12,72 ",http://www.kent.ca/kbs/en/product.jsp?skuId=2835406&navAction=jump&prdId=2835406&catalogId=174,,
2810416,,,,,,,,,
5064677,EMV102W,Import Vendor,Approved,Clarity Vanity,,"$189,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064677&navAction=jump&prdId=5064677&catalogId=1313,,
5255739,FLEND1290TO,Taiga Forest Products,Approved,Tavern Oak 12.3mm Laminate Flooring,,"$35,12 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255739&navAction=jump&prdId=5255739&catalogId=1191,,
535030,,,,,,,,,
9973180,None,Sod,English Review,Sod,No to view online,,,,
3460002,None,Lattice Top Fence Panel,Approved,Lattice Top Fence Panel,,,,,
2814PT,None,Lumber Vendor,Approved,"2"" x 8"" x 14' Pressure Treated Lumber",,,,,
3010536,063-5801-4,Brasscraft,Approved,All-In-One Granite Laundry Tub,,"$99,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=3010536&navAction=jump&prdId=3010536&catalogId=911,,
6846076,YRLV4300A1048/U,Honeywell Ltd.,English Review,5-2 Programmable Thermostat 3-Pack,No to view online,,,,
1032205,None,Marwood Ltd,Approved,"1-1/8"" x 1-3/8"" Provincial Beveled Baluster",,,,,
9966550,74200,DAP Canada Inc. a division of RPM Canada,Approved,Dap Kwik Foam,,"$5,97 ",http://www.kent.ca/kbs/en/product.jsp?skuId=9966550&navAction=jump&prdId=9966550&catalogId=2044,,
882022,None,Import Vendor,Approved,Reinforced Wire Mesh,,,,153,
5255261,,,,,,,,,
1620820,None,Owen's Corning Canada LP,Approved,Foamular Codebord R10 Insulation,,,,"66,93",
328303,None,Lifestyles_Vendor,Approved,"#9 x 2-1/2"" Green Deck Screws",,,,,
3030680,59690,Shaw Group,Approved,StackStone Garden Wall Blocks,,"$2,59 ",http://www.kent.ca/kbs/en/product.jsp?skuId=3030680&navAction=jump&prdId=3030680&catalogId=1715,,
2040065,None,Aluminart Contact,Approved,Northern 2-Lite Aluminum Storm Door,,,,,
6071050,None,Plasti-Bac Inc.,Approved,240L Garbage Can with Wheels,,,,,
34OSHO,None,Columbia Forest Products,Approved,"3/4"" Shop-Grade Oak Plywood",,,,,
19835,None,JD Irving Ltd,Approved,Pine Clapboard Siding,,,,,
34PT,None,Lumber Vendor,Approved,"3/4"" Pressure Treated Plywood",,,,,
6805334,IFM161251T,Canarm Ltd.,Approved,"Twinpack 12"" Clip Flushmounts",,"$24,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6805334&navAction=jump&prdId=6805334&catalogId=918,,
1826014,None,Alexandria Mouldings,Approved,14' MDF Primed Colonial Baseboard,,,,,
8650047,466270612,Char-Broil,Approved,Char-Broil Tru Infrared Urban Grill,,,,,
5240791,3340,Import Vendor,Needs Translation,Mojave Ceramic Tile,No to view online,,,,
6460297,None,Sico Inc.,Approved,Sico Supreme Interior Pearl Latex Paint,,,,,
3848,141090,CGC Inc.,Approved,"Sheetrock 3/8"" x 4' x 8' Tapered Edge Panel",,"$12,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=3848&navAction=jump&prdId=3848&catalogId=41,,
2414SDCK,None,Lumber Vendor,Approved,"2"" x 4"" Dimensional Lumber",,,,,
535040,,,,,,,,,
5255740,FLEND1290EI,Taiga Forest Products,Approved,Easter Island 12.3mm Laminate Flooring,,"$35,12 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255740&navAction=jump&prdId=5255740&catalogId=1191,,
2810450,None,Mitten,Approved,"1/2"" J-Channel",,,,,
1612SDCK,None,Lumber Vendor,Approved,"1"" x 6"" Board",,,,,
7410020,Miami,Reliable Trend,Approved,Miami Kitchen Cart,,"$299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7410020&navAction=jump&prdId=7410020&catalogId=1204,,
7160726,NC100E,Newmac MFG Inc.,French Review,Classic I EPA Cabinet Wood Stove,,"$89,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7160726&navAction=jump&prdId=7160726&catalogId=1206,,
6912007,102890-000-001-,"Maax Canada Inc. (Lachine, Beauce, Westco)",Approved,Tigress Round Shower,,"$629,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6912007&navAction=jump&prdId=6912007&catalogId=656,,
1620730,IS1150,Downeast Plastics Ltd.,Approved,R5.6 Thermal Strap Insulation,,"$18,69 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1620730&navAction=jump&prdId=1620730&catalogId=45,,
5750004,CPAK1850BN,Stanley Bostich,Approved,"Bostitch 2"" 18 Gauge Brad Nailer Combo Kit",,"$249,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5750004&navAction=jump&prdId=5750004&catalogId=1091,,
6452045,89-line,PPG Canada Inc.,Approved,Manor Hall Interior Eggshell Latex Paint,,"$46,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6452045&navAction=jump&prdId=6452045&catalogId=2056,,
58SSEL,None,Lumber Vendor,Approved,"5/8"" Spruce Select Plywood",,,,,
148SDCK,None,Lumber Vendor,Approved,"1"" x 4"" Spruce Strapping",,,,,
5250245,708-52,Goodfellow,Approved,Birch Hardwood Flooring,,"$75,84 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5250245&navAction=jump&prdId=5250245&catalogId=733,,
228SRC,None,Lumber Vendor,Approved,"2"" x 2"" Dimensional Lumber",,,,,
6640404,MPP1019,Metal Tech North America Inc,Approved,Aluminum Scaffold Platform,,"$153,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6640404&navAction=jump&prdId=6640404&catalogId=1616,"$153,00 ",http://www.homedepot.ca/product/metaltech-aluminum-scaffold-platform-with-plywood-deck-contractor-series-10/938863
7410079,ES 204,Import Vendor,Approved,"Petra 30"" Swivel Barstool",,"$99,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7410079&navAction=jump&prdId=7410079&catalogId=778,,
425056,212,CGC Inc.,Approved,Santa Fe Fibreglass Ceiling Tile,,"$66,93 ",http://www.kent.ca/kbs/en/product.jsp?skuId=425056&navAction=jump&prdId=425056&catalogId=5,"$66,93 ",http://www.homedepot.ca/product/santa-fe-climaplus-212-acoustical-ceiling-panels-2-feet-x-4-feet-x-5-8-inch/917631
1312SDCK,None,Lumber Vendor,Approved,"1"" x 3"" Spruce Strapping",,,,,
2812SDCK,None,Lumber Vendor,Approved,"2"" x 8"" Dimensional Lumber",,,,,
1412SDCK,None,Lumber Vendor,Approved,"1"" x 4"" Spruce Strapping",,,,,
5039001,HBVD4821,Import Vendor,Approved,"48"" Classic White Vanity",,"$249,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5039001&navAction=jump&prdId=5039001&catalogId=1313,,
5255738,FLEND1290RB,Taiga Forest Products,Approved,Rustic Barn 12.3mm Laminate Flooring,,"$35,12 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255738&navAction=jump&prdId=5255738&catalogId=1191,,
7314489,None,Scott's Nursery,Needs Translation,Assorted Herbs,No to view online,,,,
7077115,None,Bottled Water,Approved,Millennium Mist Springs,,,,,
6712005,IOL73T10CD,Canarm Ltd.,Approved,Convertible Lantern Twinpacks,,"$39,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6712005&navAction=jump&prdId=6712005&catalogId=287,,
6848048,MTVS2513CN,Greenway Home Products,Approved,Muskoka Dwyer Media Stand,,"$699,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6848048&navAction=jump&prdId=6848048&catalogId=1509,,
448SD3,None,Lumber Vendor,Approved,"4"" x 4"" Spruce",,,,,
2283624,None,Atlantic Windows,Approved,Vision Low-E Argon Horizontal Slider Window,,,,,
8650050,463722312,Char-Broil,Approved,"Char-broil 48,000 BTU Propane Barbecue",,,,,
9013293,XGF15V-K-C,Cooper Wiring Devices,Approved,White GFCI Receptacle,,"$16,98 ",http://www.kent.ca/kbs/en/product.jsp?skuId=9013293&navAction=jump&prdId=9013293&catalogId=1196,,
5255730L,FLAD8.3CW,Taiga Forest Products,French Review,Country Walnut 8.3mm Laminate Flooring,,,,,
5250852,None,Import Vendor,Approved,Natural Maple Hardwood,,,,,
5255255,721-42-1686,Goodfellow,Approved,Walnut Laminate Darby Strip,,"$32,80 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255255&navAction=jump&prdId=5255255&catalogId=739,,
3480110,None,Canwel,Approved,White Plastic Privacy Lattice,,,,,
6453101,,,,,,,,,
7676001,None,Import Vendor,Approved,Propane Refill Exchange,,,,,
21014SDCK,None,Lumber Vendor,Approved,"2"" x 10"" Dimensional Lumber",,,,,
5453402,FW3648205,Shade-O-Matic,Approved,"2"" Faux Wood Blind",,,,,
2620014,520021,IKO Industries Ltd.,Approved,RoofGard Cool Grey Roof Underlayment,,"127,95",http://www.kent.ca/kbs/en/product.jsp?skuId=2620014&navAction=jump&prdId=2620014&catalogId=1379,,
5453411,FW3672205,Shade-O-Matic,Approved,"2"" Faux Wood Blind",,,,,
254035,2310,CGC Inc.,Approved,Radar Pattern Ceiling Tiles,,"$42,36 ",http://www.kent.ca/kbs/en/product.jsp?skuId=254035&navAction=jump&prdId=254035&catalogId=5,,
7430143,None,Import Vendor,Approved,Faux Leather Storage Bench,,,,,
3128PT,None,Marwood Ltd,Approved,Pressure Treated Hemlock Mini Tie,,,,,
8651002,30285CDI,Kay Home,Approved,Regency Park Firepit,,,,,
21016PT,None,Lumber Vendor,Approved,"2"" x 10"" x 16' Pressure Treated Lumber",,,,,
6464010,6-2 18L,PPG Canada Inc.,Approved,Speedhide Interior Flat Latex Sealer,,"$83,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6464010&navAction=jump&prdId=6464010&catalogId=2056,,
5055022,,,,,,,,,
705015,DXL24050,CGC Inc.,Approved,12' Fire-Rated Ceiling Main Tee,,"$8,29 ",http://www.kent.ca/kbs/en/product.jsp?skuId=705015&navAction=jump&prdId=705015&catalogId=3,,
6453100,79550C/01,PPG Canada Inc.,Approved,Olympic® Maximum® Semi-Transparent Stain,,"$43,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6453100&navAction=jump&prdId=6453100&catalogId=2140,,
2032025,None,Atlantic Windows,Approved,Vented Steel Exterior Door,,,,,
6649014,175438,DOW Chemical Company,Approved,Window and Door Insulating Foam Sealant,,"$7,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6649014&navAction=jump&prdId=6649014&catalogId=2100,,
7006882,,,,,,,,,
8645024,960480033,Husqvarna Canada,Approved,"Husqvarna 48"" 22 HP Lawn Tractor",,,,,
2692SDSK,None,Lumber Vendor,Approved,"2"" x 6"" x 92"" Spruce Stud",,,,,
MDF3428,None,Lumber Vendor,Approved,MDF Craft Board Panel,,,,,
6070022,CL78187,Clorox Company of Canada Ltd.,Approved,Glad Contractor Garbage Bags,,"$13,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6070022&navAction=jump&prdId=6070022&catalogId=863,,
8650052,None,Char-Broil,Approved,"Char-Broil 60,000 BTU Propane Barbecue",,,,,
188RPD2K,188RPD2K,JD Irving Ltd,Approved,"1"" x 8"" Knotty Pine",,"$11,59 ",http://www.kent.ca/kbs/en/product.jsp?skuId=188RPD2K&navAction=jump&prdId=188RPD2K&catalogId=54,,
1610SDCK,None,Lumber Vendor,Approved,"1"" x 6"" Board",,,,,
6940002,400911,Blanco Contact,Approved,Vienna 210 2-Bowl Café Silgranit® Sink,,"$399,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6940002&navAction=jump&prdId=6940002&catalogId=891,,
7656262,LG3237,Suncia,Approved,10' x 10' Leaf Gazebo,,,,,
7313001,None,Musquodoboit Valley Quality Sod,Needs Translation,Kentucky Bluegrass,No to view online,,,,
6861001,,,,,,,,,
1310SDCK,None,Lumber Vendor,Approved,"1"" x 3"" Spruce Strapping",,,,,
7128583,DPAC9010,Electrolux,Approved,"9,000 BTU Portable Air Conditioner",,"$449,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7128583&navAction=jump&prdId=7128583&catalogId=1638,,
2890901,None,Mitten,Approved,Cabot Series Vinyl Siding,,,,,
6848013,DFP6755N,Dimplex North America Ltd.,Approved,Traditional Fireplace,,,,,
7145102,None,Selkirk Canada Corporation (Supervent Chimney),Final Review,"6"" x 6' Chimney Wall Package",No image,,,,
2619013,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
5453403,FW4248205,Shade-O-Matic,Approved,"2"" Faux Wood Blind",,,,,
5039000,HBVD3621,Import Vendor,Approved,"36"" Classic White Vanity",,"$209,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5039000&navAction=jump&prdId=5039000&catalogId=1313,,
7187640,None,Broadleaf,Approved,Cobra Ridge Vent,,,,,
21010SDCK,None,Lumber Vendor,Approved,"2"" x 10"" Dimensional Lumber",,,,,
1825011,None,Alexandria Mouldings,Approved,"4-9/16"" Pine Door Jamb",,,,,
5755199,,,,,,,,,
58412FC,142110,CGC Inc.,Approved,"Sheetrock 5/8"" x 4' Firecode Panel",,,,,
38PT,None,Lumber Vendor,Approved,"3/8"" Pressure Treated Plywood",,,,,
16630,None,Canwel,Approved,V-Joint Valley Grade Pine Paneling,,,,,
2810440,None,Mitten,Approved,"3"" x 10' Outside Corner Post",,,,,
7006881,101023-L-000,"Maax Canada Inc. (Lachine, Beauce, Westco)",Approved,Aspen 1-Piece Tub & Shower,,"$799,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7006881&navAction=jump&prdId=7006881&catalogId=671,,
7430102,3921W,Parkline Furniture,Approved,"29"" Saddle Stool",,"$39,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7430102&navAction=jump&prdId=7430102&catalogId=778,,
7036074,P99695,Delta Masco Canada Limited,Approved,"Chrome ""C"" Spout Bathroom Faucet",,"$62,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7036074&navAction=jump&prdId=7036074&catalogId=640,,
392510,None,Canwel,Approved,"24"" White Painted Shelf",,,,,
2810205,None,Mitten,Approved,"3/8"" Levelwall Insulation",,,,,
1640055,05C62508,Balcan Plastics Ltd.,Approved,Heavy-Duty Poly Wrap,,"$23,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1640055&navAction=jump&prdId=1640055&catalogId=1350,,
6460311,717-501,Sico Inc.,Approved,Sico Supreme Interior Semi-Gloss Latex Paint,,"$45,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460311&navAction=jump&prdId=6460311&catalogId=2056,,
5080010,,,,,,,,,
2032020,None,Atlantic Windows,Approved,Vented Steel Exterior Door,,,,"54,99",
1032215,1032215,Marwood Ltd,Approved,"1-3/8"" Angle Cut Baluster",,,,,
6421035,6-411-01,PPG Canada Inc.,Approved,Speedhide Interior Eggshell Latex Paint,,"$31,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6421035&navAction=jump&prdId=6421035&catalogId=2056,,
1126PSTD,None,JD Irving Ltd,Approved,"1"" x 12"" Knotty Pine Shelving",,,,,
6846010,CT410A1001,Honeywell Ltd.,Approved,Economy Baseboard Thermostat,,"$10,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6846010&navAction=jump&prdId=6846010&catalogId=720,,
5550900,153068PF,Lighthouse Lumber,Approved,Heavy-Duty Pocket Door Kit,,"$79,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5550900&navAction=jump&prdId=5550900&catalogId=34,,
1640070,None,Balcan Plastics Ltd.,Approved,Vapour Barrier,,,,,
2693SDSK,,,,,,,,,
3030685,59675,Shaw Group,Approved,StackStone Coping Garden Wall Stone,,"$2,59 ",http://www.kent.ca/kbs/en/product.jsp?skuId=3030685&navAction=jump&prdId=3030685&catalogId=1715,,
6848034,DFP4743C,Dimplex North America Ltd.,Approved,Caprice Cherry Fireplace,,"$499,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6848034&navAction=jump&prdId=6848034&catalogId=1509,,
6880335,DX110,Broan,Approved,110 CFM Bath Fan,,"$69,98 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6880335&navAction=jump&prdId=6880335&catalogId=1292,,
5080876,,,,,,,,,
5255256,28166,Mono Serra Ceramic,Approved,Lapacho Chocolate Laminate Flooring,,"$29,93 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255256&navAction=jump&prdId=5255256&catalogId=1191,,
7055015,A4956,GSW Water Heating Company,Approved,40 Gallon Water Heater,,,,,
1620810,None,Owen's Corning Canada LP,Approved,Foamular Codebord R7.5 Insulation,,,,,
58SSTG,None,Lumber Vendor,Approved,"5/8"" Standard Tongue & Groove Spruce",,,,,
8753204,S-S13A11,Shin Crest,Approved,San Diego 5 Piece Lounge Set,,,,,
5266200,TP-RS-01,Import Vendor,Approved,"42"" Reversible Oak Stair Tread",,"$22,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5266200&navAction=jump&prdId=5266200&catalogId=754,,
5490400,None,Import Mirrors,Needs Translation,Assorted Mirrors,No to view online,,,,
6880007,QS130WWN,Broan,Approved,Allure I White Range Hood,,"$199,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6880007&navAction=jump&prdId=6880007&catalogId=1695,,
5064724,HBNY3621,Hebei Machinery Import,Approved,"36"" Cherry Vanity",,"$449,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064724&navAction=jump&prdId=5064724&catalogId=1308,,
12SDEG,None,Canwel,Approved,D-Grade Utility Plywood,,,,,
7180014,HEPA31000,Venmar,Approved,Venmar HEPA 3100 Air Exchanger,,"$899,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7180014&navAction=jump&prdId=7180014&catalogId=189,,
3030670,59660,Shaw Group,Approved,Standard Roman StackStone Garden Wall Stone,,,,,
1640700,,,,,,,,,
2804000,10456100M0,Mitten,Approved,Sentry Series ACT Premium Vinyl Siding,,,,,
7160306,DP00045,Stove Builder International,Approved,ECO-45 Pellet Stove,,"$1.999,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7160306&navAction=jump&prdId=7160306&catalogId=1778,,
PI2868P,None,Import Doors,Approved,6-Panel Knotty Pine Door,,,,,
10285005,None,Plastival Inc.,Approved,"36"" Black Round Aluminum Baluster",,,,,
6706134,RI4NC2TGWH-6,Canarm Ltd.,Approved,"4"" Recessed Halogen Fixture",,"$179,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6706134&navAction=jump&prdId=6706134&catalogId=1215,,
112PROE2,None,Owen's Corning Canada LP,Approved,Foamular C-200 R7.5 Rigid Foam Insulation,,,,,
7318302,ABED08HB,Avon Valley,Approved,"10"" Hanging Value Basket",,"$11,97 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7318302&navAction=jump&prdId=7318302&catalogId=483,,
702442,40976,IPEX HomeRite Products,Approved,PVC Sewer Cross,,"$13,49 ",http://www.kent.ca/kbs/en/product.jsp?skuId=702442&navAction=jump&prdId=702442&catalogId=1493,,
883630,Z02012,Rust-Oleum Consumer Brands Canada,Approved,Bullseye 1-2-3 Primer/Sealer,,"$32,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=883630&navAction=jump&prdId=883630&catalogId=2057,,
2032075,None,Atlantic Windows,Approved,9-Lite Exterior Steel Door,,,,,
