PIP,SKU,NB NAME,ALL NAME,,QNTY,COST
3690179,GS3690179, Benadryl Allergy Liquid Release 10mg Capsules, BENADRYL ALLERGY LIQUID CAPS (BENADRYL ALLERGY LIQUID RELEASE 10MG CAPSULES (7S)) (JOHNSON&JOHNSON LTD.),7,1,"£2,91"
2461820,PM2461820, Benadryl Allergy Relief Capsules, BENADRYL ALLERGY RELIEF CAPS (JOHNSON&JOHNSON LTD.),24,1,"£4,76"
3698198,PM3698198, Benadryl For Children Allergy Solution, BENADRYL CHILDRENS 2+ SOLUTION (JOHNSON&JOHNSON LTD.), 100ML (1),1,"£3,15"
2735090,PM2735090, Benadryl Plus Capsules, BENADRYL ALLERGY+DECON CAPS (JOHNSON&JOHNSON LTD.),12,1,"£3,15"
3474715,PM3474715, Benylin Children's Chesty Coughs 6-12 Years 125ml, BENYLIN CHILD CHESTY (JOHNSON&JOHNSON LTD.), 125ML (1),1,"£2,29"
3803988,GS3803988, Biotene Fluoride Toothpaste, BIOTENE TOOTHPASTE (Glaxo SmithKline Consumer), 100ML (1),1,"£2,31"
202127,GS0202127, Blistex Daily Lip Conditioner - 7g, BLISTEX LIP CONDITIONER (DENDRON LTD), 7G (1),1,"£1,40"
3628880,SU3628880, Bodyform Maxi Dry Normal Liners - 18, BODYFORM MAXI NORMAL (SCA HYGIENE PAPER LTD),18,1,"£1,40"
2842979,GS2842979, Bonjela Teething Gel, BONJELA TEETHING GEL (Reckitt Benckiser ), 15G (1),1,"£2,26"
2756013,GS2756013, Calypso After Sun Lotion, CALYPSO AFTER SUN LOTION (LINCO CARE LTD), 500ML (1),1,"£2,77"
2756021,GS2756021, Calypso After Sun Lotion with Insect Repellent, CALYPSO A/SUN LOT+INSECT REPEL (LINCO CARE LTD), 500ML (1),1,"£3,05"
3793643,GS3793643, Camilia Infant Drops, CAMILIA TEETHING ORAL SOL 10 (BOIRON SA), 1ML (1),1,"£4,27"
35105,PM0035105, Canesten Cream (P) - 50g, CANESTEN CRM 1% (CLOTRIMAZOLE), 50G (1),1,"£3,50"
2652873,GS2652873, Care Cystitis Relief, CARE CYSTITIS RELIEF SACHETS (Thornton & Ross), 6 x 6,1,"£2,33"
1021369,GS1021369, Care+ Glycerin Suppositories, CARE GLYCERIN SUPPS ADULT (Thornton & Ross), 4G (12),1,"£1,27"
43141,GS0043141, Carnation Corn Caps, CARNATION CORN CAPS (ALLOGA - CEUTA),5,1,"£1,11"
43174,GS0043174, Carnation Corn Pads Oval, CARNATION CORN OVAL FELT PADS (ALLOGA - CEUTA),9,1,"£0,96"
3270543,GS3270543, Cetraben Emollient Cream - 150g, CETRABEN CREAM (SOFT WHITE PARAFFIN) (Thornton & Ross), 150G (1),1,"£3,98"
2764850,GS2764850, Clarityn Rapide Allergy, CLARITYN RAPIDE ALLERGY TABLETS,10,1,"£3,24"
384180,GS0384180, Clearasil Daily Clear Skin Perfecting Wash Sensitive 150ml, CLEARASIL STAY CLR WASH SENS (Reckitt Benckiser ), 150ML (1),1,"£1,97"
3686870,GS3686870, Clearasil Daily Clear Vitamins & Extracts 25 Cleansing Wipes, CLEARASIL DAILY VIT&EXT WIPES (Reckitt Benckiser ),25,1,"£2,26"
3686888,GS3686888, Clearasil Daily Clear Vitamins & Extracts Scrub 150ml, CLEARASIL DAILY VIT&EXT SCRUB (Reckitt Benckiser ), 150ML (1),1,"£3,23"
3054665,GS3054665, Clearasil Stayclear Deep Cleansing Toner - 200ml, CLEARASIL STAY CLR TONER (Reckitt Benckiser ), 200ML (1),1,"£2,63"
3121720,SU3121720, Clearasil Ultra Rapid Action Pads - 65, CLEARASIL ULTRA FACE PADS (Reckitt Benckiser ),65,1,"£3,69"
3062858,GS3062858, Clearblue Digital Ovulation Test - 10 Tests, CLEARBLUE OVULATION DIGITAL (Procter & Gamble ),10,1,"£11,83"
3729902,GS3729902, Clearblue Double-Check & Date Kit - 2 Tests, CLEARBLUE PREG CHECK & DATE (Procter & Gamble ),2,1,"£8,64"
1049279,GS1049279, Clotrimazole Cream 1% 20g, CLOTRIMAZOLE CREAM 1% GUK (MYLAN HOSPITALS), 20G (1),1,"£1,51"
3590197,GS3590197, Colgate Advanced Whitening Toothpaste - 100ml, COLGATE T/PST  WHITE & FRESH (COLGATE PALMOLIVE LTD), 100ML (1),1,"£0,73"
3684503,GS3684503, Colgate Total Advanced Toothpaste, COLGATE T/PST TOTAL ADV (COLGATE PALMOLIVE LTD), 125ML (1),1,"£2,23"
3625134,GS3625134, Colgate Triple Action Toothpaste, COLGATE T/PST TRIPLE ACTION (COLGATE PALMOLIVE LTD), 100ML (1),1,"£1,19"
2668721,GS2668721, Colief Infant Drops, COLIEF INFANT DROPS (FORUM HEALTH PRODUCTS LTD), 7ML (1),1,"£8,40"
376392,GS0376392, Colpermin IBS Relief Capsules, Colpermin  - Peppermint Oil Caps (JOHNSON&JOHNSON LTD.), 0.2 ml e/c caps (M/R),100,"£12,05"
3710118,GS3710118, Corsodyl Daily Gentle Tape, CORSODYL DAILY GENTLE TAPE (Glaxo SmithKline Consumer), 30M (1),1,"£1,46"
3793031,GS3793031, Corsodyl Daily Whitening Toothpaste 75ml, CORSODYL T/PST WHITENING (Glaxo SmithKline Consumer), 75ML (1),1,"£2,82"
3565991,GS3565991, Covonia Double Action Cough Lozenges Berry Blast - 51g, COVONIA LOZENGE BERRY BLAST (Thornton & Ross), 51G (1),1,"£1,01"
424226,PM0424226, Crampex Tablets - 48, CRAMPEX TAB (Thornton & Ross),48,1,"£4,59"
3168242,GS3168242, Cura-Heat Arthritis Pain For Knee Heat Pack - 4, CURA HEAT ARTHRITIS PAIN KNEE (ALLOGA - KOBAYSHI HEALTHCARELTD),4,1,"£3,09"
3223716,GS3223716, Cura-Heat Arthritis Pain Refill Heat Packs - 6, CURA HEAT ARTHRITIS PAIN REFIL (ALLOGA - KOBAYSHI HEALTHCARELTD),6,1,"£3,09"
3307774,GS3307774, Cura-Heat Neck & Shoulder Pain Heat Pack - 2, CURA HEAT NECK PAIN (ALLOGA - KOBAYSHI HEALTHCARELTD),2,1,"£2,78"
3130333,GS3130333, Cura-Heat Period Pain Heat Pack - 3, CURA HEAT PERIOD PAIN (ALLOGA - KOBAYSHI HEALTHCARELTD),3,1,"£2,47"
3534641,GS3534641, Daktarin Intensive Cream - 15g, DAKTARIN INTENSIVE CREAM& (JOHNSON&JOHNSON LTD.), 15ML (1),1,"£3,10"
3682218,GS3682218, Deep Heat Muscle Rescue Neck & Shoulder Cream 50g, DEEP HEAT NECK& SHOULDER CREAM (ALLOGA - THE MENTHOLATUM CO LTD), 50G (1),1,"£3,59"
3108131,GS3108131, Deep Heat Well Patch - 1, DEEP HEAT PATCH (ALLOGA - THE MENTHOLATUM CO LTD),1,1,"£1,32"
3029485,GS3029485, Dentinox Infant Colic Drops, DENTINOX COLIC DROPS SYRINGE (DENDRON LTD), 100ML (1),1,"£1,80"
2481034,PM2481034, Dispirin Aspirin Soluble Tablets - check this is correct product, DISPRIN (Reckitt Benckiser ),32,1,"£1,87"
3491057,PM3491057, Driclor Roll-On Anti-Perspirant - 75ml, DRICLOR (Glaxo SmithKline Consumer), 75ML (1),1,"£3,51"
2683985,GS2683985, Driclor Solution Roll On Applicator - 20ml, Driclor  - Aluminium Chloride Hexahydrate (Glaxo SmithKline Consumer), 20 % soln (roll on) (20ml unit),1,"£3,01"
3207925,GS3207925, Dulcoease Stool Softener, DULCOEASE STOOL SOFTENER (Boehringer),30,1,"£3,12"
435073,GS0435073, Dulcolax Pico Liquid - 300ml, DULCOLAX LIQUID (SODIUM PICOSULFATE 5MG/5ML) (Boehringer), 300ML (1),1,"£4,40"
291070,PM0291070, Duofilm - 15ml, Duofilm  - Salicylic Acid Paint (Glaxo SmithKline Consumer), 16.7 % paint (15ml with applicator),15,"£2,25"
3034113,GS3034113, E45 Junior Foaming Bath Milk - 500ml, E45 JUNIOR BATH (Reckitt Benckiser ), 500ML (1),1,"£3,42"
2879567,GS2879567, E45 Moisturising Hand Cream - 50ml, E45 HAND CREAM (Reckitt Benckiser ), 50ML (1),1,"£2,58"
2648996,PM2648996, Earcalm Spray - 5ml, EARCALM SPR (TEVA), 5ML (1),1,"£4,10"
3745130,SU3745130, Elastoplast Mixed Fabric & Washproof Plasters - 18, ELASTOPLAST MIXED PACK (Beiersdorf ),18,1,"£1,62"
3722097,GS3722097, Eucerin Calming Urea Scalp Treatment, EUCERIN SCALP TREATMENT (Beiersdorf ), 100ML (1),1,"£7,05"
2795383,GS2795383, Eucerin Dry Skin Relief Face Cream 5% Urea - 50ml, EUCERIN UREA FACE CRM 5% (Beiersdorf ), 50ML (1),1,"£6,36"
2343184,GS2343184, Eucerin Intensive 10% w/w Cutaneous Emulsion, EUCERIN INT DRY SKIN LOT 10% (Beiersdorf ), 250ML (1),1,"£7,93"
3360120,GS3360120, Eucerin Intensive 10% w/w Urea Treatment Cream, EUCERIN UREA CRM 10% (Beiersdorf ), 100ML (1),1,"£7,59"
3856515,GS3856515, Eucerin Sun Protection Sun Allergy Protection Sun Creme-Gel 50 High, EUCERIN SUN ALR PRT CR GEL F50 (Beiersdorf ), 150ML (1),1,"£11,31"
2946853,GS2946853, Fast Aid Essentials Family First Aid Kit, FASTAID FIRST AID KIT FAMILY (ROBINSONCARE),1,1,"£7,56"
3471711,GS3471711, Feminax Express Tablets - 16, FEMINAX EXPRESS,16,1,"£2,54"
237438,SU0237438, Fever Scan Forehead Thermometer, FEVERSCAN FOREHEAD THERMOMETER (ROBINSONCARE),1,1,"£2,18"
3007853,GS3007853, Flexitol Heel Balm, Flexitol  - Heel Balm (Thornton & Ross), 1 unit (112g),112,"£6,50"
3531753,PM3531753, Flomax Relief Capsules, FLOMAX RELIEF MR CAPSULES (Boehringer),28,1,"£10,55"
288241,GS0288241, Floradix Liquid Iron and Vitamin Formula 500ml, FLORADIX LIQUID IRON FORMULA (SALUS UK LTD), 500ML (1),1,"£8,94"
3567666,GS3567666, Freederm Deep Pore Cleansing Wipes - 25, FREEDERM DEEP PORE CLN/WIPES (DENDRON LTD),25,1,"£2,48"
3608262,GS3608262, Freederm Fast Track - 25g, FREEDERM FAST TRACK GEL (DENDRON LTD), 25G (1),1,"£3,89"
3313277,GS3313277, Freederm Gel - 10g, FREEDERM TREATMENT GEL (DENDRON LTD), 10G (1),1,"£3,10"
3501699,GS3501699, Freederm Sensitive Facial Wash - 150ml, FREEDERM SENSITIVE FACIAL WASH (DENDRON LTD), 150ML (1),1,"£3,72"
2150506,PM2150506, Fybogel Lemon Sachets - 30, Fybogel  - Ispaghula Husk Sachet (FORUM HEALTH PRODUCTS LTD), 3.5 g / sachet lemon,60,"£4,40"
2150498,PM2150498, Fybogel Natural Sachets - 30, Fybogel  - Ispaghula Husk Sachet (FORUM HEALTH PRODUCTS LTD), 3.5 g / sachet,60,"£4,40"
2150514,PM2150514, Fybogel Orange Sachets - 30, Fybogel  - Ispaghula Husk Sachet (FORUM HEALTH PRODUCTS LTD), 3.5 g / sachet orange,60,"£4,40"
3135548,GS3135548, Garnier Ambre Solaire Clear Protect+ High SPF30 Transparent Body Protection Spray, AMBRE SOL CLR PROT SPRY SPF30 (GARNIER), 200ML (1),1,"£10,98"
3596921,GS3596921, Garnier Ambre Solaire Clear Protect+ High SPF50 Transparent Body Protection Spray, AMBRE SOL CLR PROT SPRY SPF50+ (GARNIER), 200ML (1),1,"£11,16"
3429115,GS3429115, Garnier Ambre Solaire Clear Protect+ Medium SPF15 Transparent Body Protection Spray, AMBRE SOL CLR PROT SPRY SPF15 (GARNIER), 200ML (1),1,"£9,96"
3135522,GS3135522, Garnier Ambre Solaire Clear Protect+ Medium SPF20 Transparent Body Protection Spray, AMBRE SOL CLR PROT SPRY SPF20 (GARNIER), 200ML (1),1,"£10,65"
3681285,GS3681285, Garnier Ambre Solaire High SPF30 Protection Lotion Face & Body, AMBRE SOL MILK LOT SPF30 (GARNIER AMBRE SOLAIRE MILK MINI SPF30) (GARNIER), 50ML (1),1,"£4,26"
3780426,GS3780426, Garnier Ambre Solaire Kids Sensitive Advanced Very High 50+ SPF Spray, AMBRE SOL KIDS SENS SPRY SPF50 (GARNIER), 200ML (1),1,"£12,49"
3780442,GS3780442, Garnier Ambre Solaire Resisto Kids Spray SPF50, AMBRE SOL KIDS SWIM SPRY SPF50 (GARNIER), 200ML (1),1,"£11,06"
3207818,GS3207818, Garnier Ambre Solaire Sensitive Lotion SPF50+ 200ml, AMBRE SOL MILK SENS SPF50+ (GARNIER), 200ML (1),1,"£11,13"
2819985,PM2819985, Gaviscon Advance Peppermint Liquid - 500ml, GAVISCON ADV LIQ P/MINT (FORUM HEALTH PRODUCTS LTD), 500ML (1),1,"£5,12"
3092244,PM3092244, Gaviscon Advance Peppermint Tablets - 60, Gaviscon Advance  - Sodium Alginate Compound Suspn (FORUM HEALTH PRODUCTS LTD), 500 mg/tab (60tab peppermint),60,"£3,07"
219063,PM0219063, Gaviscon Infant Sachets - 30 Doses, GAVISCON INFANT PDR SACH DUAL (FORUM HEALTH PRODUCTS LTD), 2G (15),1,"£3,69"
299677,PM0299677, HC45 Hydrocortisone Cream, HC45 CREAM (Reckitt Benckiser ), 15G (1),1,"£2,58"
3174174,PM3174174, Hedrin 4% Lotion - 150ml, HEDRIN 4% LOTION (Thornton & Ross), 150ML (1),1,"£6,92"
3394814,PM3394814, Hedrin 4% Spray Lotion - 120ml, HEDRIN 4% LOTION SPRAY (Thornton & Ross), 120ML (1),1,"£7,13"
3630233,GS3630233, Hedrin Treat & Go Mousse - 100ml, HEDRIN TREAT & GO MOUSSE (Thornton & Ross), 100ML (1),1,"£7,57"
3630258,GS3630258, Hedrin Treat & Go Spray - 60ml, HEDRIN TREAT & GO SPRAY (Thornton & Ross), 60ML (1),1,"£4,66"
74492,GS0074492, Infacol - 50ml, INFACOL (SIMETHICONE) (TEVA), 50ML (1),1,"£2,71"
3578580,GS3578580, Jungle Formula Natural Roll On - 50ml, JUNGLE FORM ROLL ON NATURAL (Omega Pharma), 50ML (1),1,"£4,20"
345520,PM0345520, Lacri-Lube Ophthalmic Ointment - 5g, LACRI-LUBE OPTH E/OINT (WHITE PETROLATUM) (ALLERGAN LTD), 5G (1),1,"£3,32"
278465,GS0278465, Lanacane Cream - 60g, LANACANE MEDIC CRM (Reckitt Benckiser ), 60G (1),1,"£4,39"
2339224,GS2339224, Listerine Freshburst Mouthwash - 500ml, LISTERINE FRESHBURST (JOHNSON&JOHNSON LTD.), 500ML (1),1,"£2,56"
2618155,PM2618155, Lyclear Creme Rinse 2 x 59ml, LYCLEAR CRM RINSE TWIN (Omega Pharma), 59ML (2),1,"£6,46"
58552,PM0058552, Lyclear Creme Rinse 59ml, LYCLEAR CRM RINSE (Omega Pharma), 59ML (1),1,"£3,55"
3558079,GS3558079, Lyclear Spray & Comb (GSL) - 100ml, LYCLEAR SPRAY + COMB (Omega Pharma), 100ML (1),1,"£7,75"
178582,PM0178582, Migraleve Complete Migraine Relief Tablets - 24, MIGRALEVE COMPLETE TAB (JOHNSON&JOHNSON LTD.),24,1,"£5,16"
126417,PM0126417, Migraleve Double Action Pink Tablets - 24, MIGRALEVE TAB PINK (JOHNSON&JOHNSON LTD.),24,1,"£5,16"
3488459,PM3488459, Movelat Relief Cream - 125g, MOVELAT CREAM 125G (Thornton & Ross),1,1,"£7,19"
3488442,PM3488442, Movelat Relief Gel - 125g, MOVELAT GEL 125G (Thornton & Ross),1,1,"£7,19"
3768488,GS3768488, Murine Hayfever Eye Drops - 10ml, MURINE EYE DROPS HAYFEVER (ALLOGA - CEUTA), 10ML (1),1,"£2,91"
3657525,GS3657525, Murine Refresh & Soothe Eye Mist - 15ml, MURINE EYE MIST REFRESH&SOOTHE (ALLOGA - CEUTA), 15ML (1),1,"£5,82"
186767,GS0186767, Mycota Powder - 70g, MYCOTA FOOT POWDER (Thornton & Ross), 70G (1),1,"£2,71"
3425501,PM3425501, Nasacort Allergy Nasal Spray, NASACORT ALLERGY NASAL SPRAY (CORTICOSTEROID TRIAMCINOLONE ACETONIDE) (Sanofi-Aventis), 30DS (1),1,"£3,01"
3729134,GS3729134, Nivea Lip Butter Original - 16.7g, NIVEA LIP TIN ORIGINAL (Beiersdorf ), 16.7G (1),1,"£1,64"
3729100,GS3729100, Nivea Soft Rose Lip Balm - 4.8g, NIVEA LIP TIN RASPBERRY (Beiersdorf ), 16.7G (1),1,"£1,64"
2541134,GS2541134, Nivea Soothe & Protect Lip Balm - 4.8g, NIVEA LIP SOOTHE+PROTECT (Beiersdorf ), 4.8G (1),1,"£1,71"
443044,GS0443044, NIVEA SUN Moisturising After Sun Lotion, NIVEA SUN AFTERSUN ALOEVERA (Beiersdorf ), 200ML (1),1,"£3,47"
2367381,PM2367381, Nizoral Anti-Dandruff Shampoo (P) - 100ml, NIZORAL DANDRUFF SPOO (JOHNSON&JOHNSON LTD.), 100ML (1),1,"£5,41"
334482,PM0334482, Nurofen 200mg Tablets, NUROFEN TAB 200MG (Reckitt Benckiser ),96,1,"£7,20"
78980,PM0078980, Nurofen 200mg Tablets, NUROFEN TAB 200MG (Reckitt Benckiser ),48,1,"£4,36"
3395027,GS3395027, Nurofen Express Caplets - 16, NUROFEN EXPRESS CAPLETS 256MG (Reckitt Benckiser ),16,1,"£2,44"
3681947,GS3681947, Nurofen Express Period Pain Soft Capsules - 16, NUROFEN EXPRESS PERIOD PAIN (NUROFEN PERIOD PAIN SOFT CAPS) (Reckitt Benckiser ),16,1,"£2,78"
3810728,GS3810728, Nurofen for Children Cold -  Pain and Fever Orange Flavour 3 Ms to 9 Years 100ml, NUROFEN FOR CHILD COLD ORANGE (Reckitt Benckiser ), 100ML (1),1,"£2,58"
3810736,GS3810736, Nurofen for Children Cold -  Pain and Fever Strawb Flavour 3 Mths to 9 Years 100, NUROFEN FOR CHILD COLD STRAWB (Reckitt Benckiser ), 100ML (1),1,"£2,58"
3168903,GS3168903, Nurofen Tension Headache Caplets - 12, NUROFEN TENSION HEADACHE (Reckitt Benckiser ),12,1,"£2,09"
3824620,PM3824620, Nytol One-A-Night 20 Tablets, NYTOL ONE A NIGHT 50MG (Omega Pharma),20,1,"£3,87"
3824752,PM3824752, Nytol Original 25mg Tablets - 20, NYTOL ORIGINAL 25MG (Omega Pharma),20,1,"£2,58"
2819696,GS2819696, Odaban Anti-Perspirant Spray, ODABAN SPR (MDM HEALTHCARE LTD), 30ML (1),1,"£5,73"
3515681,GS3515681, Odour-Eaters Sport Foot & Shoe Spray - 150ml, ODOREATERS SPRT FOOT&SHOE SPRY (DENDRON LTD), 150ML (1),1,"£2,67"
2815611,GS2815611, Oilatum Cream Pump - 500ml, Oilatum  - Emollient Cream (Glaxo SmithKline Consumer), 1 unit (500ml liquid),500,"£4,99"
3861424,GS3861424, Oilatum Daily Junior Lotion, OILATUM LOTION JUNIOR (Glaxo SmithKline Consumer), 200ML (1),1,"£3,64"
2410686,GS2410686, Oilatum Junior Bath Formula, OILATUM  BATH FORMULA JUNIOR (Glaxo SmithKline Consumer), 300ML (1),1,"£5,10"
2982320,GS2982320, Oilatum Natural Repair Face Cream - 50g, Oilatum  - Natural Repair Cream (Glaxo SmithKline Consumer), 1 unit (50g) Face cream,50,"£4,81"
3261054,GS3261054, Oilatum Scalp Intensive Treatment Shampoo, OILATUM SCALP INTENSIVE  SPOO (Glaxo SmithKline Consumer), 100ML (1),1,"£6,21"
3261047,GS3261047, Oilatum Scalp Treatment Shampoo, OILATUM ANTI/DAND TREATMT SPOO (Glaxo SmithKline Consumer), 150ML (1),1,"£7,76"
2723666,GS2723666, Oilatum Scalp Treatment Shampoo, OILATUM ANTI/DAND TREATMT SPOO (Glaxo SmithKline Consumer), 100ML (1),1,"£5,58"
152868,GS0152868, Oilatum Soap Bar - 100g, Oilatum  - Emollient Soap (Glaxo SmithKline Consumer), 1 unit (100g),100,"£2,18"
3777422,GS3777422, Optrex ActiMist 2 in 1 Eye Spray for Itchy + Watery Eyes 10ml, OPTREX ACTIMIST 2IN1 ITCHY (Reckitt Benckiser ), 10ML (1),1,"£9,91"
3688439,GS3688439, Optrex ActiMist 2in1 Eye Spray for Tired + Uncomfortable Eyes 10ml, OPTREX ACTIMIST 2IN1 TIRED (Reckitt Benckiser ), 10ML (1),1,"£9,91"
3152709,PM3152709, Optrex Infected Eye Drops 10ml, OPTREXEYE DROPS INFECTED EYES (Reckitt Benckiser ), 10ML (1),1,"£3,75"
2052330,PM2052330, Otex Ear Drops 8ml, OTEX EARDROPS (DENDRON LTD), 8ML (1),1,"£2,89"
3125671,PM3125671, Ovex Suspension Banana Flavoured Family Pack, OVEX SUSPENSION 100MG/5ML (JOHNSON&JOHNSON LTD.), 30ML (1),1,"£5,75"
3715885,GS3715885, Panadol Period Pain 500mg/65mg Tablets 14 Tablets, PANADOL PERIOD PAIN (Glaxo SmithKline Consumer),14,1,"£1,61"
986877,PM0986877, Panadol Ultra Tablets - 20, PANADOL ULTRA TAB (Glaxo SmithKline Consumer),20,1,"£2,61"
3441383,SU3441383, Periproducts Denti-Brush 30 Wire-Free Interdental Brushes, DENTI BRUSH (PERIPRODUCTS LTD),30,1,"£2,44"
216671,PM0216671, Phenergan 10mg Tablets - 56, Phenergan  - Promethazine (SANOFI UK), 10 mg tab,56,"£2,96"
216697,PM0216697, Phenergan 25mg Tablets - 56, Phenergan  - Promethazine (SANOFI UK), 25 mg tab,56,"£4,65"
3590320,GS3590320, Pirinase Allergy Nasal Spray, PIRINASE ALLERGY NASAL SPRAY (Glaxo SmithKline Consumer),60,1,"£4,59"
3017993,GS3017993, Piriteze Spray, PIRITEZE SYRUP (Glaxo SmithKline Consumer), 70ML (1),1,"£3,09"
3771789,GS3771789, Piz Buin After Sun Soothing & Cooling Moisturising Lotion, PIZ BUIN SOOTH COOL MOIST LOT (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£5,95"
3564234,GS3564234, Piz Buin Allergy Spray SPF 50 High, PIZ BUIN ALLERGY SPRAY SPF50+ (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£10,12"
2268969,GS2268969, Piz Buin Allergy Sun Sensitive Skin Lotion 15 SPF Medium, PIZ BUIN ALLERGY LOT SPF15 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£8,34"
3378379,GS3378379, Piz Buin Allergy Sun Sensitive Skin Lotion 50+ SPF Very High, PIZ BUIN ALLERGY LOT SPF50 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£9,53"
3564242,GS3564242, Piz Buin Allergy Sun Sensitive Skin Spray 30 SPF High, PIZ BUIN ALLERGY SPRAY SPF 30 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£9,53"
3137130,GS3137130, Preparation H?Clear Gel - 50g, PREPARATION H COOLING GEL (Wyeth Pharmaceuticals), 50G (1),1,"£3,50"
20602,PM0020602, Quinoderm Dual Action 5 Cream - 50g, QUINODERM 5 CRM (ALLIANCE PHARMA LTD), 50G (1),1,"£2,43"
232181,GS0232181, Radian B Muscle Rub - 100g, RADIAN B MUSCLE RUB (Thornton & Ross), 100G (1),1,"£2,36"
2397313,GS2397313, Radian B Pump Action Spray, RADIAN B (Thornton & Ross), 100ML (1),1,"£1,78"
3583408,GS3583408, Regaine for Men Extra Strength Foam - Single Pack, REGAINE FOR MEN FOAM (JOHNSON&JOHNSON LTD.), 73ML (1),1,"£21,84"
2550416,GS2550416, Regaine for Men Extra Strength Foam - Triple Pack, REGAINE FOR MEN TRIPLE (JOHNSON&JOHNSON LTD.), 60ML (3),1,"£39,71"
2847309,GS2847309, Regaine for Women Regular Strength, REGAINE FOR WOMEN (JOHNSON&JOHNSON LTD.), 60ML (1),1,"£14,16"
3741915,GS3741915, Riemann P20 Once a Day Sun Protection Spray SPF 15 Medium, RIEMANNS P20 SPF15 (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3741899,GS3741899, Riemann P20 Once a Day Sun Protection Spray SPF 50+ Very High, RIEMANNS P20 SPF50+ (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3741907,GS3741907, Riemann P20 Sun Lotion  SPF30 - 200ml, RIEMANNS P20 SPF30 (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3542016,GS3542016, Sally Hansen Airbrush Legs Light Glow, SALLY HANSEN ARBRSH LEGS LIGHT (RIMMEL INTERNATIONAL LTD),1,1,"£6,49"
3090180,GS3090180, Sally Hansen Airbrush Legs Medium Glow, SALLY HANSEN ARBRSH LEGS MED (RIMMEL INTERNATIONAL LTD), 75ML (1),1,"£6,49"
3699915,SU3699915, Scholl Dry Skin Daily Moisturiser - 60ml, SCHOLL DAILY MOISTURISER (Reckitt Benckiser ), 60ML (1),1,"£2,90"
3063567,SU3063567, Scholl Gel Arch Supports - Size 4 - 6, SCHOLL ADJUST GEL ARCH SUP 4-5 (Reckitt Benckiser ),1,1,"£8,73"
3063583,SU3063583, Scholl Gel Arch Supports - Size 8 - 10, SCHOLL ADJUST GEL ARCH SUP 8-9 (Reckitt Benckiser ),1,1,"£8,73"
3773793,SU3773793, Scholl Hard Skin & Callus Express Liquid Treatment - 50ml, SCHOLL HARD SKIN XPRS TRTMNT (Reckitt Benckiser ), 50ML (1),1,"£7,75"
