Name,SKU Code,Price,Brand,Category,Your Own URL
"SCHNEIDER ELECTRIC / TELEMECANIQUE  LRD22  Overload Relay, TeSys D, Thermal, 16 A, 24 A",LRD22,42.3,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/1885-tesys-lrd/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_1885_L3%26prd_id%3DLRD22%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  NSYS3D4420P  Metallic Enclosure, Spacial S3D, IP66, Wall Mount, 400 mm, 400 mm, 200 mm, Steel, Grey",NSYS3D4420,59.06,Schneider Electric,Spacial S3d,http://www.schneider-electric.com/en/product-range-selector/2536-spacial-s3d/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_2536_L3%26prd_id%3DNSYS3D4420%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  NSYS3D3215P  Metallic Enclosure, Spacial S3D, IP66, Wall Mount, 300 mm, 200 mm, 150 mm, Steel, Grey",NSYS3D3215,44.27,Schneider Electric,Spacial S3m,http://www.schneider-electric.com/en/product-range-selector/2538-spacial-s3cm/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_2538_L3%26prd_id%3DNSYS3D3215%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  NSYS3D4315P  Metallic Enclosure, Spacial S3D, IP66, Wall Mount, 400 mm, 300 mm, 150 mm, Steel, Grey",NSYS3D4315,49.85,Schneider Electric,Spacial S3d,http://www.schneider-electric.com/en/product-range-selector/2536-spacial-s3d/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_2536_L3%26prd_id%3DNSYS3D4315%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  NSYS3D3315P  Metallic Enclosure, Spacial S3D, IP66, Wall Mount, 300 mm, 300 mm, 150 mm, Steel, Grey",NSYS3D3315,45.68,Schneider Electric,Spacial S3m,http://www.schneider-electric.com/en/product-range-selector/2538-spacial-s3cm/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_2538_L3%26prd_id%3DNSYS3D3315%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  NSYS3D6425P  Metallic Enclosure, Spacial S3D, IP66, Wall Mount, 600 mm, 400 mm, 250 mm, Steel, Grey",NSYS3D6425,81.6,Schneider Electric,Spacial S3d,http://www.schneider-electric.com/en/product-range-selector/2536-spacial-s3d/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_2536_L3%26prd_id%3DNSYS3D6425%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV12H075M2  DRIVE, V/S, 0.5-400HZ, 240V, 750W, 1PH",ATV12H075M2,117.81,Schneider Electric,Speed Drives,http://www.schneider-electric.com/en/product-range-selector/63052-variable-speed-drives/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63052_L3%26prd_id%3DATV12H075M2%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV12H037M2  DRIVE, V/S, 0.5-400HZ, 240V, 370W, 1PH",ATV12H037M2,101.85,Schneider Electric,Speed Drives,http://www.schneider-electric.com/en/product-range-selector/63052-variable-speed-drives/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63052_L3%26prd_id%3DATV12H037M2%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV312HU15N4  DRIVE, V/S, ATV312, 500V, 1,5KW, 3PH",ATV312HU15N4,384.47,Schneider Electric,Altivar,http://www.schneider-electric.com/en/product-range-selector/2656-altivar-312/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_2656_L3%26prd_id%3DATV312HU15N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV312HU22N4  DRIVE, V/S, ATV312, 500V, 2,2KW, 3PH",ATV312HU22N4,549.93,Schneider Electric,Speed Drives,http://www.schneider-electric.com/en/product-range-selector/63052-variable-speed-drives/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63052_L3%26prd_id%3DATV312HU22N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV312H075N4  DRIVE, V/S, ATV312, 500V, 0,75KW, 3PH",ATV312H075N4,328.54,Schneider Electric,Speed Drives,http://www.schneider-electric.com/en/product-range-selector/63052-variable-speed-drives/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63052_L3%26prd_id%3DATV312H075N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV312HD15N4  DRIVE, V/S, ATV312, 500V, 15KW, 3PH",ATV312HD15N4,1824.12,Schneider Electric,Speed Drives,http://www.schneider-electric.com/en/product-range-selector/63052-variable-speed-drives/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63052_L3%26prd_id%3DATV312HD15N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV212HU55N4  VARIABLE SPEED DRIVE, 3PH, 5.5KW",ATV212HU55N4,737.28,Schneider Electric,Altivar,http://www.schneider-electric.com/en/product-range-selector/60162-altivar-212/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_60162_L3%26prd_id%3DATV212HU55N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV212HD11N4  VARIABLE SPEED DRIVE, 3PH, 11KW",ATV212HD11N4,1115.52,Schneider Electric,Altivar,http://www.schneider-electric.com/en/product-range-selector/60162-altivar-212/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_60162_L3%26prd_id%3DATV212HD11N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  ATV212HU40N4  VARIABLE SPEED DRIVE, 3PH, 4KW",ATV212HU40N4,655.68,Schneider Electric,Altivar,http://www.schneider-electric.com/en/product-range-selector/60162-altivar-212/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_60162_L3%26prd_id%3DATV212HU40N4%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  LRD08  Overload Relay, TeSys D, Thermal, 2.5 A, 4 A",LRD08,31.59,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/1885-tesys-lrd/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_1885_L3%26prd_id%3DLRD08%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  LRD21  Overload Relay, TeSys D, Thermal, 12 A, 18 A",LRD21,38.09,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/1885-tesys-lrd/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_1885_L3%26prd_id%3DLRD21%26scp_id%3DZ000
