chain,name,country,area,rooms,price,street
,Hotel Healthy Day Inn,Costa Rica,Grecia,,0,100 Metros Sur Del Mall Plaza Grecia
,Hotel Tapanti Media,Costa Rica,Orosi,,0,"1.5 km sobre carretera principal de la iglesia colonial de Orosi, entrada a mano derecha"
,Cabinas Los Almendros,Costa Rica,Puerto Viejo de Talamanca,,0,Detras de la estacion de policia
,Hostel Boutique A Cachete,Costa Rica,San Pedro,,0,"8th Avenue, Max Jimenez Street. Los Yoses"
,Cabinas Vista Miravalles,Costa Rica,Bijagua de Upala,,0,75 metros sur y 25 metros Oeste del Banco Nacional de Bijagua
,Hotel Pacific San Jose,Costa Rica,San Jose,,0,"Avenida 2, Calles 38 - 40"
,Eco Lodge Hotel Alajuela,Costa Rica,Nuevo Arenal,,0,"Lago Coter, Lago Arenal, Tilaran, Guanac Arenal, Alajuela, Costa Rica"
,Hotel Villas Pepitas,Costa Rica,Samara,,0,200 West From Super Market Pali
,Hostel Camping Rio Carmen,Costa Rica,Santa Teresa,,0,400 Mts Norte Del Cruce De Playa Carmen
,Hotel Villas de la Colina,Costa Rica,Atenas,,0,Calle Plancillo S/N
,Hotel & Resort Monte Escondido,Costa Rica,Boca Arenal,,0,4 Kilometros de Santa Teresa De Cutris
,Dayka Complejo Turistico,Costa Rica,Santa Teresa,,0,"Plaza de Deportes de Playa Manzanillo, 600 metros al Sur"
,Casa Sofia Caribbean Lodge,Costa Rica,Puerto Viejo de Talamanca,,0,Margarita s/n
,Cabinas Mor,Costa Rica,Puerto Viejo de Talamanca,,0,"Puerto Viejo De Talamanca, Contiguo al Restaurante Miss Sam"
,Ecopacific Santa Teresa,Costa Rica,Santa Teresa,,0,200 Meters North Of The Soccer Field Penansula De Nicoya
,Zona Two,Costa Rica,San Jose,,0,Calle 3A Av 9 Barrio Amon Diagonal de INVU
,Cabinas El Bosque,Costa Rica,Santa Teresa,,0,300mt North From The Soccer Field In Front Of Brunela Hostel
,Villa Saint Tropez,Costa Rica,Uvita,,0,Bejuco Road
,Gecko Rustik Lodge,Costa Rica,La Fortuna,,0,10 Km Al Ne De La Iglesia En Palma
,Hotel y Restaurante Yare,Costa Rica,Puerto Viejo de Talamanca,,0,Playa Cocles Puerto Viejo Limon
,Cabinas Arsol Fortuna,Costa Rica,Fortuna,,0,Esquina De La Ave 333 Y Calle 464
,Guest Room Veranera,Costa Rica,Tambor,,0,"La Abuela de Cobano ,Tango Mar,lot # 49"
,Casa Colores Montezuma,Costa Rica,Montezuma,,0,1 km de Montezuma
,Blue River Resort Canas,Costa Rica,Aguas Claras,,0,Gavilan De Dos Rios Upala
,Hotel Boutique Indalo Puerto Viejo de Talamanca,Costa Rica,Puerto Viejo de Talamanca,,0,219A street
,B&B La Finca,Costa Rica,San Isidro,,0,"500m North & 300m East of Plaza deportivo La Saca, San Francisco de San Isidro de Heredia"
,Gary & Kathy's Caribbean Beach House,Costa Rica,Puerto Viejo de Talamanca,,0,100 Meters beyond Arrecife Restaurant
,Hotel The Place Malpais,Costa Rica,Malpais,,0,"Cobano, Puntarenas, Costa Rica"
,Big Wave Dave's Villa del Sol,Costa Rica,Nosara,,0,"Playas de Nosara, Nosara"
,Playa Hermosa Inn,Costa Rica,Playa Hermosa,,0,Frente a Playa Hermosa
,Condominios Jaco Bay,Costa Rica,Jaco,,0,"Jaco, Garabito, 1 km oeste de Maxi Pali"
,Las Gaviotas Tamarindo,Costa Rica,Tamarindo,,0, 50 Metros Este De Oro Del Sol
,El Patio Hostal & Camping,Costa Rica,Alajuela,,0,"Avenida 3, calles 7 y 5. 25 metros oeste de la estacion de bomberos de Alajuela"
,Casa Colonial de Langosta,Costa Rica,Playa Langosta,,0,300 mts South from Hotel Capitan Suizo
,Villa Hanny,Costa Rica,Parrita,,0,"Palo Seco Beach Road km 4.9, Palo Seco, Parrita, Puntarenas, Costa Rica"
,2 Secluded Huts,Costa Rica,Osa,,0,400 Meters to Town Centre
,Casa Mafalda,Costa Rica,Jaco,,0,Calle Hidalgo
,Pura Vida Condo,Costa Rica,Puerto Carrillo,,0,Calle por Carrillo Defrente Punto Indio
,Hacienda Tayutic Turrialba,Costa Rica,Turrialba,,0,En Turrialba Al Lado Del Volc 'N Iraz Y Y Turrialba San Jos ' / Central Valley
,Country Club Suerre,Costa Rica,Guapiles,,0,"800 M Norte, Servicentro Santa Clara Guapiles"
,Camp Supertramp Playa Samara,Costa Rica,Samara,,0,500 Meters Northeast Of Iguana Verde Supermercado Y Licorera / Camino Buena Vista
,Cabinas Caracolas,Costa Rica,Malpais,,0,1 km a Mal Pais del Cruce de Playa Carmen
,Casa Tus Peces Amarillos,Costa Rica,Potrero,,0,Calle Aguacate Km 3
,Bombero Adventures B&B,Costa Rica,Playa Hermosa,,0,50 Meters South of Gingers Monte Bello Norte
,Pacific Park 2,Costa Rica,Tamarindo,,0,Cruce de Playa Langosta
,Casita Limon,Costa Rica,Atenas,,0,Barrio Fatima
,Casa Montezuma,Costa Rica,Montezuma,,0,Montezuma
,Ticalinda,Costa Rica,La Fortuna,,0,Calle 476 Av 319a
,Cabinas Nelson,Costa Rica,Muelle de San Carlos,,0,Florencia San Carlos
,Cabinas Elena Brown,Costa Rica,Puerto Viejo de Talamanca,,0,300 Sur Del Bar Lazy Mon Talamanca
,Cariblue Beach & Jungle Resort,Costa Rica,Puerto Viejo de Talamanca,,0,117-7304 Playa Cocles 1 Km Sur De Puerto Viejo De Limon Puerto Viejo
,Luxury Beach Colina 3,Costa Rica,Playa Herradura,,0,1 Los Suenos
,Tempisque Eco Lodge,Costa Rica,Liberia,,0,4km Se De La Entrada Principal De Catsa Guardia Liberia Gte Cr
,Daisyta City and Resort,Costa Rica,Liberia,,0,"Costado Sur del Estadio de Futbol, Casco Antiguo"
,Hotel Loma Verde,Costa Rica,Ciudad Quesada,,0,Centro de Ciudad Quesada al norte 5kms pasa Alamacen Colono a su derecha 500 mts hasta pasar la plaza del pueblo
,Casa David Nosara,Costa Rica,Nosara,,0,"Next to ""4 you hostal"" , Playa Guiones"
,Hermosa Rentals,Costa Rica,Santa Teresa,,0,7 meters North of Malpais
,Hotel & Club Punta Leona Puntarenas,Costa Rica,Puntarenas,,0,Garabito; Puntarenas; Costa Rica
,Casa Fortuna La Fortuna,Costa Rica,La Fortuna,,0,Carretera a la Catarata
,Nosara Verde,Costa Rica,Nosara,,0,"Nosara, guiones"
,Avalon Country Club Santa Ana,Costa Rica,Santa Ana,,0,Santa Ana
,Borinquen Mountain Resort,Costa Rica,Alajuela,,0,Apartado 108-5000
,El Viandante Hotel B And B,Costa Rica,Bagaces,,0,Contiguo Hotel Sapo Dorado
,Los Jardines Hotel,Costa Rica,Santa Teresa,,0,350 Metros Suroeste De La Escuela De Cero Plano Monteverde Costa Rica
,Arenal Kioro Suites And Spa Punta Islita,Costa Rica,Punta Islita,,0,6 MI NW from La Fortuna
,Fortuna Lodge,Costa Rica,La Fortuna,,0,Fortuna
,Studio Los Almendros,Costa Rica,Montezuma,,0,3.5 km al sur de Montezuma
,Art House La Floresta,Costa Rica,Playa Cabuya,,0,7km de Montezuma a Cabuya pasando el hotel Celaje
,Mountain Forest House,Costa Rica,Santa Barbara,,0,"Barrio Jesus, Santa Barbara de Heredia"
,Paradise Lodge,Costa Rica,San Rafael de Guatuso,,0,600 mts Este de La Escuela Delicias-Jicarrito
,B W Irazu - Grupo Marta,Costa Rica,Cariari,,0,Km.3 Autopista General Canas
,Casa Veranera,Costa Rica,Playa Grande,,0,50 meters east from Minae
,Casa Arrecife - Tamarindo Beach,Costa Rica,Tamarindo,,0,Villa Verde Condos
,Mi Casa es Tu Casa - Tamarindo Beach,Costa Rica,Tamarindo,,0,Sunrise Resort
,La Flor,Costa Rica,Playa Cabuya,,0,7km de Montezuma a Cabuya pasando el hotel Celaje
,Experience Avellanas Villas,Costa Rica,Tamarindo,,0,Despues de Hacienda Pinilla 6 kilometros camino a Playa Avellanas Despues Rotulo Mot Mot 150 al Sur a mano derecha
,Casa Don Ciccio,Costa Rica,Puerto Viejo de Talamanca,,0,"Despues del Hotel Bananas, segunda entrada a mano izquierda"
,Hummingbird Beach House,Costa Rica,Jaco,,0,"Playa hermosa, Puntarenas, Garabito"
,Travelers Inn Heredia,Costa Rica,Heredia,,0,150MTS Oeste Entrada Arcos Ciudad Cariari
,Villa Mariposa 4,Costa Rica,Tamarindo,,0,Plaza Conchal A1
,Condominio Tropical Villa,Costa Rica,Jaco,,0,Avenida Pastor Diaz Contiguo al parque de Jaco Condominios Tropical 48
,Casa de Cinema,Costa Rica,San Isidro de El General,,0,Dominicalito - Escaleras - Marina Visa
,Hamaca Surf Camp,Costa Rica,Tamarindo,,0,200 metro a la par del restaurante el Pescador
,Casa Gold Coast - Langosta Beach,Costa Rica,Playa Langosta,,0,Crystal Sands Langosta Paya Langosta
,Cabinas Linda Vista Bed & Breakfast,Costa Rica,Monteverde,,0,Santa Elena Monteverde
,Ecoplaya,Costa Rica,Culebra,,0,Bahia Salinas - Playa La Coyotera 2228-7146 / Guanacaste
,Casa Conde San Jose,Costa Rica,San Jose,,0,68-2400
,Hotel Robledal,Costa Rica,Naranjo,,0,500 Mts Oeste De La Iglesia Catolica Del Roble De Alajuela
,Hotel Agapi Puerto Viejo de Talamanca,Costa Rica,Puerto Viejo de Talamanca,,0,800 metros sur de Puerto Viejo camino a Playa Cocles
,Flamingo Marina Resort Cabo Velas,Costa Rica,Playa Flamingo,,0,"P.O Box 321 - 1002, Guanacaste"
,Lisatec Bed & Breakfast and Spanish School,Costa Rica,Belen,,0,"Ave la Marina, Calle La Ronda #99"
,Samara Palm Lodge,Costa Rica,Samara,,0,200 m oeste del Banco Nacional
,Playa Casa Matapalo,Costa Rica,Matapalo,,0,500m From Casa Aba Matapalo
,Casa Trinidad,Costa Rica,Colon,,0,"Barrio La Trinidad, 50 mts al este de la Iglesia de La Trinidad"
,Hotel Condor Lodge,Costa Rica,Cabo Velas,,0,"Matapalo, Santa cruz, Guanacaste."
,Tabacon Grand Spa Thermal Resort Fortuna,Costa Rica,Fortuna,,0,La Fortuna De San Carlos Alajuela
,Ahki Retreat,Costa Rica,Nosara,,0,"Garza, Las Delicias"
,Cabins La Pura Esquina,Costa Rica,Puerto Jimenez,,0,Segundo Piso de Almacen El Gollo
,Pacifico Condominiums,Costa Rica,Playas del Coco,,0,"Coco Beach, 20 miles from the international Airport"
,Playa Grande Inn,Costa Rica,Playa Grande,,0,Playa Grande
,Hotel Osa Palmar Norte,Costa Rica,Palmar Norte,,0,"Calle Central del Comercio, Palmar Norte, Puntarenas"
,Casa Oro del Sol,Costa Rica,Tamarindo,,0,"Del Centro comercial plaza Conchal, 800 metros al este y 200 al sur"
,Endless Summer - Tamarindo Beach,Costa Rica,Tamarindo,,0,Sunrise Resort
,Surf Paraiso,Costa Rica,Santa Teresa,,0,"700 meters from Crossroads, Cobano"
,Guest Room Amapola,Costa Rica,Tambor,,0,La Abuela de Cobano Tango Mar Lote #49
,Beach Front Paradise Villa,Costa Rica,Santa Teresa,,0,Playa carmen (Luz de Vida)
,Casa Panasa,Costa Rica,Playas del Coco,,0,300 Meters West From Post Office
,Casa Caletas Bagaces,Costa Rica,Bagaces,,0,"Punta Coyote , Golfo De Nicoya, Pacifico Norte 1"
,Eladio's Place,Costa Rica,Canas Dulces,,0,"12 kms al norte de Liberia sobre la ruta 1 se localiza la interseccion a Canas Dulces, continua 500 metros mas hacia al"
,MotMot Surf B&B,Costa Rica,Tamarindo,,0,From San Jose de Pinilla 3km west and 200 meters south. Sign on main road entrance
,In the Shade Tamarindo,Costa Rica,Tamarindo,,0,Calle Corona Between Ret La Baula and Dragonfly
,Fiesta Resort and Casino,Costa Rica,Puntarenas,,0,El Roble
,Cabinas Don Carlos,Costa Rica,Playas del Coco,,0,De la iglesia Catolica 75 metros suroeste
,Hotel Tree House Monteverde,Costa Rica,Monteverde,,0,Frente a la iglesia catolica de Santa Elena
,Cabinas Princesa del mar,Costa Rica,Tortuguero,,0,50 Metros Al Oeste De La Estacion De Policia
,Casa Kristell,Costa Rica,Puerto Viejo de Talamanca,,0,Playa Negra de Puerto Viejo a un Costado del Super La Violeta
,Novaloft,Costa Rica,Santa Ana,,0,Calle Margarita Norte S N
,Mar Inn Hotel Santa Teresa,Costa Rica,Santa Teresa,,0,400 Mts North National Bank Santa Elena Monteverde Puntarenas Costa Rica
,Frijoles Locos Surf & Spa,Costa Rica,Playa Grande,,0, 25 Metros Oeste De La Escuela
,Cormoran10,Costa Rica,Playas del Coco,,0,Playas del Coco
,Casa Serena Playa Grande,Costa Rica,Playa Grande,,0,Parque Nacional Marino Las Baulas
,Daystar Bahia Azul Parrita,Costa Rica,Parrita,,0,Pastor Diaz Avenue Morales St
,Si Como No - Ep,Costa Rica,Alajuela,,0,Manuel Antonio Quepos Costa Rica
,Villas del Caribe Puerto Viejo de Sarapiqui,Costa Rica,Puerto Viejo de Sarapiqui,,0,Puerto Viejo
,Sweet Conchal,Costa Rica,Brasilito,,0,100m Norte del Colegio Country Day
,Tortuguero Dorms,Costa Rica,Tortuguero,,0,In front of the Tortuguero High School
,Casa de Serenidad,Costa Rica,Playa Flamingo,,0,800 meters west of the Flamingo Marina Resort Hotel
,Hotel Luna Llena Siquirres,Costa Rica,Siquirres,,0,1 Calle Real Playa Tamar
,Tropical Bed & Breakfast,Costa Rica,Alajuela,,0,"Las Llanos, La Garita, Alajuela, Costa Rica 20113"
,Camping Villa Cala,Costa Rica,Alajuela,,0,Rio Segundo del supermercado la Julieta 125 metros sur casa del Dr Ardon
,Guapinol 6,Costa Rica,Playa Langosta,,0,Villa Guapinol 6
,Hostel & Cabinas Secret Garden,Costa Rica,Cahuita,,0,Frente al Restaurante tipico Cahuita.
,Rental in Paradise,Costa Rica,Atenas,,0,Barrio los angeles
,Espadilla Ocean Club,Costa Rica,Manuel Antonio,,0,"Espadilla Ocean Club, Playa Manuel Antonio"
,Divisamar Hotel And Casino,Costa Rica,Palmar Norte,,0,Calle Manuel Antonio 82
,New Earth Springs Farm,Costa Rica,Alajuela,,0,Rio Segundo
,Villa Le Mas,Costa Rica,Escazu,,0,Calle Hoja Blanca
,El Arbol,Costa Rica,Manzanillo,,0,350m Oeste De Centro Vacacional Recope
,Pension Orosi View,Costa Rica,Paraiso,,0,"Paraiso Cartago , Bomberos de Paraiso - Left side - Picacho Rastaurant Right side 500 mts sureste"
,Sol Samara Hotel,Costa Rica,Nicoya,,0,Playa Samara
,Luna LLena,Costa Rica,Culebra,,0,Calle Real / Guanacaste
,Best Western El Sitio,Costa Rica,Culebra,,0,"175 mts al este de la entrada principal, Liberia / Guanacaste"
,Cabinas Katakolo,Costa Rica,Ballena,,0,7 5 Km Al Sur De Uvita Costa Ballena
,Condo's Vista Volcan,Costa Rica,La Fortuna,,0,"141 La Fortuna de San Carlos, Alajuela"
,Lake Arenal Casita 17,Costa Rica,Tilaran,,0,"Buena Vista 1, Casa 17, Puerto San Luis, Tronadora, Tiliaran"
,Luigis Hotel & Adventure,Costa Rica,La Fortuna,,0,200 Mts Oeste Del Parque De La Fortuna Costa Rica
,Honali House,Costa Rica,Nosara,,0,In Front Of The Mini Super Las Delicias In North Guiones Playas De Nosara
,Hotel Villa Flores Playas del Coco,Costa Rica,Playas del Coco,,0,400 Norte De El Bar Lizard Direccion A Chorrera
,Finca Maquenque Falls Resort,Costa Rica,Siquirres,,0,Off Highway 32 Alegria Rd
,Colibri Paradise,Costa Rica,Cahuita,,0,Calle Marcellino 84
,Hotel Belmar Bagaces,Costa Rica,Bagaces,,0,East Of the Gas Station 300
,The Miller - Tamarindo Beach,Costa Rica,Tamarindo,,0,Sunrise Resort
,Hotel Oasis Monteverde,Costa Rica,Monteverde,,0,Monteverde
,Hotel Ciudad Perdida,Costa Rica,Tortuguero,,0,"Cahuita,por la carretera a Pto Viejo,500m S 300m E - Tortuguero"
,Lands In Love Hotel And Resort,Costa Rica,San Jose,,0,Route 272
,Hostel El Tucan Monteverde,Costa Rica,Monteverde,,0,"Banco Nacional , 75 metros al Este"
,Refugio Lodge Monteverde Monteverde,Costa Rica,Monteverde,,0,7km noroeste del Centro de Santa Elena
,Cristal Ballena Hotel Resort,Costa Rica,Uvita,,0,Coastal Highway 34
,Punta Islita Hotel,Costa Rica,Siquirres,,0,"Guanacaste, Nanayure, Costa Rica"
,Mirador Lodge Monteverde Monteverde,Costa Rica,Monteverde,,0,"Monteverde, Monteverde, Cr"
,Beleza De Costa Rica,Costa Rica,Tamarindo,,0,Canafistola
,HARMONY Nosara,Costa Rica,Nosara,,0,Guiones Beach
,BAHIA ENCANTADA Desamparados,Costa Rica,Corralillo,,0,"Pastor Diaz Av. on El Jardin St 100 west, BF"
,Naranjal,Costa Rica,Jaco,,0,"Playa Jaco, PuntarenasnullPacifico Central"
,El Viandante Hotel,Costa Rica,Siquirres,,0,250mtr South Escuela Creativa
,Kiana Resorts Dominical,Costa Rica,Dominical,,0,"Playa Dominical, Puntarenas, Costa Rica"
,Casa Rapanui,Costa Rica,Puerto Viejo de Talamanca,,0,En Cocles Puerto Viejo de Talamanca.
,Hotel Bar Restaurante Arena y Sol,Costa Rica,Dominical,,0,Dominical
,Apartahotel Arenal,Costa Rica,La Fortuna,,0,600 meters east from Banco de Costa Rica
,Arenas del Mar Manuel Antonio,Costa Rica,Manuel Antonio,,0,Quepos
,Amapola Puntarenas,Costa Rica,Puntarenas,,0,Jaco
,Paradisus Playa Conchal Santa Cruz,Costa Rica,Santa Cruz,,0,"Bahia Brasilito,Playa Conchal"
,The Sanctuary Resort,Costa Rica,Caldera,,0,Playa Azul Marbella
,Mirador Lodge Monteverde,Costa Rica,Monteverde,,0," Monteverde , 19-5655"
,La Mansion Inn Arenal,Costa Rica,Nuevo Arenal,,0,Lg Lago de Arenal - Alajuela
,Casa Romantica Nosara,Costa Rica,Nosara,,0,Playa Guiones
,1bd Santa Ana Eagle Nest,Costa Rica,Santa Ana,,0,"La Mina Rio Oro, Calle La Chimba,"
,Casa De Linford,Costa Rica,Samara,,0,Playa Azul Sanctuary Resort
,Rainforest CRC,Costa Rica,Alajuela,,0,1km Norte del Parque Nacional Laguna de Fraijanes
,Claro De Luna Bagaces,Costa Rica,Bagaces,,0,Monteverde Cloud Forest
,Condado del Parque,Costa Rica,San Jose,,0,"Mata Redonda, cerca del Parque La Sabana. apto 612 B"
,Stay in Costa Rica Playa Herradura,Costa Rica,Playa Herradura,,0,800mts West Herradura Road
,Hotel Alajuela,Costa Rica,Alajuela,,0,"Diagonal al Parque Central de Alajuela, costado suroeste, contiguo a Farmacia Chavarria."
,Namuwoki Tortuguero,Costa Rica,Tortuguero,,0,PLAYA CHIQUITA - Tortuguero
,La Mansion Inn Alajuela,Costa Rica,Alajuela,,0,Manuel Antonio
,Totem Hotel Resort And Restaurant,Costa Rica,Puerto Viejo de Sarapiqui,,0,"1,5 km south Puerto Viejo"
,Hotel Cuna Del Angel Puerto Limon,Costa Rica,Puerto Limon,,0,9km South of Dominical
,Sunset Reef Marine Hotel La Virgen,Costa Rica,La Virgen,,0,"Mal Pais Beach, Nicoya Peninsula"
,Esencia Alajuela,Costa Rica,Alajuela,,0,Pen. De Nicoya
,Buena Vista Lodge Siquirres,Costa Rica,Siquirres,,0,Pacifico Norte
,Flamingo Beach Resort And Spa,Costa Rica,Siquirres,,0,Main St Playa Flamingo
,Waves Costa Rica Surf Adventures,Costa Rica,Tamarindo,,0,1500 Calle Principal Guanacaste
,Allegro Resort Papagayo,Costa Rica,La Cruz de Guanacaste,,0,Po Box 434-1150
,Las Terrazas De Ballena Puntarenas,Costa Rica,Puntarenas,,0,Uvita; Across From The Gas Satation 1.5 Km Up The Hill
,Minotel Guachipelaa N,Costa Rica,Liberia,,0,"5Km Norte De Liberia,17Km Direction Parque Rincaa"
,Pranamar Oceanfront Villas And Yoga Retreat,Costa Rica,Playa Tamarindo,,0,"Cabo Blanco Nature Reserve, Nicoya Peninsula"
,Hotel Sugar Beach Culebra,Costa Rica,Culebra,,0,"Guanacaste, Santa Cruz, Playa Pan De Azucar Pacific North Coast / Guanacaste"
,Hotel Bahia Esmeralda Culebra,Costa Rica,Culebra,,0,Playa Portero Pacific North Coast / Guanacaste
,Hotel El Volcan Real,Costa Rica,La Fortuna,,0,"8 Kilometros del Centro de la Fortuna, frente al Volcan Arenal"
,The Palapa Hut,Costa Rica,Puerto Jimenez,,0,"La Choza del Manglar, 150 m oeste del aerodromo"
,La Orquidea Lodge,Costa Rica,La Fortuna,,0,1.5 kilometers from La Fortuna Town next to Parque Mundo Aventura
,Borinquen,Costa Rica,Liberia,,0,32 NE from Liberia; Guanacaste; Ca
,Casa Margarita Potrero Beach,Costa Rica,Potrero,,0,"Potrero Beach, Pacific Hights"
,Casa Blanca Costa Rica,Costa Rica,Nuevo Arenal,,0,Nuevo Arenal
,Cocal And Casino,Costa Rica,Puntarenas,,0,Jaco Beach
,Casa Baula - Tamarindo,Costa Rica,Tamarindo,,0,Sunrise Resort
,Hotel Campo Verde La Fortuna,Costa Rica,La Fortuna,,0,Calle 470
,4 You Hostel,Costa Rica,Nosara,,0,Playa Guiones
,Casita Mango,Costa Rica,Atenas,,0,19 Hacienda Atenas
,French Riviera,Costa Rica,Cahuita,,0, Calle Principale
,El Refugio Tropical,Costa Rica,Playas del Coco,,0,Condominio Pequeno Paraiso Apt. 40
,Esencia Hotel & Villas Chirripo National Park,Costa Rica,Santa Teresa,,0,"Santa teresa, Mal Paisc, Puntarenas, Costa Rica
"
,Bahia Esmeralda Hotel Apartments & Suites,Costa Rica,Playa Panama,,0,"100mt este de la Plaza Deportiva de Potrero Santa Cruz, Guanacaste, Costa Rica
 "
,Hotel Capitan Suizo Tamarindo,Costa Rica,Tamarindo,,0,"Playa Tamarindo, Guanacaste
"
,Cala Luna Boutique Hotel & Villas Guanacaste,Costa Rica,Bagaces,,0,"Playa Tamarindo, Costa Rica "
,Costa Rica Luxury Rentals At Los Suenos Resort & Marina,Costa Rica,Playa Herradura,,0,"PO Box 4023-196 Playa Jaco, Costa Rica 
 "
,Tierras Enamoradas,Costa Rica,San Ramon,,0,"45 minutos de La Fortuna, Arenal."
,Le Colibri Rouge Appartement,Costa Rica,Cahuita,,0,300 metros al norte de la entrada del Parque Nacional Cahuita
,La Hacienda Lodge,Costa Rica,Malpais,,0,200 metros pasada la torre del ICE
,The Toucan,Costa Rica,Quepos,,0,Valle Pura Vida
,Casa Real - Luxury Oceanview House,Costa Rica,Santa Teresa,,0,Paradise Hills
,Pelican's Perch,Costa Rica,Cabo Velas,,0,650 Meters or 2/10 of a mile from Playa Real
,Apartamentos Jopacai,Costa Rica,Puerto Limon,,0,Del hotel Maribu Cariba 160 metros al este
,Condominio Macaw,Costa Rica,Jaco,,0,Pastor Diaz.
,Lumbres del Arenal,Costa Rica,La Fortuna,,0,"12 km Oeste del parque de La Fortuna, carretera al Parque Nacional"
,Hotel Aguamarina,Costa Rica,Puntarenas,,0,Calle 15 Avenida 4 Leon Cortes Castro
,Hacienda Tayutic Irazu Volcano National Park,Costa Rica,Turrialba,,0,"En Turrialba Al Lado Del Volcan Irazu Y Turrialba , Turrialba, Costa Rica, 3439-1000"
,Martino Resort Casino & Med Spa,Costa Rica,Alajuela,,0,"La Garita De Alajuela, 200mt A"
,El Establo Siquirres,Costa Rica,Siquirres,,0,Monteverde
,Art House Las Sirenas,Costa Rica,Playa Cabuya,,0,"7 km from Montezuma to Cabuya, after Celaje Hotel"
,Hotel Villa Grace,Costa Rica,Montezuma,,0,Cobano 100 metros del Banco Nacional
,Art-house El Chante,Costa Rica,Playa Cabuya,,0,"7 km from Montezuma to Cabuya, 3 minutes from the Restaurant Bakery - La Panaderia Cabuya"
,Kassandra House,Costa Rica,Montezuma,,0,"Montezuma, Hotel Lucy is the reception"
,Casa Makasi,Costa Rica,Malpais,,0,800m South and 800m East of the Mal Pais / Santa Teresa crossroads
,Flor de Paraiso Bungalows,Costa Rica,Montezuma,,0,Carrete Cobano 6 km hacia Montezuma contiguo a la torre telefonica
,Hostal del Parque,Costa Rica,Montezuma,,0,Frente a la Plaza de Deportes contiguo a la parada de buses
,Ambrosia en la Montana B&B,Costa Rica,Orosi,,0,From Hotel Tapanti Media 2km West Up The Mountain
,Caribbean Dream cottages,Costa Rica,Puerto Viejo de Talamanca,,0,Manzanillo
,Villa Ordonez,Costa Rica,Playa Hermosa,,0,300 metros norte de la Iglesia Catolica
,Santa Fe B&B,Costa Rica,Monteverde,,0,"Cerro Plano 150 oeste banco BCR, Monteverde Puntarenas Costa Rica"
,Villa Beach Playas del Coco,Costa Rica,Playas del Coco,,0,Villa Riviera
,Hotel Casa Corcovado Jungle Lodge,Costa Rica,Carate,,0,Peninsula de Osa Corcovado
,Bebedero Condo,Costa Rica,Escazu,,0,Bebedero s/n
,Cabinas Milanes,Costa Rica,Playas del Coco,,0,"100 mtrs norte del Banco de Costa Rica, Playas del Coco."
,Vista Hermosa,Costa Rica,Culebra,,0,"Las Terrazas Condominium Complex, Peninsula Papagayo"
,Puma Estate,Costa Rica,Culebra,,0,Peninsula Papagayo
,Casa Bamboo Playa Hermosa,Costa Rica,Playa Hermosa,,0,Calle Hermosa
,Jw Marriott Guanacaste Resort & Spa Siquirres,Costa Rica,Siquirres,,0,Haclenda Pinilla; Santa Cruz
,Occidental Grand Papagayo Siquirres,Costa Rica,Siquirres,,0,Playa Buena N Golfo De Papagayo
,Bahia Azul Jaco,Costa Rica,Jaco,,0,Costa Pacifico Central
,Occidental Allegro Papagayo,Costa Rica,Marsella,,0,"Playa Manzanillo, Liberia, P.O. Box 48-5000"
,De Campo,Costa Rica,Cano Negro,,0,"Cano Negro De Los Chiles, Alajuela"
,Ecolodge,Costa Rica,Boca Arenal,,0,Lago Coter
,Casa Julian - Langosta Beach,Costa Rica,Playa Langosta,,0,Playa Flamingo
,La Tortuga - Tamarindo Beach,Costa Rica,Tamarindo,,0,Sunrise Resort
,Playa Hermosa Apartments,Costa Rica,Santa Teresa,,0,500 meters North from Playa Hermosa entrance
,Casa Ginger Jaco Beach,Costa Rica,Jaco,,0,"Jaco Beach, 200 meters past south entrance to Jaco, on the route 34"
,Apartamento San Jose 501,Costa Rica,San Jose,,0,Fifth Avenue between Street 1 and 0/ p.o. box 3593-1000
,Georgina's House,Costa Rica,Cartago,,0,"100 metros norte, 25 metros oeste del parque de la Basilica de Nuestra Senora de Los Angeles."
,Samara Monkey Villa,Costa Rica,Samara,,0,Samara
,Monkey's Tribe Hostel,Costa Rica,San Pedro,,0,300M Sur de la Ultima entrada de los Yoses San Pedro
,BnB Casa Mandala,Costa Rica,San Jose,,0,"Avenida 39, Rohrmoser"
,Laughing Falcon Nature Reserve,Costa Rica,Canas Dulces,,0,"Rancho Colibri, Canas Dulces, Guanacaste, Costa Rica"
,Sanctuary Resort And Spa Santa Cruz,Costa Rica,Santa Cruz,,0,5M Sur De Marbells
,The Retreat Costa Rica,Costa Rica,Atenas,,0,50 E Redondel De Toros
,Villas Las Brisas de Flamingo,Costa Rica,Playa Flamingo,,0,Carretera a Flamingo
,Rhodeside Bed and Breakfast,Costa Rica,Playa San Miguel,,0,1kn South East of Pueblo Nuevo
,Villas A&R,Costa Rica,Guayabo,,0,"Guayabo, Bagaces"
,Hotel Mayol Lodge,Costa Rica,Fortuna,,0,75 mts este de la Parada de autobuses. al lado de Tacos Serrano
,Cabinas Catarino,Costa Rica,Playas del Coco,,0,50 metros oeste del Bar Lizard
,Hostel Pura Vida Montezuma,Costa Rica,Montezuma,,0,Cerca de la parada de autobus y a unos 20 metros de la playa.
,Mother Dear Ocean Cottages,Costa Rica,Puerto Viejo de Talamanca,,0,100 Meters West From The Point Sportsbar
