country,rooms,area,street,price,chain,name
Indonesia,,Gianyar,"Jl. Cucukan, Cucukan- Desa Medahan, Gianyar",0,,Puri Purnama Villa
Indonesia,,Denpasar,Jl. Penyu Dewata Padanggalak Sanur,0,,Bali Bacchus Villas
Indonesia,,Legian,"Jl. Sri Rama, Seminyak - Bali ",0,,Villa Lylah
Indonesia,,Kerobokan,"Jl. Umalas Lestari, Gang Darma No. 555 ",0,,Happy Umalas Villas
Indonesia,,Denpasar,Jl. Pulau Galang Gang Gunung Sari 2 No. 3 A,0,,Yobhis House I
Indonesia,,Denpasar,Jl. Tukad Batanghari No. 55,0,,Batanghari Guesthouse
Indonesia,,Seminyak,Jl. Petitenget Komplek Umasari Blok C No. 15 ,0,,Villa Sakura
Indonesia,,Kerobokan,"Jl. Dukuh Indah, Gg. Sungai, Br. Semer - Umalas",0,,Villa Lulan
Indonesia,,Ubud,Jalan Hanoman,0,,Jaya House
Indonesia,,Kerobokan,Jl. Umalas 1 No. 106,0,,Puri Raisha Villa
Indonesia,,Uluwatu,"Jl. Labuan Sait, Pantai Suluban",0,,The Istana
Indonesia,,Seminyak,Jalan Laksmana Seminyak Basangkasa Kuta,0,,Villa Aya Hotel Bali
Indonesia,,Seminyak,Jl. Bidadari II B No. 5,0,,JD Villa Seminyak
Indonesia,,Canggu,"Echo Beach, Canggu Canggu 80361",0,,Sea Sentosa Canggu
Indonesia,,Legian,"Jl. Werkudara, Gg. Arjuna No. 2 Legian",0,,Villa Raffaela
Indonesia,,Canggu,"Jl. Raya Semat, Gg. Pepaya No. 01, Canggu",0,,Sunset Villa Bali
Indonesia,,Seminyak,"Jl. Cendrawasih, Petitenget",0,,Luxury Villa Cantik Petitenget Bali
Indonesia,,Lovina,"Jl. Laviana, Lovina, Bali - Bali Lovina",0,,Banyualit Spa 'n Resort
Indonesia,,Kerobokan,"Jalan Raya Bumbak, Gang Curik, Banjar Kuwum 2",0,,Villa Bella Kerobokan
Indonesia,,Denpasar,Jl. Karya Makmur No. 1,0,,Hotel Bagasta Bali
Indonesia,,Ubud,Jalan Monkey Forest,0,,Kerta Accommodation
Indonesia,,Kuta,"Jalan Poppies II, Gang Dewi",0,,Dewi Homestay Kuta
Indonesia,,Ungasan,Bali Cliff Street No.14,0,,Villa Tolroy
Indonesia,,Denpasar,Jalan Nakula timur No 7 Denpasar Barat 80119 Bali Indonesia,0,,RedDoorz @ Nakula Sunset Road
Indonesia,,Buwit,Desa Buwit Jl. Mulyoto,0,,Q4 Villas
Indonesia,,Seminyak,Jl. Nakula Gg. Baik Baik Gg. Gita Ayu No. 7a,0,,Villa Koko
Indonesia,,Seminyak,Jl. Mertanadi no 35,0,,Villa Kaia
Indonesia,,Kerobokan,"Jl. Kedampang No 9, Pengubengan Kauh",0,,Dwi Bunga Villa
Indonesia,,Ubud,"Banjar Penestanan Kaja, Campuhan",0,,Kajeng House
Indonesia,,Denpasar,Jalan Ciung Wenara II no 20A,0,,Rumah Citra
Indonesia,,Denpasar,"Jalan Gatot Subroto IV, no 18",0,,The Grand Bali Park Hotel
Indonesia,,Ubud,"Jl. Jembawan No. 71, Padang Tegal Kelod",0,,Citrus Tree Villas - Belos
Indonesia,,Seminyak,"Jalan kayu Jati, Petitinget 20 A",0,,Aqua Hotel Bali
Indonesia,,Ungasan,"Jl. Toya Ning, Banjar Wanagiri",0,,Villa Ungasan
Indonesia,,Pulukan,"Jalan Ciwa, Yeh Kuning, Pekutatan, Jembrana ",0,,Villa Dewa
Indonesia,,Seminyak,"Jl. Nakula, Gang Baik-Baik",0,,Sandat Villa
Indonesia,,Seminyak,Jl. Bali Deli ,0,,The BC Suite Seminyak Bali
Indonesia,,Kerobokan,"Jl. Umalas 1, Gang 11 ",0,,Adyssa Villa
Indonesia,,Lovina,"Kaliasem Village, Enjung Sanghyang ",0,,Adirama Villa Lovina
Indonesia,,Canggu,Jl. Nelayan 9x ,0,,D' Djabu Villa Canggu
Indonesia,,Ketewel,"Jl. Pantai Ketewel 26, Ketewel ",0,,Kolonial House
Indonesia,,Ungasan,Jl. Raya Goa Gong No. 80 Uluwatu,0,,Heron Villa Jimbaran
Indonesia,,Ubud,Jalan Sri Wedari,0,,Villa Shinta Dewi Ubud
Indonesia,,Denpasar,Jl. Tukad Badung GG I No.11 ,0,,Hotel Graha Cempaka
Indonesia,,Canggu,Jalan Pura Gede Batur Pererenan ,0,,Villa East Indies
Indonesia,,Kerobokan,"Jalan Raya Bumbak, Br.Anyar Kelod - Kerobokan",0,,Marlee Villas
Indonesia,,Ubud,"Jl. Raya Katiklantang, Singakerta",0,,Ubud Mupu Villa
Indonesia,,Canggu,"Jl. Tegalsari Gang Kana No 99 Banjar Tegal Gundul, Pantai Berawa",0,,Villa Kanten by Nakula Management
Indonesia,,Lovina,Jl. Raya Seririt Singaraja,0,,Adi Homestay
Indonesia,,Denpasar,Jalan W.R. Supratman 168 ,0,,Hotel Puri Sokasati
Indonesia,,Ketewel,Jl. Pantai Pabean ,0,,Majapahit Beach - Villa Maya
Indonesia,,Legian,"Jl. Padma Utara, Gang XXI ",0,,Bali Villa Stayz IV
Indonesia,,Kuta,Jl. Wana Segara Gang Teratai II No 2 Br. Segara Tuban - Kuta,0,,Rena House
Indonesia,,Denpasar,"Jl. Imam Bonjol, Residence No 29 ",0,,Residence 29
Indonesia,,Seminyak,Jl. Nakula Gang Baik Baik No.2 ,0,,Villa Indiana
Indonesia,,Kerobokan,Jl. Raya Umalas ,0,,Villa Bali Bali One
Indonesia,,Amed,"Jl. Raya Amed, Banyuning, Bunutan, Abang, Karangasem ",0,,Villa Flamboyant Amed
Indonesia,,Kuta,Jalan Legian 121A,0,,Legian Express Hotel
Indonesia,,Kerobokan,Jl. Umalas 1,0,,Astama Villa
Indonesia,,Kerobokan,"Jalan Bumbak, Gang P.Medang No 1 Banjar Anyar Kelod",0,,Putri Malam Villa
Indonesia,,Canggu,Jl. Pantai Batu Bolong no.66 Behind Gold Dust,0,,Paradise Villa - Echo Beach
Indonesia,,Buwit,Jl. Raya Munggu,0,,Sunhaven Villa
Indonesia,,Seminyak,Different locations in Seminyak,0,,Alexa Villas
Indonesia,,Kerobokan,Jalan Tegal Cupek II ,0,,Villa Puri Bali-Passion
Indonesia,,Pererenan,Jalan Pantai Seseh,0,,Villa The Shore
Indonesia,,Nusa Lembongan,"Jalan Sandi Bay, ",0,,Dodol Lembongan Cliff Villa
Indonesia,,Legian,Jl.Dewi Sri VIII/ Catriona,0,,Marley Heaven Villa
Indonesia,,Seminyak,"Jl. Sari Temuku, Gang Sandat",0,,Villa Jepun Seminyak
Indonesia,,Seminyak,"Jl. Sari Temuku, Gg Sandat",0,,Villa Issi
Indonesia,,Seminyak,"Jalan Laksmana, No. 14 Oberoi",0,,Villa Lilibel
Indonesia,,Seminyak,Jl. Beraban No. 92,0,,Villa Karma
Indonesia,,Denpasar,"Jalan Padang Gajah, Padang Sambian",0,,Penginapan Dwi Santika
Indonesia,,Ubud,"Jl. Gootama No. 6, Padang Tegal Kaja",0,,Citrus Tree Villas - Darta
Indonesia,,Kubupenlokan,"Penelokan, Kintamani",0,,Bumi Ayu
Indonesia,,Jimbaran,Temple Hill Grand Residence #A2 Jalan Uluwatu,0,,Villa Arona
Indonesia,,Seminyak,"Jl. Petitenget 2000xx, Seminyak",0,,Apartment 303 Seminyak
Indonesia,,Sanur,Jl.Danau Tamblingan 60 ,0,,Villa Tulip II
Indonesia,,Canggu,"Banjar Berawa, Desa Canggu 80361 P.O. Box 3271, - Denpasar",0,,Wana Resort
Indonesia,,Payangan,"Jl. Payangan, Ubud",0,,Hotel Mawar Sari
Indonesia,,Denpasar,Jalan Pura Demak IV No. 88,0,,Premisol 88
Indonesia,,Dencarik,Jalan Melati No. T6 Dencarik,0,,Villa Akasa Segara
Indonesia,,Munduk,Munduk village - Banjar district - Singaraja - Bali,0,,Nu Homestay
Indonesia,,Amed,Jalan Ammed - Jemeluk,0,,Panji Homestay
Indonesia,,Ubud,Jl. Raya Lod Tunduh ,0,,Marfenta Villa
Indonesia,,Kerobokan,Jl. Umalas 2 No. 84 ,0,,Asana Asmara Villa
Indonesia,,Tabanan,Jl. Desa Uma Abian ,0,,Ume Abian Village
Indonesia,,Seminyak,Jl. Pangkung Sari No. 1A,0,,Nilaya Villa
Indonesia,,Ubud,"Br. Pengosekan Kaja, Mas",0,,Pengosekan Guest House
Indonesia,,Nusa Lembongan,PO Box 3846 Nusa Lembongan Island Denpasar,0,,Nusa Lembongan Resort
Indonesia,,Ubud,"Jalan Penestanan Kelod, Sayan ",0,,Kubu Made
Indonesia,,Canggu,Jalan. Pantai Mengening Cemagi - desa Cemagi - Mengwi,0,,Cemagi Residence
Indonesia,,Singaraja,Jalan. A. Yani 194A,0,,Hotel Hawaina
Indonesia,,Amed,Jalan Raya Amed - Seraya Banyuning Abang Karangasem Bali 80572 Indonesia,0,,Nalini Resort
Indonesia,,Seminyak,"Jalan Raya Petitenget 2000XX, Seminyak, Kerobokan",0,,The Sunset Suite Bali
Indonesia,,Canggu,Jl. Subak Sari Canggu,0,,Villa Elanora
Indonesia,,Legian,Jl. Dewi Sri Kuta,0,,C Hotel
Indonesia,,Seminyak,"Jl. Kayu Aya, Gang Cargo ",0,,Villa Matt
Indonesia,,Jimbaran,"Jalan Segara, Gang. Wangi , No.4, Kedongangan - Jimbrana",0,,Shinta House
Indonesia,,Ababi,"Jalan Yudistira, Desa Temega, Amlapura, Karangasem",0,,Villa Mega Tirtagangga
Indonesia,,Seminyak,"Jalan Petitenget Gang Bulan Bali No.8, Petitenget - Kerobokan",0,,Villa Rumah Maria
Indonesia,,Banjar,"Banjar Tegehe, Desa Banjar, Singaraja",0,,Kubu Aji Banjar
Indonesia,,Legian,"Jl. Raya Legian, Gg. XXI no. 3",0,,Villa Kubu D'Kubu
Indonesia,,Canggu,Jl. Pantai Berawa No 26,0,,Villa Dion
Indonesia,,Ubud,Banjar Tegallantang,0,,Villa Pura Padi
Indonesia,,Ubud,Jl. Raya Sanggiangan,0,,Kopi Kats Poolside Villas
Indonesia,,Pecatu,Jalan Labuan Said ,0,,Villa Capung Bawah
Indonesia,,Seminyak,Jalan Arjuna,0,,Home Legian Hotel Bali
Indonesia,,Pancasari,"Jl. Kedongsong, Danau Buyan",0,,Lake Buyan Villas
Indonesia,,Denpasar,Jalan Mahendradatta Selatan,0,,Puri Segina Residence
Indonesia,,Denpasar,Jalan Teuku Umar 108 Denpasar ,0,,Guest House Samudra Bali
Indonesia,,Seminyak,Jl. Raya Seminyak No. 42 ,0,,Villa Topeng Seminyak
Indonesia,,Denpasar,Banjar Padang Tawang ,0,,Jatayu Villa
Indonesia,,Denpasar,Jl. Pulau Ayu GG 15 No.6 ,0,,Griya Ayu Homestay
Indonesia,,Denpasar,"Jl. Pulau Moyo, Perumahan Moyo Permai No. 3 ",0,,Moyo Residence
Indonesia,,Legian,Jalan Dewi Ratih No 9,0,,Legian Living House
Indonesia,,Denpasar,Pandawa street No.86 kuta,0,,Dewi Sri Villa
Indonesia,,Denpasar,Jalan Tukad Barito Timur No. 1,0,,Umahku Apartment
Indonesia,,Sanur,Jl. Batur Sari Gang Zamrud,0,,KS Sanur Hotel
Indonesia,,Kerobokan,Jl. Tunon No. 14 ,0,,Villa Artis Kerobokan
Indonesia,,Saba Bai,"Perumahan Bethe Lestari, Batu Bulan - Sukawati ",0,,Sakawesi
Indonesia,,Nusa Dua,"Jalan Gunung Payung, Banjar Sawangan",0,,The Shanti Residence Bali
Indonesia,,Ubud,Jl. Raya Pejeng Kawan,0,,Ubud Riverview Villa
Indonesia,,Denpasar,Jl. Tukad Badung XXI/2 No. 3,0,,Rumah Badung
Indonesia,,Canggu,Jalan Veteran Gang Manga,0,,Villa Kristi
Indonesia,,Canggu,"Jl. Kebon Bambu, Banjar Umabuluh",0,,A Satu Villa Canggu Bali
Indonesia,,Seminyak,Jalan Raya Seminyak Gg Taman Sari No 8,0,,La Leela Asta Bali Seminyak
Indonesia,,Tabanan,Desa Jebaud Marga Blayu,0,,Villa Jempiring Tepi Sawah
Indonesia,,Seminyak,Jalan Drupadi gang Kubu Carik,0,,Villa Gading Seminyak
Indonesia,,Seminyak,Jl. Bidadari ,0,,Villa Vida
Indonesia,,Buwit,Jalan Raya Pererenan,0,,Nusa Villa and Restaurant
Indonesia,,Tabanan,Jalan Raya Tanah Lot,0,,BE Villas
Indonesia,,Tanjung Benoa,"Jl. Setra Ganda Mayu 3, Tanjung Benoa",0,,Villa Cantik Hotel
Indonesia,,Seminyak,"Jalan Oberoi, Gang 1B",0,,Villa Semeton
Indonesia,,Sanur,Jl Batur Sari Gang VI No.2,0,,Villa Paradise Hotel Bali
Indonesia,,Kerobokan,"Jalan Dukuh Indah, Gang Sungai, Br. Semer",0,,Villa Leoli
Indonesia,,Seminyak,"Jalan Kunti 1, Gang Melati No 1",0,,Villa Anggrek
Indonesia,,Ubud,"Campuhan, Ubud ,Bali",0,,Mulawarman Guesthouse Ubud
Indonesia,,Ungasan,"Jl. Tundun Penyu, Balangan",0,,Villa Rumah Putih Ungasan
Indonesia,,Canggu,"Jl. Danau Batur Gg. Mangga, Banjar Padonan",0,,Villa Sarsana Bali
Indonesia,,Denpasar,"Jalan Juwet Sari Gg. Anyar Sari, Suwung Kauh",0,,Villa Juwet 57
Indonesia,,Seminyak,Jl. Baik baik Gg. Gita Ayu no. 7B,0,,Villa Manja
Indonesia,,Canggu,Jalan Pantai Berawa,0,,Bali Green House
Indonesia,,Canggu,"Banjar Cepaka, Cepaka Village, Canggu",0,,Villa Alam Damai
Indonesia,,Kuta,Jalan Dwi Sri II no 88 ,0,,Sri Devi Villas
Indonesia,,Seminyak,Jl Kayu Aya Gg Damai No 29,0,,Villa Avani Seminyak
Indonesia,,Singaraja,Jalan. Ahmad Yani 55,0,,Duta Karya Hotel
Indonesia,,Seminyak,Jl. Raya Seminyak Gang Keraton No. 77B,0,,Villa Kampung Kecil Seminyak
Indonesia,,Seminyak,"Jalan Drupadi, Gang Melati No: 1ab",0,,AB Villas
Indonesia,,Denpasar,"Jalan Pandu No. 50, Desa Dalung",0,,Pondok Indah Dalung
Indonesia,,Seminyak,Jalan Kayu Aya,0,,Villa Silviana
Indonesia,,Canggu,"Jalan Batu Mejan No 20, Banjar Padang Linjong",0,,Cinta Villa d'hotes
Indonesia,,Jimbaran,Jalan Segara Madu No.8 Kedonganan - Jimbaran,0,,Villa Ledang
Indonesia,,Legian,Padma Utara Street Legian Kaja,0,,Maharta Beach Resort Legian Bali
Indonesia,,Kerobokan,"Jl. Umalas Lestari, Gang Batukaru No. 1 ",0,,Villa Biru Kerobokan
Indonesia,,Antasari,Desa Surabrata Kec Selemadeg Tengah,0,,Taksu Holiday Club Hotel Bali
Indonesia,,Seminyak,"Jalan Arjuna (Double Six), gang Villa Coco Legian",0,,Tune Hotel - Double Six Legian
Indonesia,,Seminyak,"Jl. Yudistira No. 69, Banjar Tatag Kunti II",0,,Yudistira 69 Resort
Indonesia,,Sanur,JL. Danau Tamblingan,0,,Bali Hyatt
Indonesia,,Lovina,Jalan Lovina Beach,0,,Sri Homestay
Indonesia,,Amed,Jalan Raya Amed - Bunutan,0,,Cest Bon Homestay 1
Indonesia,,Ubud,"Banjar Sumampan, Kemenuh ",0,,Villa Santi Gianyar
Indonesia,,Legian,Jl. Legian Kaja 494 ,0,,Legian Beach Villa
Indonesia,,Seminyak,Jl. Laksmana,0,,The Christin Villa Seminyak
Indonesia,,Seminyak,"Jalan Raya Petitenget, Perumahan Umasari No 9",0,,M Residence Seminyak
Indonesia,,Legian,Jalan Dewi Sri ,0,,Villa Martha Legian
Indonesia,,Kerobokan,Jl. Umalas 2 No. 7 ,0,,Umalas 7 Villa
Indonesia,,Seminyak,Jalan Batubelig Gang Gelatik No.12,0,,Villa Batubelig
Indonesia,,Tejakula,Desa Bukti ,0,,Villa Bukti Paradise
Indonesia,,Ubud,Jalan Penestanan Kelod ,0,,Puri Sari Cottage
Indonesia,,Ubud,"Br. Silungan, Ds. Lodtunduh ",0,,Villa Bangla Bali
Indonesia,,Seminyak,"Padang Sumbu, Denpasar Barat",0,,Athena Hot Spring Villa
Indonesia,,Ungasan,"Jl. Tundun Penyu No. 68, Balangan, Bukit Jimbaran ",0,,Ascent Villa
Indonesia,,Kerobokan,"Jl. Bumbak No. 140, Gg. Pulau Roti ",0,,Villa Kuning
Indonesia,,Jimbaran,"Jl. Pratama, Tanjung Benoa ",0,,Matahari Villa
Indonesia,,Kerobokan,Jl. Umalas Gang Ruku ,0,,Villa Ruku Ruku Umalas Bali
Indonesia,,Jimbaran,Jalan Aneka Warga No 12 Perumahan Puri Mumbul permai jimbaran,0,,Villa Oasis Nusa Dua
Indonesia,,Seminyak,Gang Bisma ,0,,Villa Kupu-Kupu Seminyak Bali
Indonesia,,Canggu,"Jalan Munduk Batu Belah, Pererenan ",0,,Bali Serenity Villa
Indonesia,,Canggu,"Jalan Segara Perancak, Pantai Berawa",0,,Villa Kaira
Indonesia,,Canggu,"Jl. Nelayan, Canggu, North Kuta",0,,Villa Nelayan By Nakula Management
Indonesia,,Ubud,"Br. Kelod Belumbang, Desa Kenderan Kec. Tegalalang, Gianyar",0,,Kenderan Villas
Indonesia,,Seminyak,"Jl. Beji Ayu Gang 2, Sunset Road",0,,Sunrise Villa Kuta
Indonesia,,Tuban,Jl. Puri Gerenceng,0,,The Alit
Indonesia,,Seminyak,Jl Sari Temuku,0,,Villa Avisha by Nagisa Bali
Indonesia,,Bedugul,Jl. Raya Denpasar-Singaraja km.51,0,,Villa Sinta
Indonesia,,Seminyak,Jl. Raya Oberoi,0,,The Suites Villa
Indonesia,,Canggu,Jl. Subaksari Berawa,0,,Segara Bayu Villa Bali
Indonesia,,Tanjung Benoa,Jl. Pratama No. 99 Tanjung Benoa,0,,81 Degrees East Benoa Hotel Bali
Indonesia,,Ubud,PO Box 165 Nyuhkuning ,0,,Alam Indah
Indonesia,,Padangbai,"Gang Melanting 5, Bali",0,,Lemon House Padangbai
Indonesia,,Sanur,"Jalan Tirta Ening Gang 2 No's, 6 SANUR Bali.",0,,BIG Pineapple Backpackers
Indonesia,,Nusa Lembongan,Br. Kaja,0,,The Point Resort Lembongan
Indonesia,,Seminyak," Cendrawasih Street, Petitenget",0,,Mahala Hasa
Indonesia,,Legian,Padma Utara Street Legian Kuta,0,,Sari Beach Hotel
Indonesia,,Kuta,Kuta Square Blok A/20,0,,Rumah Kayu Bali
Indonesia,,Jimbaran,Jl Toyaning gg Drupadi I no 2,0,,Ganggas Homestay
Indonesia,,Seminyak,Petitenget street,0,,Villa Prana Bali
Indonesia,,Ubud,Jalan Raya Ubud,0,,Puri Saren Agung
Indonesia,,Candi Dasa,"Jl. Ndalem Agung Mendira, Next to Crystal Beach Hotel, Sengkidu",0,,Candidasa Backpacker
Indonesia,,Kuta,Jl Wana Segara Gang Handayani No. 8,0,,Segara Villas Kuta
Indonesia,,Kuta,Jl Abimanyu Seminyak - Kuta,0,,Bali Holiday
Indonesia,,Uluwatu,"Jl. Labuhan Sait, Padang Padang Pecatu",0,,Castello Matasapi Villas
Indonesia,,Seminyak,Jalan Sunset No. 88,0,,Safin Inn Harmony Seminyak
Indonesia,,Seminyak,"Jl. Petitenget, Komplek Villa Kendal No 30",0,,Villa Aroha Seminyak
Indonesia,,Jimbaran,Jalan Raya Uluwatu Gang Mecutan 7,0,,Suzanne Home Stay
Indonesia,,Seminyak,Jl. Braban No. 47C,0,,Villa Teman Seminyak
Indonesia,,Kuta,"Jl. Dewi Sartika,Gg Nusa indah",0,,Nom House
Indonesia,,Ubud,"Jl. Tirta Tawar, Br. Junjungan, Ubud",0,,Kishi-Kishi House
Indonesia,,Saba Bai,"Ida Bagus Mantra, Banjar Saba - Belah Batu",0,,Villa Le Jardin de Bali
Indonesia,,Legian,"Jl. Kayu Jati Petitenget, Kuta, Seminyak",0,,Bora Bora Villas
Indonesia,,Sanur,"Jalan Batursari ,Bali 80228",0,,Sanur Village
Indonesia,,Kerobokan,"Jalan Pengubugan, Gang Kayu Nagasari No.12, Banjar Silayukti",0,,La Bali Home Stay
Indonesia,,Pecatu,Jln. Labuan Sait ,0,,Top Hill Villas Uluwatu
Indonesia,,Seminyak,Jl Pura Bagus Teruna - Kuta,0,,Saphir Mabisa Inn
Indonesia,,Canggu,"Jl. Subak Sari, Berawa Beach, Canggu, Bali 5",0,,Subak Sari
Indonesia,,Kintamani,Penelokan Kintamani Bangli,0,,Mertasari Hotel and Restaurant
Indonesia,,Kerobokan,"Jl. Lestari No. 9x, Br. Umalas Kauh Kerobokan - Bali-Nusa Dua ",0,,Umalas Equestrian Resort
Indonesia,,Celukan Bawang,Jl Ayodya Pura,0,,Villa Brongbong Pantai
Indonesia,,Jimbaran,Jl. Taman Giri,0,,The Hill Villas at Nusa Dua
Indonesia,,Ungasan, Jalan Balangan Banjar Werdhi,0,,Rental Villas Bali
Indonesia,,Seminyak,"Jl. Bali Deli, Kunti - Seminyak",0,,VILLA FRANGIPANI Seminyak
Indonesia,,Amed,Jln Raya Bunutan Amed Beach,0,,Tradisi Villas
Indonesia,,Seminyak,Jalan Kerta Rahayu A33suwung Kangin,0,,Villa Dua Seminyak
Indonesia,,Pulukan,"Banjar Samblong, Madewi Village, Negara",0,,The Puri Shanti Villas at Madewi
Indonesia,,Nusa Dua,"Taman Ayun Street no 10, Taman Mumbul",0,,Villa Balipusri
Indonesia,,Ubud,Banjar Sebali Tegal Alang Gianyar,0,,Chapung SeBali Resort & Villa
