new,old
Me Unlim. Salt 60 / Surf 1 / Service,Me Unlim. Orange 60 / Surf 1 / Service
Me Unlim. Salt 60 / Surf 1 / Relax,Me Unlim. Orange 60 / Surf 1 / Relax
Me Unlim. Salt 60 / Surf 1 / Relax Plus,Me Unlim. Orange 60 / Surf 1 / Relax Plus
Me Unlim. Salt 60 / Surf 1 / Priority,Me Unlim. Orange 60 / Surf 1 / Priority
Me Unlim. Salt 60 / Surf 2 / Service,Me Unlim. Orange 60 / Surf 2 / Service
Me Unlim. Salt 60 / Surf 2 / Relax,Me Unlim. Orange 60 / Surf 2 / Relax
Me Unlim. Salt 60 / Surf 2 / Relax Plus,Me Unlim. Orange 60 / Surf 2 / Relax Plus
Me Unlim. Salt 60 / Surf 2 / Priority,Me Unlim. Orange 60 / Surf 2 / Priority
Me Unlim. Salt 60 / Unlim. Surf / Service,Me Unlim. Orange 60 / Unlim. Surf / Service
Me Unlim. Salt 60 / Unlim. Surf / Relax,Me Unlim. Orange 60 / Unlim. Surf / Relax
Me Unlim. Salt 60 / Unlim. Surf / Relax Plus,Me Unlim. Orange 60 / Unlim. Surf / Relax Plus
Me Unlim. Salt 60 / Unlim. Surf / Priority,Me Unlim. Orange 60 / Unlim. Surf / Priority
Me Unlim. Salt 60 / Unlim. Surf Roaming / Service,Me Unlim. Orange 60 / Unlim. Surf Roaming / Service
Me Unlim. Salt 60 / Unlim. Surf Roaming / Relax,Me Unlim. Orange 60 / Unlim. Surf Roaming / Relax
Me Unlim. Salt 60 / Unlim. Surf Roaming / Relax Plus,Me Unlim. Orange 60 / Unlim. Surf Roaming / Relax Plus
Me Unlim. Salt 60 / Unlim. Surf Roaming / Priority,Me Unlim. Orange 60 / Unlim. Surf Roaming / Priority
Me Unlim. SMS / Surf Daily / Service,"Me 0 Min, 0 SMS, 0 GB,Orange"
Me Unlim. SMS / Surf 1 / Service,"Me 0 Min, 0 SMS, 1 GB"
Me Swiss 60 / Surf 1 / Service,"Me 0 Min, 0 SMS, 3 GB"
Me Unlim. Swiss / Surf Daily / Service,"Me 0 Min, 0 SMS, 5 GB"
Me Unlim. Swiss / Surf 1 / Service,"Me 90 Min, 0 SMS, 5 GB"
Me Unlim. International / Surf 3,"Me unlim. Min, unlim. SMS, 5 GB"
Me Unlim. SMS / Surf Daily / Relax,"Me 30 Min, 90 SMS, 0 GB"
Me Unlim. SMS / Surf Daily / Relax Plus,"Me 0 Min, 90 SMS, 1 GB"
Me Swiss 60 / Surf Daily / Service,"Me 30 Min, unlim. SMS, 0 GB"
Me Unlim. SMS / Surf 1 / Relax,"Me 0 Min, unlim. SMS, 1 GB"
Me Swiss 60 / Surf Daily / Relax,"Me 30 Min, 0 SMS, 1 GB"
Me Unlim. SMS / Surf 1 / Relax Plus,"Me 240 Min, 0 SMS, 0 GB"
Me Swiss 60 / Surf Daily / Relax Plus,"Me 30 Min, unlim. SMS, 1 GB"
Me Unlim. SMS / Surf 3 / Service,"Me 90 Min, unlim. SMS, 0 GB"
Me Swiss 60 / Surf 1 / Relax,"Me 0 Min, 90 SMS, 3 GB"
Me Unlim. SMS / Surf 3 / Relax,"Me 240 Min, 0 SMS, 1 GB"
Me Swiss 60 / Surf 1 / Relax Plus,"Me 30 Min, 90 SMS, 3 GB"
Me Unlim. SMS / Surf 3 / Relax Plus,"Me 90 Min, unlim. SMS, 1 GB"
Me Swiss 60 / Surf 3 / Service,"Me 0 Min, 90 SMS, 5 GB"
Me Unlim. Swiss / Surf Daily / Relax,"Me 240 Min, 90 SMS, 1 GB"
Me Unlim. SMS / Surf 10 / Service,"Me 30 Min, 90 SMS, 5 GB"
Me Swiss 60 / Surf 3 / Relax,"Me 90 Min, 90 SMS, 3 GB"
Me Unlim. Swiss / Surf Daily / Relax Plus,"Me unlim. Min, 90 SMS, 0 GB"
Me Swiss 60 / Surf 3 / Relax Plus,"Me 240 Min, 0 SMS, 3 GB"
Me Unlim. International / Surf Daily / Service,"Me 30 Min, unlim. SMS, 5 GB"
Me Unlim. SMS / Surf 10 / Relax,"Me 90 Min, unlim. SMS, 3 GB"
Me Unlim. Swiss / Surf 1 / Relax,"Me unlim. Min, unlim. SMS, 0 GB"
Me Unlim. SMS / Surf 10 / Relax Plus,"Me 240 Min, 90 SMS, 3 GB"
Me Swiss 60 / Surf 10 / Service,"Me unlim. Min, 0 SMS, 1 GB"
Me Unlim. Swiss / Surf 1 / Relax Plus,"Me 240 Min, unlim. SMS, 3 GB"
Me Unlim. International / Surf Daily / Relax,"Me 90 Min, 90 SMS, 5 GB"
Me Unlim. Swiss / Surf 3 / Service,"Me 240 Min, 0 SMS, 5 GB"
Me Unlim. International / Surf Daily / Relax Plus,"Me 90 Min, unlim. SMS, 5 GB"
Me Unlim. International / Surf 1 / Service,"Me unlim. Min, unlim. SMS, 1 GB"
Me Unlim. Travel / Surf Daily / Service,"Me 240 Min, 90 SMS, 5 GB"
Me Swiss 60 / Surf 10 / Relax,"Me 240 Min, unlim. SMS, 5 GB"
Me Swiss 60 / Surf 10 / Relax Plus,"Me unlim. Min, 0 SMS, 3 GB"
Me Unlim. International / Surf 3 / Service,"Me unlim. Min, unlim. SMS, 3 GB"
Me Unlim. Swiss / Surf 10 / Service,"Me unlim. Min, 0 SMS, 5 GB"
Me Unlim. SMS / Surf 1 / Priority,"Me unlim. Min, 90 SMS, 5 GB"
NOW Start,flex 40
NOW Classic,flat 2
NOW Relax,flat 4
NOW Max,flat 6
NATEL entry basic,NATEL liberty Primo
NATEL entry plus,NATEL liberty Medio
MTV mobile MyFriends,MTV mobile next
MTV mobile Swiss,MTV mobile maxx
NATEL infinity plus XS,NATEL infinity XS
NATEL infinity plus S,NATEL infinity S
NATEL infinity plus M,NATEL infinity M
NATEL infinity plus L,NATEL infinity L
NATEL infinity plus XL,NATEL infinity XL
NATEL xtra infinity plus S,NATEL xtra infinity S
NATEL xtra infinity plus M,NATEL xtra infinity M
NATEL xtra infinity plus L,NATEL xtra infinity L
