target_number,description,sku
15124782,"George Foreman 4-Serving Removable Plate","GRP360R"
10597619,"Georg George Foreman 72 Sq Inch","GRP0004B"
15124781,"George Foreman 4-Serving Tough Grill","GR260P"
14255400,"GF 8 Ser Classic Variable Temp Grill","GR2121P"
14255914,"GF 5 Serving Classic Grill Black","GR2080B"
15124780,"George Foreman 2-Serving Tough Grill","GR136B"
12833820,"George Foreman 36"" Champ Grill","GR10B"
14076858,"GF 13 serving Indoor/Outdoor Grill Red","GGR201RCDR"
14504220,"Black & Decker Griddle Black","GD2011B"
15725476,"Nespre Vertuo Chrome Espresso Machine","GCA1USCHNE"
15448154,"Nespre Verturo Line Esprss Mchne BLACK","GCA1USBKNE"
15179370,"T-FAL Opti Grill Indoor Grill","GC702D53"
15552593,"Imusa Electric Quesadilla Maker BLACK","GAU-80307"
13635125,"IMUSA Electric Double Burner black","GAU-80306"
15552594,"Imusa Electric Single 1100 W Burner BLAC","GAU-80305"
15552595,"Imusa Electric Empanada Maker BLACK","GAU-80303"
13595746,"Imusa Bistro 4cup Espresso Maker BLACK","GAU-18201"
13595745,"IMUSA 4cup Espresso/Cappuccino Maker","GAU-18200"
13596621,"Imusa 8cup Rice Cooker - Black N/S WHITE","GAU-00013"
13596066,"Imusa 5cup Rice Cooker - Black N/S WHITE","GAU-00012"
14274839,"T-FAL ActiFry Black","FZ700251"
14248585,"FOODSA Vacuum Sealer Canister FOODSAVER","FSFSBFEX62"
13985367,"Foodsav Portnd Heat Seal Rolls-2 pk Cl","FSFSBF2626"
13287003,"FoodSaver Multi Pack","FSFSBF0746"
13985347,"FoodSave 11x16 Heat Seal Rolls-2 Pk Cl","FSFSBF0626"
545989,"FOODSAVER BAGS 8"" TWIN PACK ROLL","FSFSBF0526"
610785,"FOODSAVER VACLOC GALLON BAGS (13-CT.)","FSFSBF0316"
11295496,"FOODS Foodsaver Handheld","FSFRSH0051"
14025965,"Foodsaver Handheld Vacuum Sealer-Red","FSFRSH0051"
14274849,"FoodSaver Quart Zipper Bags","FSFRBZ0216"
14024609,"Sunbe Electric Wood Ice Cream Buck 4 Qt","FRSBWDBK"
15069786,"SUNBEA Polar Blast Ice Cream Maker","FRSBPLBST"
14645759,"SUNBEA Snow Cone Ice Cart Shaver Pink","FRSBISCR-P"
14645758,"SUNBEA Snow Cone Ice Cart Shaver Blue","FRSBISCR-P"
10274079,"T-FAL Ultimate EZ Clean Deep Fryer","FR7008002"
14274838,"T-FAL 3L Easy Pro Deep Fryer SS","FR1014002"
14308148,"ELECTR Automatic Drip Coffee Maker ELECT","FPTC10D7NS"
15069785,"OSTER Juice, Blend & Go Juicer","FPSTJE3166"
14461605,"OSTER Hand Mixer Black","FPSTHM2578"
522628,"HAND BLENDER W CUP OSTER INSPIRE","FPSTHB2615"
14648965,"OSTER Immersion Hand Blender Black","FPSTHB2615"
11295632,"Oster Fondue Pot","FPSTFN7700"
14674787,"OSTER Electric Knife Black","FPSTEK2803"
11295497,"Oster Oster Stainless Retr Cord","FPSTCN1300"
14024610,"Sunbe Heritage Series Stand Mixer Red","FPSBSM2105"
13541734,"Ynans Yonanas Maker silver/black","FPSBPMM980"
12853365,"Sunbeam Hand and Stand Mixer Black","FPSBHS0302"
14244469,"ELECTR PANINI PRESS FRGIDRE 5-IN-1 GRILL","FPPG12K7MS"
14262953,"Fgdair Lg Capacity 5-Speed Blender","FPJB56B7MS"
14036391,"Frigidaire Prof Toaster Oven","FPCO06D7MS"
13406567,"Blck & Dckr 8-Cup Food Processor Blck","FP1800B"
14604945,"BLACK Full Size Food Processor BLACK & D","FP1140B"
501089,"KitchenAid FOOD GRINDER","FGA"
580443,"NESCO SNACKMASTER EXPRESS ALL IN ONE FO","FD-60WHC"
580444,"NESCO GARDENMASTER - 4 TRAY","FD-1010"
10334807,"RONCO Ronco 5-Tray Food Dehydrator","FD1005WHGE"
14436377,"Ninja Professional Frying System Black","F300"
655434,"CUISINE - NON-STICK SANDWICH MAKER","ESM-9002K"
655322,"GOURMET - 8 CUP RICE COOKER W/ STEAM TRA","ERC-008ST"
655318,"GOURMET - 3 CUP RICE COOKER W/ STEAM TRA","ERC-003ST"
12225852,"Mr. Coffee 12-Cup Coffeemaker-Red","EJX36"
14755724,"Food Chopper Black 3 Cup","EHC750BD"
15761986,"Delong Single Serve Coffee Maker","EDG455TEX1"
10990076,"Mr. C Mr. Coffee Pump EM","ECMP50"
10651904,"Mr. C Mr. Coffee Steam Espresso","ECM160"
563810,"ZOJIRUSHI FRESH BREW THERMAL CARAFE 10C","EC-BD15"
14517924,"DELONG ESPRESSO DELONGHI SS 15 Bar Pump","EC702"
14535558,"DELONG ESPRESSO DELONGHI Black","EC155"
563813,"ZOJIRUSHI INDOOR ELECTRIC GRILL","EB-CC15"
10135510,"Mr. Coffee 12-C Prgrmble CoffeeMaker BLK","DWX23"
10135494,"Mr Coffee 12-Cup Switch Black","DW13"
10135495,"Mr Coffee Switch Coffee Maker White 12-C","DW12-NP"
14244680,"DASH 7C YOGURT MKR WHITE","DSY007CM"
10135497,"Mr. Coffee 4-Cup Digital Black 4 Cup","DRX5"
15007410,"BLACK DRP COF MKR B&D AUTO DRIP Black","DLX1050B"
14366769,"MndRdr COFFEE MAKER MNDRDR COFFEE MAKER","DISPBLKTAR"
14078108,"BLACK B&D 5-cup Coffee Maker Black","DCM600B"
503610,"BREW'N GO DELUXE COFFEE MAKER","DCM18S"
11313957,"Black B&D Programable 12 Cup Coffeemaker","DCM100B"
14711497,"MagBul Dessert Bullet","DBR - 1200"
14575646,"Nespre U Espresso Maker Black","D50USBKNE"
14575831,"Nespre Citiz&Milk E NESPRESSO CITIZ, BLA","D121-US4-B"
13024921,"Convection Oven 6 Slice","CTO6335S"
15507234,"MndRdr Coffee pod storage-0007 BLACK","CRS02-BLK"
12983034,"Single Serve Drip Coffee Maker","CM-688"
14695661,"BLACK Single Serve Coffee Maker BLACK &","CM620B"
14076859,"B&D Single Serve Coffee Maker Black","CM618"
13806559,"BD 12 Cup Programmable Coffee Maker","CM4000S"
14448796,"OSTER DuraCeramic Flip Waffle Maker","CKSTWFBF22"
14678520,"OSTER Waffle Maker DuraCeramic","CKSTWF1501"
13388358,"Sunbe 12"" skillet Black","CKSTSKFM12"
14674773,"OSTER Skillet DuraCeramic","CKSTSKFM12"
13773420,"Sunbeam Single Solid Burner Black","CKSTSB100-"
14678506,"OSTER Self Basting Roaster Oven","CKSTRS18"
14682893,"OSTER 16 Roaster Oven white","CKSTRS16"
14232101,"Oster 6 Cup Rice Cooker Black","CKSTRCMS65"
13730903,"Oster 14 Cup Rice Cooker Red","CKSTRCMS14"
15064015,"OSTER Panini Press","CKSTPM6001"
13985353,"Oster 3 Liter Deep Fryer Black/Stainless","CKSTDFZM53"
11295633,"Oster Oster Stainless Double Burner","CKSTBUDS00"
14682892,"OSTER 3 Bin Hinged Lid Buffet Server","CKSTBSTW00"
13067131,"Sunbeam Panini Maker","CKSBPM5020"
14517907,"Juiceman Citrus Juicer white","CJ630-2J"
14077987,"BLACK Juiceman Citrus Juicer White","CJ625"
10139906,"BLACK Coffee Blade B&D COFFEE GRINDER St","CBG100S"
14024617,"Oster Variable Temp Electric Kettle","BVST-EK596"
14029777,"Sunbeam Hot Pot White 32 oz","BVSBWH1001"
14461608,"COFFEE Tea Maker Black 2.5 Qt","BVMC-TM33"
14140460,"Mr. C Automatic Drip Coffee Maker MR. CO","BVMC-TJX37"
12225853,"Mr. Coffee Thermal Coffee Maker - Silver","BVMC-PSTX9"
14216069,"MR.COFFEE Iced Coffee Caf¿","BVMC-LV1"
14461609,"COFFEE Single Serve 40 Ounce Black","BVMC-KG6"
14217246,"Mr. Coffee Single Serve - Red","BVMC-KG5R"
14024616,"Mr. C Single Serve Coffeemaker Black","BVMC-KG5-0"
14510921,"French Bull Single Serve","BVMC-KG2FB"
14902731,"COFFEE Single Serve Coffee Maker Blue","BVMC-KG2BB"
14902731,"COFFEE Single Serve Coffee Maker Blue","BVMC-KG2BB"
14461610,"COFFEE Single Serve Pour Through Black","BVMC-KG2B"
14714387,"Mr.Coffee Cafe Corner Rack","BVMC-KCA1"
11295492,"Mr. Coffee Frappe Maker","BVMC-FM1"
13773424,"Mr.Coffee Caf¿ Latte Black","BVMC-EL1"
14024619,"Mr. C 12-Cup Progr Coffeemaker Black","BVMC-EHX23"
14024618,"Mr. C 12-Cup Progr Coffeemaker White","BVMC-EHX20"
15069784,"Mr. Coffee Drip Coffee Maker w/Hot","BVMC-DMX85"
13733303,"Mr. Coffee Automatic Burr Mill Silver","BVMC-BMH23"
14032730,"Mr. Coffee Pump Pot Silver 2.3 Qt","BVMC-AC5"
12185661,"Oster Fusion Blender-Black & Silver 6 c","BVCB07-Z00"
15064014,"OSTER Versa Blender","BLSTVB-103"
13478251,"Oster BLSTPB-WPK My Blend 250-Watt","BLSTPB-WPK"
13388360,"Oster Personal Blender Blue 20 oz","BLSTPB-WBL"
13478250,"Oster Personal Blender Green 20 oz","BLSTPB-WBL"
14461606,"OSTER My Blend Black 20 Ounce","BLSTPB-BBL"
14449916,"OSTER Blender Stainless Silver 6 Cup","BLSTFG-S"
14461607,"OSTER Blender Red Red 6 Cup","BLSTFG-R"
14274850,"Oster My Blend Bottle","BLSTAV-PKN"
14114704,"Sensi Sensio Bella 2 SL Toast Lime Green","BLA13743TG"
14665176,"Ninja Ultima Blender","BL810"
14220757,"Ninja Mega Kitchen System Black","BL770"
13472713,"Ninja Kitchen System 1200 Black","BL700"
14263758,"Ninja Prof Blender w/SS GREY","BL660"
15124275,"Ninja Nutri Ninja Pro Reserve","BL450"
13406211,"Pwrful 475 Wt DieCast Blender Brshd","BL3000S"
14255915,"B&D 12 Speed 700 Watt Blender Silver","BL2500S"
13742353,"Ninja Personal Blender White","BL204"
15124783,"Black & Decker Digital Blender","BL1820SG-P"
15125721,"BLACK BLENDER B&D BLENDER 12SP 550W","BL1130SG"
14077986,"BLACK Black & Decker Bread Maker White","BK1015W"
14510887,"French Bull Blender","BCSG18-Z00"
14872003,"KA Coffee Grinder Black","BCG211OB"
13034001,"KitchenAid Blade Coffee Grinder Silver","BCG111OB"
13795316,"Aroma 1.7 L S/S Water Kettle","AWK-125S"
14263709,"Aroma 7-CUP ELECTRIC KETTLE BLACK","AWK-108"
14263708,"Aroma 3QT ELECTRIC SUPER POT","ASP-137B"
570622,"AROMA 3.3 QUART SUPER POT/GRILL","ASP-137"
14263706,"Aroma 12-cup Rice Cooker & Steamer","ARC-926D"
13374756,"AROMA 6-CUP RICE COOKER & STEAMER","ARC743NGBP"
14024412,"AROMA Rice Cooker & Food Steamer","ARC743NGBP"
14263707,"Aroma 12C Sensor Logic Rice Cooker","ARC-616SB"
13374757,"AROMA 20-CUP DIGITAL RICE COOKER","ARC-1030SB"
570616,"AROMA COMMERCIAL RICE COOKER - 24 CUP","ARC-1024E"
14012705,"Hello Kitty Hand Mixer","APP-71209"
14432631,"Hello Kitty 7"" Quesadilla Maker","APP-65209"
14012701,"Hello Kitty Pancake Maker","APP-61209"
14432632,"Hello Kitty Indoor Grill Pink/White","APP-44209"
14012707,"Hello Kitty Rice Cooker","APP-43209"
14012703,"Hello Kitty Slow Cooker","APP-41209"
14024411,"AROMA Digital Induction Cooktop","AID-509"
556984,"AROMA DOUBLE HOT PLATE","AHP-312"
10155042,"AROMA Single Hot Plate","AHP-303SB"
15711606,"Nespre Vertuo Chrme Esprss Mchin Bund","AGCA1USCHN"
14436523,"AROMA Food Steamer Stainless Steel 5 Qt","AFS-186"
14436522,"AROMA Milk Frother Stainless Steel 1 cup","AFR-180"
14575817,"Nespre Pixie Espresso MakerBundle Crmin","AD60USDRNE"
14575830,"Nespre U Espresso Maker Bundle Black","AD50USBKNE"
14575825,"Nespre Pixie EspressoMakerBundle Chrome","AC60USSSNE"
15110678,"WEST B ELC POPC POP AIR CRAZY POPCORN Bl","82418R"
14148315,"HAMIL Electric Can Opener HAMILTON BEACH","76501G"
12834124,"Hamilton Beach SureCut Can Opener","76371R"
611953,"HAMILTON BEACH CHROME CLASSIC DRINK MIXE","730C"
10858330,"Hamil Juicit Juicer","66332R"
